state_fips,fips_list,group
27,27133|27101|27105,9
27,27151|27023,10
27,27167|27107|27027,11
28,28009|28139,1
28,28019|28155,2
28,28021|28063,3
28,28037|28005,4
28,28055|28125|28053|28163,5
28,28069|28075,6
28,28119|28027,7
28,28157|28001,8
29,29005|29087|29147,1
29,29025|29177,2
29,29033|29117,3
29,29035|29181,4
29,29041|29115,5
29,29045|29111,6
29,29057|29039,7
29,29061|29081,8
29,29075|29227|29063,9
29,29085|29167,10
29,29103|29199|29197,11
29,29125|29151,12
29,29129|29079,13
29,29137|29205,14
29,29153|29067,15
29,29171|29211,16
29,29179|29093,17
29,29185|29083,18
29,29203|29065,19
30,30005|30071,1
30,30007|30043,2
30,30015|30041,3
30,30023|30001|30093,4
30,30037|30107|30097|30095,5
30,30039|30077,6
30,30045|30059|30013,7
30,30051|30101|30073,8
30,30055|30079|30011|30025|30109|30021,9
30,30057|30031,10
30,30061|30089,11
30,30065|30111,12
30,30069|30027,13
30,30075|30017,14
30,30099|30049,15
30,30103|30033|30087,16
30,30105|30091|30019|30085,17
31,31003|31011,1
31,31015|31009|31017|31149|31103|31115|31071|31089,2
31,31021|31177,3
31,31023|31037,4
31,31027|31051,5
31,31029|31057|31085|31087|31005|31075|31101|31135,6
31,31031|31091|31171|31117|31113|31111,7
31,31035|31129,8
31,31039|31173,9
31,31059|31169,10
31,31063|31145,11
31,31095|31151,12
31,31097|31133|31131,13
31,31107|31139,14
31,31123|31049|31069|31033,15
31,31125|31081|31121,16
31,31127|31147,17
31,31137|31065|31073|31083,18
31,31143|31185,19
31,31161|31045|31013,20
31,31165|31105|31007|31157,21
31,31167|31179,22
31,31175|31077|31183|31093|31163,23
31,31181|31061|31099|31001,24
32,32009|32021|32019,1
32,32017|32003,2
32,32027|32011|32015|32001,3
32,32029|32510,4
32,32033|32007,5
35,35003|35006,1
35,35021|35059|35007,2
35,35023|35017,3
35,35033|35011|35019|35047,4
35,35037|35009,5
36,36041|36043,1
37,37075|37043,1
37,37095|37177|37187,2
38,38005|38103,1
38,38009|38049,2
38,38013|38061,3
38,38019|38071,4
38,38021|38045|38003,5
38,38023|38105,6
38,38025|38007|38033|38087|38011|38001|38041|38089,7
38,38039|38063|38091|38035,8
38,38043|38047|38051|38027|38031|38093,9
38,38057|38055|38065,10
38,38067|38099,11
38,38073|38081|38077,12
38,38075|38101,13
38,38083|38029|38015,14
38,38085|38037|38059,15
38,38095|38069|38079,16
38,38097|38017,17
40,40007|40059|40045,1
40,40011|40073,2
40,40025|40139,3
40,40029|40005,4
40,40043|40039,5
40,40053|40047,6
40,40055|40057|40065,7
40,40067|40137,8
40,40075|40149,9
40,40085|40019,10
40,40129|40009,11
40,40141|40033|40031,12
40,40151|40003|40093,13
41,41021|41055|41065,1
41,41023|41069|41049,2
41,41025|41045,3
41,41037|41035,4
41,41063|41061,5
42,42023|42105,1
42,42053|42123,2
42,42113|42015,3
45,45005|45011,1
45,45065|45047,2
46,46007|46071|46055|46095,1
46,46009|46067,2
46,46015|46017|46053,3
46,46023|46043,4
46,46031|46041|46137,5
46,46033|46047,6
46,46039|46011,7
46,46045|46089|46049|46021|46129|46107|46119,8
46,46051|46109,9
46,46057|46025|46037|46029,10
46,46061|46097|46087,11
46,46063|46019,12
