,ak,al,ar,as,az,ca,co,ct,dc,de,fl,ga,gu,hi,ia,id,il,in,ks,ky,la,ma,md,me,mi,mn,mo,mp,ms,mt,nc,nd,ne,nh,nj,nm,nv,ny,oh,ok,or,pa,pr,ri,sc,sd,tn,tx,ut,va,vi,vt,wa,wi,wv,wy
2022-05-11,4969.0,18512.0,15313.0,462.0,64333.0,319435.0,50601.0,38551.0,9236.0,9986.0,172132.0,55541.0,3364.0,14044.0,22573.0,28385.0,163145.0,35612.0,20398.0,21716.0,17253.0,84153.0,56821.0,20863.0,72918.0,61428.0,33304.0,124.0,12532.0,7280.0,76959.0,34406.0,12672.0,25612.0,72642.0,20733.0,18158.0,156104.0,110492.0,19326.0,47232.0,113489.0,30142.0,11181.0,28961.0,7556.0,38315.0,198517.0,31972.0,79208.0,1096.0,9155.0,83134.0,53011.0,11202.0,2888.25
2022-05-12,4150.0,18528.0,15032.0,442.0,62750.0,280544.0,49633.0,38440.0,8959.0,10062.0,151359.0,57700.0,3055.0,15072.0,22760.0,28102.0,180518.0,35332.0,19761.0,21058.0,17198.0,69661.0,57922.0,21061.0,70047.0,62228.0,33802.0,92.0,12056.0,6774.0,78167.0,3132.0,14658.0,35697.0,60315.0,26453.0,17718.0,155134.0,149625.0,19290.0,44577.0,113968.0,29329.0,11302.0,29051.0,8516.0,36276.0,197784.0,25175.0,79243.0,1017.0,9208.0,79728.0,52048.0,12482.0,2868.375
2022-05-13,4150.0,18765.0,15089.0,413.0,61891.0,278467.0,49002.0,38396.0,9211.0,10309.0,151911.0,56648.0,2442.0,14602.0,22266.0,12408.0,174531.0,35272.0,19733.0,20689.0,17700.0,84136.0,62756.0,21499.0,70394.0,62060.0,34432.0,155.0,12110.0,8116.0,79548.0,3094.0,17161.0,35651.0,76205.0,21449.0,17780.0,153465.0,149909.0,19413.0,44001.0,113776.0,29311.0,11587.0,29189.0,7118.0,36223.0,197682.0,25236.0,77335.0,841.0,8904.0,78703.0,51722.0,10414.0,2848.5
2022-05-14,4654.3333333,21790.6666667,15321.6666667,448.3333333,62736.0,280261.3333333,48946.0,38807.3333333,9366.6666667,10352.3333333,151697.0,56742.3333333,2515.0,14553.0,22270.0,12815.6666667,159226.6666667,34845.6666667,20275.3333333,22060.6666667,19347.6666667,83954.0,66011.6666667,21321.3333333,70806.0,60192.3333333,34499.6666667,159.3333333,12177.3333333,8119.6666667,77290.6666667,3058.0,13933.6666667,29292.6666667,78064.0,21715.0,17891.0,161141.3333333,150001.3333333,19617.6666667,43639.6666667,104880.6666667,25928.0,11484.0,29263.6666667,7056.6666667,36367.3333333,195088.3333333,25237.6666667,77908.3333333,723.6666667,8870.6666667,78563.0,47864.0,10352.6666667,2828.625
2022-05-15,5158.6666667,24816.3333333,15554.3333333,483.6666667,63581.0,282055.6666667,48890.0,39218.6666667,9522.3333333,10395.6666667,151483.0,56836.6666667,2588.0,14504.0,22274.0,13223.3333333,143922.3333333,34419.3333333,20817.6666667,23432.3333333,20995.3333333,83772.0,69267.3333333,21143.6666667,71218.0,58324.6666667,34567.3333333,163.6666667,12244.6666667,8123.3333333,75033.3333333,3022.0,10706.3333333,22934.3333333,79923.0,21981.0,18002.0,168817.6666667,150093.6666667,19822.3333333,43278.3333333,95985.3333333,22545.0,11381.0,29338.3333333,6995.3333333,36511.6666667,192494.6666667,25239.3333333,78481.6666667,606.3333333,8837.3333333,78423.0,44006.0,10291.3333333,2808.75
2022-05-16,5663.0,27842.0,15787.0,519.0,64426.0,283850.0,48834.0,39630.0,9678.0,10439.0,151269.0,56931.0,2661.0,14455.0,22278.0,13631.0,128618.0,33993.0,21360.0,24804.0,22643.0,83590.0,72523.0,20966.0,71630.0,56457.0,34635.0,168.0,12312.0,8127.0,72776.0,2986.0,7479.0,16576.0,81782.0,22247.0,18113.0,176494.0,150186.0,20027.0,42917.0,87090.0,19162.0,11278.0,29413.0,6934.0,36656.0,189901.0,25241.0,79055.0,489.0,8804.0,78283.0,40148.0,10230.0,2788.875
2022-05-17,5695.0,20246.0,16149.0,547.0,60381.0,297822.0,48966.0,39622.0,9678.0,14172.0,159092.0,59800.0,2545.0,15824.0,22419.0,11275.0,132606.0,34406.0,21631.0,26551.0,21947.0,84101.0,74421.0,21229.0,73049.0,60060.0,35568.0,169.0,12830.0,3782.0,70543.0,2951.0,7483.0,18559.0,84267.0,22629.0,19540.0,156995.0,151510.0,20435.0,44776.0,115610.0,30951.0,11587.0,31247.0,6923.0,37760.0,196078.0,658.0,79474.0,586.0,8676.0,77637.0,53399.0,7144.0,2769.0
2022-05-18,2776.0,20889.0,15385.0,464.0,58869.0,358503.0,49216.0,39280.0,9538.0,10703.0,162937.0,64379.0,1641.0,18740.0,23017.0,11626.0,132538.0,34572.0,21773.0,23590.0,22218.0,84518.0,77146.0,24520.0,74776.0,51792.0,35985.0,147.0,13118.0,3779.0,77875.0,3011.0,4570.0,18521.0,82889.0,22801.0,19618.0,155410.0,120033.0,20191.0,43073.0,116514.0,30600.0,12184.0,31583.0,6882.0,38007.0,195308.0,17604.0,79916.0,532.0,8707.0,77768.0,53381.0,12234.0,2797.0
2022-05-19,4205.0,20779.0,15821.0,432.0,54798.0,399817.0,46465.0,38719.0,9255.0,10637.0,161566.0,71696.0,1645.0,14431.0,23058.0,25347.0,110054.0,34434.0,21523.0,24096.0,22851.0,97708.0,78721.0,20763.0,74856.0,58164.0,35814.0,147.0,10738.0,4185.0,70046.0,2861.0,2615.0,8344.0,95225.0,20056.0,18701.0,154830.0,78526.0,19613.0,42614.0,115133.0,30729.0,11746.0,31473.0,6782.0,43674.0,189949.0,21484.0,79777.0,631.0,8807.0,76918.0,52908.0,10828.0,2706.0
2022-05-20,3582.0,20400.0,18686.0,431.0,51078.0,406527.0,46602.0,38487.0,9091.0,10325.0,160127.0,61607.0,1214.0,15001.0,23265.0,25131.0,2552.0,35278.0,21050.0,24369.0,18868.0,81390.0,77411.0,19995.0,75648.0,57810.0,35704.0,64.0,13798.0,2814.0,68568.0,2977.0,102.0,13564.0,81857.0,20131.0,18656.0,155526.0,79712.0,19565.0,42119.0,115265.0,36619.0,11285.0,31346.0,6473.0,43746.0,186107.0,21432.0,79307.0,589.0,8654.0,76383.0,53671.0,10599.0,2666.0
2022-05-21,3659.3333333,20493.3333333,18026.0,418.0,51571.3333333,408138.0,46184.0,38440.0,8195.3333333,10578.0,160273.6666667,61424.3333333,1260.6666667,15345.3333333,23218.3333333,28892.0,3137.6666667,36255.6666667,20266.3333333,23817.6666667,20802.3333333,81163.0,77869.3333333,19924.6666667,69174.3333333,58659.0,35672.3333333,49.0,13970.6666667,4697.6666667,70082.3333333,3002.6666667,96.0,15854.0,81279.0,20291.3333333,18740.6666667,148457.3333333,81728.3333333,19515.3333333,42148.6666667,115251.3333333,39131.3333333,11399.0,37394.3333333,6503.0,43648.6666667,190242.6666667,21450.6666667,79455.0,621.0,9050.6666667,76529.6666667,53742.0,10560.0,2637.6666667
2022-05-22,3736.6666667,20586.6666667,17366.0,405.0,52064.6666667,409749.0,45766.0,38393.0,7299.6666667,10831.0,160420.3333333,61241.6666667,1307.3333333,15689.6666667,23171.6666667,32653.0,3723.3333333,37233.3333333,19482.6666667,23266.3333333,22736.6666667,80936.0,78327.6666667,19854.3333333,62700.6666667,59508.0,35640.6666667,34.0,14143.3333333,6581.3333333,71596.6666667,3028.3333333,90.0,18144.0,80701.0,20451.6666667,18825.3333333,141388.6666667,83744.6666667,19465.6666667,42178.3333333,115237.6666667,41643.6666667,11513.0,43442.6666667,6533.0,43551.3333333,194378.3333333,21469.3333333,79603.0,653.0,9447.3333333,76676.3333333,53813.0,10521.0,2609.3333333
2022-05-23,3814.0,20680.0,16706.0,392.0,52558.0,411360.0,45348.0,38346.0,6404.0,11084.0,160567.0,61059.0,1354.0,16034.0,23125.0,36414.0,4309.0,38211.0,18699.0,22715.0,24671.0,80709.0,78786.0,19784.0,56227.0,60357.0,35609.0,19.0,14316.0,8465.0,73111.0,3054.0,84.0,20434.0,80123.0,20612.0,18910.0,134320.0,85761.0,19416.0,42208.0,115224.0,44156.0,11627.0,49491.0,6563.0,43454.0,198514.0,21488.0,79751.0,685.0,9844.0,76823.0,53884.0,10482.0,2581.0
2022-05-24,3799.0,21031.0,16497.0,404.0,52984.0,417916.0,53474.0,38658.0,10412.0,7377.0,166451.0,61719.0,1349.0,15962.0,23977.0,36719.0,7502.0,38956.0,19344.0,21621.0,28355.0,81579.0,79684.0,18945.0,76925.0,61899.0,36974.0,160.0,14514.0,8491.0,79215.0,3289.0,19844.0,16876.0,79507.0,20774.0,19110.0,153990.0,87783.0,19577.0,43149.0,118985.0,29443.0,11687.0,31252.0,5134.0,45895.0,197998.0,21476.0,79848.0,563.0,8443.0,75229.0,56528.0,13886.0,2692.0
2022-05-25,4754.0,21223.0,16714.0,330.0,53143.0,408864.0,52291.0,38195.0,10332.0,11179.0,168433.0,62734.0,912.0,15479.0,24213.0,38382.0,4825.0,39691.0,19451.0,25406.0,29359.0,81605.0,80425.0,15474.0,79014.0,71706.0,37840.0,160.0,14536.0,8508.0,73740.0,2791.0,19882.0,16889.0,82877.0,21176.0,19056.0,148160.0,88765.0,20097.0,42012.0,119818.0,28368.0,11580.0,34816.0,5999.0,46279.0,202734.0,4455.0,80102.0,552.0,8290.0,74993.0,57326.0,8767.0,2669.0
2022-05-26,4470.0,21438.0,16096.0,268.0,70540.0,431198.0,55971.0,41456.0,10668.0,11506.0,172040.0,53710.0,1152.0,17783.0,24206.0,24915.0,2148.0,104404.0,19540.0,25928.0,29364.0,81810.0,83431.0,18717.0,79276.0,66210.0,38622.0,249.0,16967.0,5980.0,80214.0,2878.0,19850.0,17049.0,85132.0,20988.0,19320.0,152633.0,93020.0,20525.0,42766.0,121435.0,26514.0,11058.0,40615.0,5974.0,40661.0,209101.0,457.0,80102.0,394.0,7883.0,75287.0,58555.0,10847.0,2740.0
2022-05-27,4463.0,22174.0,13165.0,260.0,77911.0,433781.0,58000.0,42624.0,11241.0,12530.0,177694.0,65340.0,1278.0,17013.0,24392.0,25235.0,169244.0,104819.0,20168.0,25948.0,34107.0,84475.0,83557.0,19012.0,83534.0,68468.0,40874.0,269.0,11687.0,10305.0,81944.0,2733.0,19883.0,17490.0,84061.0,22007.0,20255.0,156970.0,93266.0,20906.0,43947.0,124408.0,26660.0,11315.0,46955.0,6298.0,41947.0,209846.0,432.0,83024.0,469.0,7760.0,77828.0,60581.0,11081.0,2843.0
2022-05-28,4395.5,20979.75,11364.0,229.5,77274.75,434822.0,49929.75,41286.25,11326.0,11860.0,153080.75,55670.0,1220.25,15580.25,22274.75,21837.75,154245.0,102668.25,18540.5,25728.25,30667.0,82674.75,81073.75,17754.75,76580.75,63282.75,37605.5,253.25,11084.0,8889.25,79248.75,2562.75,14948.0,15039.5,80593.25,21080.75,18856.0,153350.25,90799.25,19372.0,40165.75,109388.25,24570.75,11356.25,40531.5,6473.75,38236.0,202275.25,1889.0,82000.5,421.75,7441.75,70946.5,56069.5,10217.5,2487.0
2022-05-29,4328.0,19785.5,9563.0,199.0,76638.5,435863.0,41859.5,39948.5,11411.0,11190.0,128467.5,46000.0,1162.5,14147.5,20157.5,18440.5,139246.0,100517.5,16913.0,25508.5,27227.0,80874.5,78590.5,16497.5,69627.5,58097.5,34337.0,237.5,10481.0,7473.5,76553.5,2392.5,10013.0,12589.0,77125.5,20154.5,17457.0,149730.5,88332.5,17838.0,36384.5,94368.5,22481.5,11397.5,34108.0,6649.5,34525.0,194704.5,3346.0,80977.0,374.5,7123.5,64065.0,51558.0,9354.0,2131.0
2022-05-30,4260.5,18591.25,7762.0,168.5,76002.25,436904.0,33789.25,38610.75,11496.0,10520.0,103854.25,36330.0,1104.75,12714.75,18040.25,15043.25,124247.0,98366.75,15285.5,25288.75,23787.0,79074.25,76107.25,15240.25,62674.25,52912.25,31068.5,221.75,9878.0,6057.75,73858.25,2222.25,5078.0,10138.5,73657.75,19228.25,16058.0,146110.75,85865.75,16304.0,32603.25,79348.75,20392.25,11438.75,27684.5,6825.25,30814.0,187133.75,4803.0,79953.5,327.25,6805.25,57183.5,47046.5,8490.5,1775.0
2022-05-31,4193.0,17397.0,5961.0,138.0,75366.0,437945.0,25719.0,37273.0,11581.0,9850.0,79241.0,26660.0,1047.0,11282.0,15923.0,11646.0,109248.0,96216.0,13658.0,25069.0,20347.0,77274.0,73624.0,13983.0,55721.0,47727.0,27800.0,206.0,9275.0,4642.0,71163.0,2052.0,143.0,7688.0,70190.0,18302.0,14659.0,142491.0,83399.0,14770.0,28822.0,64329.0,18303.0,11480.0,21261.0,7001.0,27103.0,179563.0,6260.0,78930.0,280.0,6487.0,50302.0,42535.0,7627.0,1419.0
2022-06-01,4113.0,18410.0,12052.0,278.0,72298.0,395713.0,49268.0,34291.0,10054.0,4781.0,58580.0,54702.0,1214.0,14512.0,19678.0,8785.0,142034.0,91663.0,16839.0,22138.0,17662.0,66815.0,67335.0,16418.0,65549.0,55604.0,23792.0,206.0,11138.0,4603.0,62607.0,2791.0,94.0,11237.0,60636.0,18487.0,15826.0,129934.0,73966.0,19294.0,38646.0,108530.0,22308.0,10101.0,25113.0,6431.0,35158.0,160339.0,18370.0,73511.0,298.0,6168.0,71220.0,48098.0,9198.0,2491.0
2022-06-02,4113.0,18410.0,12052.0,278.0,72298.0,395713.0,49268.0,34291.0,10054.0,4781.0,58580.0,54702.0,1214.0,14512.0,19678.0,8785.0,142034.0,91663.0,16839.0,22138.0,17662.0,66815.0,67335.0,16418.0,65549.0,55604.0,23792.0,206.0,11138.0,4603.0,62607.0,2791.0,94.0,11237.0,60636.0,18487.0,15826.0,129934.0,73966.0,19294.0,38646.0,108530.0,22308.0,10101.0,25113.0,6431.0,35158.0,160339.0,18370.0,73511.0,298.0,6168.0,71220.0,48098.0,9198.0,2491.0
2022-06-03,4113.0,18410.0,12052.0,278.0,72298.0,395713.0,49268.0,34291.0,10054.0,4781.0,58580.0,54702.0,1214.0,14512.0,19678.0,8785.0,142034.0,91663.0,16839.0,22138.0,17662.0,66815.0,67335.0,16418.0,65549.0,55604.0,23792.0,206.0,11138.0,4603.0,62607.0,2791.0,94.0,11237.0,60636.0,18487.0,15826.0,129934.0,73966.0,19294.0,38646.0,108530.0,22308.0,10101.0,25113.0,6431.0,35158.0,160339.0,18370.0,73511.0,298.0,6168.0,71220.0,48098.0,9198.0,2491.0
2022-06-04,4113.0,18410.0,12052.0,278.0,72298.0,395713.0,49268.0,34291.0,10054.0,4781.0,58580.0,54702.0,1214.0,14512.0,19678.0,8785.0,142034.0,91663.0,16839.0,22138.0,17662.0,66815.0,67335.0,16418.0,65549.0,55604.0,23792.0,206.0,11138.0,4603.0,62607.0,2791.0,94.0,11237.0,60636.0,18487.0,15826.0,129934.0,73966.0,19294.0,38646.0,108530.0,22308.0,10101.0,25113.0,6431.0,35158.0,160339.0,18370.0,73511.0,298.0,6168.0,71220.0,48098.0,9198.0,2491.0
2022-06-05,4113.0,18410.0,12052.0,278.0,72298.0,395713.0,49268.0,34291.0,10054.0,4781.0,58580.0,54702.0,1214.0,14512.0,19678.0,8785.0,142034.0,91663.0,16839.0,22138.0,17662.0,66815.0,67335.0,16418.0,65549.0,55604.0,23792.0,206.0,11138.0,4603.0,62607.0,2791.0,94.0,11237.0,60636.0,18487.0,15826.0,129934.0,73966.0,19294.0,38646.0,108530.0,22308.0,10101.0,25113.0,6431.0,35158.0,160339.0,18370.0,73511.0,298.0,6168.0,71220.0,48098.0,9198.0,2491.0
2022-06-06,4113.0,18410.0,12052.0,278.0,72298.0,395713.0,49268.0,34291.0,10054.0,4781.0,58580.0,54702.0,1214.0,14512.0,19678.0,8785.0,142034.0,91663.0,16839.0,22138.0,17662.0,66815.0,67335.0,16418.0,65549.0,55604.0,23792.0,206.0,11138.0,4603.0,62607.0,2791.0,94.0,11237.0,60636.0,18487.0,15826.0,129934.0,73966.0,19294.0,38646.0,108530.0,22308.0,10101.0,25113.0,6431.0,35158.0,160339.0,18370.0,73511.0,298.0,6168.0,71220.0,48098.0,9198.0,2491.0
2022-06-07,4113.0,18410.0,12052.0,278.0,72298.0,395713.0,49268.0,34291.0,10054.0,4781.0,58580.0,54702.0,1214.0,14512.0,19678.0,8785.0,142034.0,91663.0,16839.0,22138.0,17662.0,66815.0,67335.0,16418.0,65549.0,55604.0,23792.0,206.0,11138.0,4603.0,62607.0,2791.0,94.0,11237.0,60636.0,18487.0,15826.0,129934.0,73966.0,19294.0,38646.0,108530.0,22308.0,10101.0,25113.0,6431.0,35158.0,160339.0,18370.0,73511.0,298.0,6168.0,71220.0,48098.0,9198.0,2491.0
2022-06-08,4113.0,18410.0,12052.0,278.0,72298.0,395713.0,49268.0,34291.0,10054.0,4781.0,58580.0,54702.0,1214.0,14512.0,19678.0,8785.0,142034.0,91663.0,16839.0,22138.0,17662.0,66815.0,67335.0,16418.0,65549.0,55604.0,23792.0,206.0,11138.0,4603.0,62607.0,2791.0,94.0,11237.0,60636.0,18487.0,15826.0,129934.0,73966.0,19294.0,38646.0,108530.0,22308.0,10101.0,25113.0,6431.0,35158.0,160339.0,18370.0,73511.0,298.0,6168.0,71220.0,48098.0,9198.0,2491.0
2022-06-09,4113.0,18410.0,12052.0,278.0,72298.0,395713.0,49268.0,34291.0,10054.0,4781.0,58580.0,54702.0,1214.0,14512.0,19678.0,8785.0,142034.0,91663.0,16839.0,22138.0,17662.0,66815.0,67335.0,16418.0,65549.0,55604.0,23792.0,206.0,11138.0,4603.0,62607.0,2791.0,94.0,11237.0,60636.0,18487.0,15826.0,129934.0,73966.0,19294.0,38646.0,108530.0,22308.0,10101.0,25113.0,6431.0,35158.0,160339.0,18370.0,73511.0,298.0,6168.0,71220.0,48098.0,9198.0,2491.0
2022-06-10,4113.0,18410.0,12052.0,278.0,72298.0,395713.0,49268.0,34291.0,10054.0,4781.0,58580.0,54702.0,1214.0,14512.0,19678.0,8785.0,142034.0,91663.0,16839.0,22138.0,17662.0,66815.0,67335.0,16418.0,65549.0,55604.0,23792.0,206.0,11138.0,4603.0,62607.0,2791.0,94.0,11237.0,60636.0,18487.0,15826.0,129934.0,73966.0,19294.0,38646.0,108530.0,22308.0,10101.0,25113.0,6431.0,35158.0,160339.0,18370.0,73511.0,298.0,6168.0,71220.0,48098.0,9198.0,2491.0
2022-06-11,4113.0,18410.0,12052.0,278.0,72298.0,395713.0,49268.0,34291.0,10054.0,4781.0,58580.0,54702.0,1214.0,14512.0,19678.0,8785.0,142034.0,91663.0,16839.0,22138.0,17662.0,66815.0,67335.0,16418.0,65549.0,55604.0,23792.0,206.0,11138.0,4603.0,62607.0,2791.0,94.0,11237.0,60636.0,18487.0,15826.0,129934.0,73966.0,19294.0,38646.0,108530.0,22308.0,10101.0,25113.0,6431.0,35158.0,160339.0,18370.0,73511.0,298.0,6168.0,71220.0,48098.0,9198.0,2491.0
2022-06-12,4113.0,18410.0,12052.0,278.0,72298.0,395713.0,49268.0,34291.0,10054.0,4781.0,58580.0,54702.0,1214.0,14512.0,19678.0,8785.0,142034.0,91663.0,16839.0,22138.0,17662.0,66815.0,67335.0,16418.0,65549.0,55604.0,23792.0,206.0,11138.0,4603.0,62607.0,2791.0,94.0,11237.0,60636.0,18487.0,15826.0,129934.0,73966.0,19294.0,38646.0,108530.0,22308.0,10101.0,25113.0,6431.0,35158.0,160339.0,18370.0,73511.0,298.0,6168.0,71220.0,48098.0,9198.0,2491.0
2022-06-13,163.0,2393.7142857,1865.5714286,31.7142857,6901.1428571,44852.5714286,6377.7142857,2850.0,,1090.8571429,16950.0,6043.8571429,209.4285714,3081.1428571,2612.1428571,1490.5714286,11288.4285714,3887.0,,2642.4285714,2713.4285714,8407.4285714,8042.1428571,1785.7142857,7300.7142857,7947.5714286,4841.0,21.2857143,1584.0,780.7142857,8698.7142857,511.4285714,3406.0,1286.5714286,7325.8571429,2757.1428571,2479.0,16955.1428571,,2381.5714286,3885.5714286,14146.1428571,3189.5714286,1086.4285714,3534.2857143,950.2857143,4437.2857143,24845.1428571,2996.4285714,8369.4285714,30.1428571,885.8571429,10739.7142857,4412.0,1187.7142857,325.0
2022-06-14,532.7142857,2532.7142857,2188.5714286,23.4285714,6769.7142857,44404.2857143,7400.5714286,2692.7142857,,743.2857143,9978.7142857,7220.5714286,189.1428571,2693.4285714,2542.5714286,1243.1428571,11423.8571429,3950.4285714,,2731.4285714,2708.5714286,7810.0,7840.2857143,1642.8571429,7301.8571429,6329.1428571,4843.0,21.2857143,1608.1428571,780.7142857,8589.8571429,395.2857143,7.0,892.8571429,7100.1428571,2832.4285714,2390.1428571,18522.0,,1761.1428571,4517.2857143,13102.0,2319.7142857,1075.5714286,3416.0,811.0,4287.7142857,22194.0,2996.4285714,8335.8571429,31.7142857,861.2857143,10402.4285714,5731.2857143,832.1428571,306.8571429
