,ak,al,ar,as,az,ca,co,ct,dc,de,fl,ga,gu,hi,ia,id,il,in,ks,ky,la,ma,md,me,mi,mn,mo,mp,ms,mt,nc,nd,ne,nh,nj,nm,nv,ny,oh,ok,or,pa,pr,ri,sc,sd,tn,tx,ut,va,vi,vt,wa,wi,wv,wy
2022-05-01,5004.0,22530.0,17698.0,760.0,67651.0,440807.0,60189.0,43684.0,14818.0,13491.0,189183.0,65702.0,1827.0,18160.0,30652.0,10525.0,138940.0,37775.0,23521.0,25427.0,20759.0,90510.0,71766.0,23674.0,79375.0,65312.0,37078.0,0.0,14506.0,7758.0,78530.0,2613.0,17632.0,16499.0,84645.0,22238.0,21102.0,179807.0,84495.0,22969.0,54536.0,357186.0,47778.0,11959.0,1286.0,9292.0,41096.0,572112.0,26761.0,78163.0,1296.0,9657.0,78489.0,53981.0,11934.0,3341.0
2022-05-02,5080.5,21306.5,19136.5,555.0,66196.0,427257.5,55802.0,42883.0,44090.5,15138.0,184700.5,70041.5,1804.0,18278.0,28685.0,10291.0,135833.0,38140.0,23446.5,24293.5,19872.5,89852.0,72311.0,23111.0,79183.5,64702.0,43183.5,60.0,16209.0,7720.5,77837.0,2286.5,17632.0,18068.5,85366.0,22211.5,20818.5,177036.0,83970.5,22513.5,55275.0,360182.0,42017.5,11978.0,77403.5,9382.5,39859.0,389551.0,26806.5,77830.0,1212.0,9673.0,79672.5,58730.5,11590.0,3213.5
2022-05-03,5157.0,20083.0,20575.0,350.0,64741.0,413708.0,51415.0,42082.0,73363.0,16785.0,180218.0,74381.0,1781.0,18396.0,26718.0,10057.0,132726.0,38505.0,23372.0,23160.0,18986.0,89194.0,72856.0,22548.0,78992.0,64092.0,49289.0,120.0,17912.0,7683.0,77144.0,1960.0,17632.0,19638.0,86087.0,22185.0,20535.0,174265.0,83446.0,22058.0,56014.0,363178.0,36257.0,11997.0,153521.0,9473.0,38622.0,206990.0,26852.0,77497.0,1128.0,9689.0,80856.0,63480.0,11246.0,3086.0
2022-05-04,5177.0,20535.0,22912.0,1083.0,63201.0,415833.0,51338.0,41814.0,73957.0,10689.0,156134.0,70018.0,1713.0,18349.0,26600.0,10088.0,122081.0,38152.0,23225.0,23109.0,19025.0,88731.0,71359.0,22453.0,89246.0,64278.0,35499.0,253.0,13820.0,7654.0,76417.0,1946.0,17812.0,24510.0,85209.0,22940.0,20570.0,172494.0,82750.0,22024.0,55427.0,126842.0,40084.0,11586.0,153664.0,9562.0,38585.0,205625.0,26848.0,80466.0,931.0,9291.0,79349.0,63805.0,11283.0,3001.0
2022-05-05,5102.0,20328.0,17452.0,1197.0,64597.0,415057.0,52306.0,41128.0,73592.0,10571.0,172120.0,63220.0,1418.0,19751.0,27437.0,10030.0,122103.0,38254.0,23400.0,22707.0,19288.0,88281.0,69551.0,22060.0,81000.0,63571.0,35409.0,285.0,13954.0,10227.0,69986.0,33452.0,13145.0,22192.0,84087.0,19187.0,21060.0,165078.0,83791.0,21329.0,55431.0,144133.0,47067.0,11358.0,153506.0,8390.0,40524.0,204757.0,33733.0,80423.0,819.0,9281.0,80633.0,62237.0,9458.0,2986.0
2022-05-06,5661.0,19721.0,14225.0,957.0,64742.0,404914.0,51481.0,40005.0,73185.0,9780.0,169067.0,62677.0,2455.0,19470.0,25448.0,25838.0,103762.0,37568.0,22829.0,22919.0,19285.0,88129.0,63977.0,21984.0,78039.0,62789.0,34971.0,305.0,13382.0,10162.0,68461.0,33672.0,9940.0,20097.0,80520.0,22456.0,21025.0,162992.0,81913.0,21214.0,54460.0,125198.0,26794.0,11034.0,153508.0,9369.0,39946.0,201576.0,7416.0,81643.0,820.0,9448.0,81499.0,60042.0,11389.0,2973.0
2022-05-07,4666.3333333,16616.3333333,14331.0,957.0,62295.6666667,397397.3333333,51646.3333333,39468.0,51871.3333333,9717.3333333,151292.6666667,65972.0,2409.3333333,19196.6666667,25257.3333333,25853.0,118955.0,37264.6666667,22157.6666667,22262.0,18674.0,87490.6666667,61958.3333333,21772.3333333,77415.6666667,62367.0,34780.6666667,315.6666667,13215.0,10140.0,70019.3333333,33730.6666667,12072.6666667,22903.0,78957.3333333,22292.0,20619.3333333,153711.3333333,80951.3333333,20804.3333333,52342.3333333,122136.0,27324.6666667,11209.0,153366.0,9118.3333333,39492.3333333,203347.3333333,7373.6666667,81638.0,977.3333333,9454.3333333,81254.3333333,62793.3333333,11371.6666667,2958.0
2022-05-08,3671.6666667,13511.6666667,14437.0,957.0,59849.3333333,389880.6666667,51811.6666667,38931.0,30557.6666667,9654.6666667,133518.3333333,69267.0,2363.6666667,18923.3333333,25066.6666667,25868.0,134148.0,36961.3333333,21486.3333333,21605.0,18063.0,86852.3333333,59939.6666667,21560.6666667,76792.3333333,61945.0,34590.3333333,326.3333333,13048.0,10118.0,71577.6666667,33789.3333333,14205.3333333,25709.0,77394.6666667,22128.0,20213.6666667,144430.6666667,79989.6666667,20394.6666667,50224.6666667,119074.0,27855.3333333,11384.0,153224.0,8867.6666667,39038.6666667,205118.6666667,7331.3333333,81633.0,1134.6666667,9460.6666667,81009.6666667,65544.6666667,11354.3333333,2943.0
2022-05-09,2677.0,10407.0,14543.0,957.0,57403.0,382364.0,51977.0,38394.0,9244.0,9592.0,115744.0,72562.0,2318.0,18650.0,24876.0,25883.0,149341.0,36658.0,20815.0,20948.0,17452.0,86214.0,57921.0,21349.0,76169.0,61523.0,34400.0,337.0,12881.0,10096.0,73136.0,33848.0,16338.0,28515.0,75832.0,21964.0,19808.0,135150.0,79028.0,19985.0,48107.0,116012.0,28386.0,11559.0,153082.0,8617.0,38585.0,206890.0,7289.0,81628.0,1292.0,9467.0,80765.0,68296.0,11337.0,2928.0
2022-05-10,2459.0,18962.0,14203.0,1038.0,63039.0,377161.0,49716.0,38286.0,9244.0,6296.0,157550.0,55485.0,2241.0,17086.0,23239.0,28489.0,149094.0,35935.0,20547.0,21841.0,17316.0,84533.0,57270.0,20860.0,74186.0,61972.0,33784.0,235.0,12950.0,7285.0,75721.0,34169.0,16338.0,30469.0,72472.0,21282.0,18794.0,156044.0,78386.0,19329.0,46224.0,116934.0,28833.0,11396.0,29232.0,7865.0,38760.0,202132.0,31903.0,82364.0,1203.0,9234.0,82391.0,54082.0,11297.0,2908.125
