,ak,al,ar,as,az,ca,co,ct,dc,de,fl,ga,gu,hi,ia,id,il,in,ks,ky,la,ma,md,me,mi,mn,mo,mp,ms,mt,nc,nd,ne,nh,nj,nm,nv,ny,oh,ok,or,pa,pr,ri,sc,sd,tn,tx,ut,va,vi,vt,wa,wi,wv,wy
2022-06-14,-1161.486518626305,17960.408210937247,14017.717607140294,216.34993078688376,69905.7684666402,394406.8187117679,49404.92546274785,35762.744482977374,11498.455221849974,4267.471585240455,58032.85148190984,58698.40637944889,1140.783756879608,7521.20803687477,19725.418624491766,8060.541814627773,0.0,91644.63116196415,16960.189110150615,21711.45869674024,17353.449350882216,66705.03381079165,66803.94461442568,15654.032473735839,64433.69228557563,55611.32002146322,23700.71636408743,245.54424978906263,11421.197766382304,4524.051119590889,62128.89922334226,2613.632650400077,106.70468839858434,11927.465414022417,60305.71789425898,18313.151334458784,15811.834976137015,133630.06452731218,74051.82850973887,19313.043481239674,38581.12635069088,108294.85106454277,21576.13081017059,9338.081737971235,25642.550057708635,5303.4913846297895,35661.78105540127,160440.64393986482,16781.688827564434,75389.20266892517,282.85422881324723,5676.1718850836205,71456.82983226224,48373.73858715315,8630.380140781806,2716.180463437293
2022-06-15,-84936.4319805858,-306600280.6814821,-445698.6116859115,-6859.0486544632295,-3991921.5382945426,-176176614.57859585,-10317638.311416013,-3673347.279872622,-264220.2021451765,-51028.55821284183,-1953767404.5403423,-4179003.441514544,-52814.87815949456,-934317.6135362802,-3222870.139332361,-247370.62983992754,0.0,-25691912.622150987,4507393.892462414,-2419911.510759406,-2022874.3136134301,-27602720.92327649,-18889057.972527053,-1298386.9312658745,-9474162.35557126,-12936582.76353175,12392329.344618766,-8244.840797207991,-228865.09740583465,-536091.7031859632,19564871.410586707,-86986.75261501851,-1489106.4845051735,368729.0823599478,-8054114.959312002,-9055773.597799523,-1583405.325365885,6888534.674670476,32818265.229817767,-2556152.9225443215,-13638913.128099306,-46062903.41388496,7608636.45412628,-306438.8068269046,-17939372.576009627,-123849.9876389075,2336765.7077225996,178713143.42403477,-322885.2822036097,-21309969.400699325,-8844.47885681409,-186472.00899163465,-16366046.001515165,-17200709.470465332,-600141.13121582,-39960.76805774752
2022-05-08,-52798.78379422147,16840.373095112307,-76491.0626814643,1023.986538569107,65542.21151006217,392087.4920766376,51898.57509148038,404684.1162611302,77998.62711704122,9790.848017873504,169928.23605902187,63110.45670901734,1459.0732832882477,19394.842272188045,39792.42507755733,8441.89111041687,0.0,44109.12008008672,21060.970128762754,22926.009001353967,19362.59818925888,85986.03154844782,51165.249189949594,21632.339274627317,74406.54924627884,62325.88885211989,34434.92082171872,320.75615318250107,15917.76337047842,10474.684946171632,67380.07802741481,33627588.457750596,6824.001100781601,17879.5537154734,80168.59938775409,20029.421690954652,21009.895924994962,154208.49365280193,78131.79965255375,21034.49113378525,51409.916157769534,123533.9060812282,46160.55582296796,12122.478937210868,153608.0986527291,8603.533654840281,39395.18466175565,198469.56516391315,34957.886684508245,84204.4990120302,859.041952177712,9253.371533432899,81895.89893566078,55550.17081606439,9484.576528085447,2956.6147609730942
2022-05-09,6322.032597246584,7701.099392955868,14593.450070095623,1010.700105798658,38038.30326818768,390096.5516549517,51558.912611376545,39463.976300751725,-64230.13444307906,9552.11096326472,83221.68948614609,86896.47150224209,7364.424317749072,19597.90321875349,25377.040468734784,-310307.6970901224,0.0,37282.353412399876,21893.725548237962,25588.139470861308,7214.9520561803365,87196.57870257067,60865.887955630446,21338.729745061337,76886.80793164,62459.80860679815,34595.59250313446,323.11433049486146,13439.22478091874,10500.617442218985,68751.6098846533,33849.86815420144,10461.58380630258,10588.241378327875,75445.74231762615,22104.539868614327,20277.639455057666,139597.83188519775,80567.20351408838,20268.435123103907,49054.81984481112,121766.34343202107,-75761.09899763466,11307.663040546571,153292.84995122676,9275.056269018012,38916.34906072411,201697.98673086782,-368858.6522347409,81770.01075946902,7228.593898004758,9497.869286455369,81355.49830714584,57821.590093175575,11241.654247359458,3047.6610446209907
2022-05-10,2233.55534727464,10184.11329340796,14629.865270392413,744.7729631764705,55533.17367142596,381105.3730446347,51742.62049340837,37341.65822376452,5366.24377673693,8564.148411839698,115427.72938513217,71176.51109883629,2232.5788031778434,17893.69262004407,26812.035862377,23970.36842419126,0.0,36666.33947103607,20700.463006948157,20548.80699961003,17151.069025972214,85075.06167298916,57478.60844168933,20571.43342351492,74899.6346327653,55103.31778894772,34824.73109697392,323.7239495934345,14532.58805757534,9937.340544152712,73519.28510323151,31572.98589792702,15837.845028209169,29966.515390495122,75587.2543313558,21421.737372864765,18982.75349111738,136860.97273082478,78948.40500960202,19403.55986965028,47532.35952398298,115455.77219960386,26916.882021208567,11415.667646657832,152431.0125677454,7646.611587341104,39367.106846958115,206946.30209574374,7053.355202706298,84474.84350812132,1244.5125323369964,8696.690135671037,78287.85238576,67905.84489369672,10713.545228574483,3527.0521842748713
2022-05-11,2135.600369452027,8463.040613335714,14097.685553709114,979.1057935705816,54857.31550523703,374605.09310287726,45031.807659678976,38308.86422143508,-8350.13394054972,9203.010539595976,102306.2480864395,77259.94699568806,2176.8257507786293,18721.975686941092,25121.86033919699,22271.851434347023,0.0,36935.09174959687,20663.74026457686,20828.659713752815,17254.524778040737,86180.38021075379,56815.23183932669,21275.967916613736,76211.15812682925,61991.90236454571,33995.92383799917,655.6070158535495,12972.54400857938,9501.590853877064,77608.05156422443,33207.56951253699,15044.543874767218,35824.73565624727,74613.4553184027,21718.823454479236,19979.930641997802,134827.05997453266,78744.22166178068,20102.196209824233,47125.23766321822,115679.00522905057,37484.26840286807,10717.604145946501,152710.32026775175,8476.837415351793,79040.84575370979,210938.4186994586,7096.122776587283,81599.31377425714,1487.808899140101,9281.511839942104,80856.51499041403,73914.75230694587,10289.645162157685,2858.5969273793817
2022-05-12,2401.9476734717996,10058.30135856108,15114.654254605703,-7698.654079378815,48678.625402773585,362409.8442554511,63002.75932063779,37673.0555938263,9117.518330471003,738902.1466041205,118437.10799299872,143065.0854323738,2314.370616376556,25681.351653727368,70525.17229782545,44177.8247376457,0.0,29362.307787954924,20215.857249901906,20916.418609792523,17240.50577782875,70563.03530156659,56749.79843052173,21548.878725931696,81244.1729042221,62042.51192445421,37303.65979980955,703.7664278620815,13578.081547030059,-29582.54178932232,76952.90633201879,34207.195799110006,14066.498712854736,32481.342982156195,62338.04800657445,23299.77124327432,-9575.80060073093,137423.11071830397,77697.17964028551,14397.721438504639,42177.038211311534,116016.72308128426,31902.712693529043,11567.338795769665,181169.02093480434,4827.281666406088,39738.04742307601,216022.96007952635,7158.376651111602,84307.7542887344,1215.8116598226454,9584.848763362328,232322.60119073465,69036.48655792566,11583.05834201654,2946.854729954548
2022-05-13,2422.045249819007,-138749.67732208385,13664.487239512444,1045.1563675176812,66090.08558764034,374973.36793207866,50377.03036055101,38167.74347057175,9189.731280094014,5099.887775452455,1487669.8464951203,55476.21289634125,2149.00296756632,8297.04110392536,22279.977561099822,30904.30976411129,0.0,36193.1614344555,20215.904489188506,23694.95372029971,17229.139811292258,84532.6413303233,57289.19891362399,20661.154833626697,61083.276894755516,61554.03359314819,33402.34282621133,39.329414700560065,12600.437795133274,7476.791707485184,79404.42033592245,34204.22742522298,69377.7437482258,98260.61277452373,72563.89455116703,19441.273522040996,17842.427105485665,-619601.9596326863,-1347440.4656244693,19447.199409222354,46350.44042358234,103209.51195680164,30560.84305636996,11048.666575291027,-3552020.8066992764,7412.46314885137,37433.93779465185,198406.16707905216,20921653.890994873,99266.78762116632,1064.1759126516774,9197.9702688152,84276.86845166502,-752841.7437514896,13056.294229382642,2939.01998022524
2022-05-14,-57973.22139002204,18575.082411164523,14905.502324242487,-5711.767143961796,64319.95883464629,2236174.4382120296,51633.939352895264,40596.24944207212,9367.677979420148,11046.332917096915,160670.56334306303,66289.17761258443,5016.382453377795,14633.016254266939,22086.68082625739,30350.452815790264,0.0,36698.17627727719,16439.847341684443,22703.822318432976,17572.93461500543,749749.023717579,60653.27929514041,20877.15451589526,71197.86377390163,61731.835155125744,32198.21259560583,82.71256496048976,11326.603112882098,15806.291165003975,79482.28676461022,38726.662310932385,11408.44141021693,22160.467156082486,266732.1620525288,20773.776739604553,17472.901403517564,155647.514981496,110058.14877287002,19716.179663160852,49865.27496073641,113788.97566473913,27577.321781673658,8569.936372699638,29088.197800916223,5388.448169115789,17732.784844551963,194538.826851512,28351.562417152287,79391.96964971974,1028.1555187747122,9308.309538698515,90732.64557540047,51824.186241365016,7901.061247831269,5074.193865732785
2022-05-15,4202.072169476065,18120.818827078365,14181.499415437178,436.22904663357167,60436.17202686574,278996.1377979571,48866.613972821215,38628.901106955935,9431.021032422264,10759.893644014612,151143.0258584359,57081.00021954484,2818.9497084891336,14610.290480113785,22127.06196872492,24324.66711344831,0.0,35077.456493963255,19523.056561756293,20584.379564227715,16891.703946631682,69381.86719931127,100497.50568751706,21613.040590870132,68611.59224136811,61988.51474778858,34023.75761927008,20.909489908009277,11205.326518200232,4930.424103030335,79451.48875229387,1840724.554437263,21146.541044068334,34083.94623202712,60631.7864830839,21209.208926216637,17592.471426953445,140495.30526844307,-624485.2891473277,19297.54776989548,43626.63093945147,115635.98886845984,21189.974253955777,11956.29178409388,29251.244669144602,9151.149665475505,35276.47653206015,197277.8252827106,25510.493043702398,85055.80097209837,179.73360452518818,4673.925294790533,78267.29589703723,51435.8792195955,14084.88066998601,2834.2606322513407
2022-05-16,8957.969284695093,-15740.630253628595,15693.378657323396,512.5230254000504,62727.675983978384,279206.52362062887,49028.46642955359,38108.734901792006,9045.350704764553,9108.053083611492,149584.19330997174,56420.870228390966,2324.4559706060036,14429.331647601222,21936.493883134855,-131389.07257996246,0.0,34280.71158707582,31211.546287656296,18062.551799313427,24169.01170903052,-262641.18334614835,67692.99591775937,21414.838574048747,70478.67414413043,96987.68063802388,33379.95484771949,160.57711829684877,11958.621007874002,8086.623811689938,89686.2727032798,3068.5131427859787,17789.963220057092,48603.861456992425,454371.67498022155,19584.52907795961,17526.64345818326,145692.07468383788,149688.499055145,22582.371786254313,43480.78709809636,61313.036163245735,21190.284528091557,11795.916647100137,29324.934121091577,7082.578297189072,73589.38933105487,208819.855507388,24640.62103826812,77860.75426397656,555.9247818564625,8830.905261626349,78648.46494044797,6464.5823045047,10228.978267122186,2934.157715345762
2022-05-17,5171.032817176059,27188.846829459806,15558.25545585716,507.6660518130731,62707.09352468903,282914.2457097464,49376.483552682286,39110.07488263194,9326.294156968212,9315.085222038953,150019.0077370975,58132.495992447424,2429.57266793974,13624.263158898197,22323.132744564424,12243.100376326744,0.0,34032.87174729226,21431.21550186348,24343.43656781633,22245.843958871763,83528.08244079756,71957.36584857054,20194.525301165104,70536.1115924949,55439.07168667803,34465.69690080483,161.7888064884333,12362.347625614899,7985.02168232386,72920.88521456452,2820.8681561793437,4130.535665889802,15303.513347310538,79821.37864407692,21810.92668435059,17836.601315720254,178730.69033657023,150338.8068400937,19699.176506994314,42299.72993147552,87901.44712032597,18113.522166684856,10528.999367995984,29340.409735869835,6013.513798815351,37151.27716091969,189920.29205098696,23307.977785316,78616.7957944675,480.74307801143044,8154.313382507415,130321.12057520635,39481.203084802604,9734.697367174216,3589.7837173922308
