state,0.2,0.5,0.8,delta,lower_bound,upper_bound
01000,-2.0,0.0,2.0,6.0,-8.0,8.0
01001,-1.0,5.0,20.200000000000003,33.0,-34.0,53.2
01003,-17.4,4.0,41.60000000000001,90.0,-107.4,131.60000000000002
01005,-7.199999999999999,0.0,6.800000000000001,22.5,-29.7,29.3
01007,-6.199999999999999,0.0,7.0,21.0,-27.2,28.0
01009,-9.399999999999999,3.0,18.6,43.5,-52.9,62.1
01011,-2.8,0.0,2.0,7.5,-10.3,9.5
01013,-3.8,0.0,3.8000000000000007,12.0,-15.8,15.8
01015,-22.199999999999996,2.0,16.6,60.0,-82.19999999999999,76.6
01017,-2.8,1.0,6.800000000000001,15.0,-17.8,21.8
01019,-12.0,-0.5,4.800000000000001,25.5,-37.5,30.3
01021,-4.6,2.5,15.8,31.5,-36.1,47.3
01023,-4.6,0.5,2.0,10.5,-15.1,12.5
01025,-4.8,0.5,5.0,15.0,-19.8,20.0
01027,-5.0,0.5,5.0,15.0,-20.0,20.0
01029,-3.5999999999999996,0.0,4.600000000000001,13.5,-17.1,18.1
01031,-3.5999999999999996,0.0,8.600000000000001,19.5,-23.1,28.1
01033,-18.0,-0.5,11.400000000000002,45.0,-63.0,56.400000000000006
01035,-1.0,0.5,3.8000000000000007,7.5,-8.5,11.3
01037,-3.8,1.0,3.0,10.5,-14.3,13.5
01039,-8.0,0.0,5.800000000000001,21.0,-29.0,26.8
01041,-3.0,0.0,2.8000000000000007,9.0,-12.0,11.8
01043,-14.6,0.0,18.0,49.5,-64.1,67.5
01045,-10.0,-1.5,4.600000000000001,22.5,-32.5,27.1
01047,-8.0,0.0,14.200000000000003,34.5,-42.5,48.7
01049,-7.0,0.0,24.600000000000005,48.0,-55.0,72.60000000000001
01051,-10.0,5.5,35.80000000000001,69.0,-79.0,104.80000000000001
01053,-9.8,0.0,12.800000000000004,34.5,-44.3,47.300000000000004
01055,-22.8,0.5,19.000000000000004,64.5,-87.3,83.5
01057,-10.8,0.0,9.0,30.0,-40.8,39.0
01059,-15.6,-2.0,2.0,27.0,-42.6,29.0
01061,-3.5999999999999996,0.0,3.8000000000000007,12.0,-15.6,15.8
01063,-4.0,0.0,3.6000000000000014,12.0,-16.0,15.600000000000001
01065,-5.0,-1.0,2.0,10.5,-15.5,12.5
01067,-4.8,0.0,3.8000000000000007,13.5,-18.3,17.3
01069,-23.199999999999996,3.0,18.400000000000002,64.5,-87.69999999999999,82.9
01071,-11.0,3.5,12.600000000000001,36.0,-47.0,48.6
01073,-84.8,5.5,97.6,274.5,-359.3,372.1
01075,-8.6,0.0,8.600000000000001,27.0,-35.6,35.6
01077,-29.799999999999997,-6.5,2.6000000000000014,49.5,-79.3,52.1
01079,-4.0,0.5,5.0,13.5,-17.5,18.5
01081,-21.6,0.0,19.600000000000005,63.0,-84.6,82.60000000000001
01083,-8.0,9.5,30.400000000000002,58.5,-66.5,88.9
01085,-3.8,0.0,2.8000000000000007,10.5,-14.3,13.3
01087,-4.0,0.0,3.0,10.5,-14.5,13.5
01089,-12.399999999999999,26.0,96.60000000000001,165.0,-177.4,261.6
01091,-4.999999999999999,0.0,2.8000000000000007,12.0,-17.0,14.8
01093,-11.8,0.0,5.800000000000001,27.0,-38.8,32.8
01095,-10.0,2.5,33.60000000000001,66.0,-76.0,99.60000000000001
01097,-135.4,-13.0,18.400000000000002,232.5,-367.9,250.9
01099,-4.0,0.0,7.400000000000002,18.0,-22.0,25.400000000000002
01101,-20.6,3.0,26.800000000000008,72.0,-92.6,98.80000000000001
01103,-14.2,-0.5,19.000000000000004,52.5,-66.7,71.5
01105,-2.0,0.0,2.0,6.0,-8.0,8.0
01107,-5.8,0.0,2.0,12.0,-17.8,14.0
01109,-10.0,-1.5,5.800000000000001,24.0,-34.0,29.8
01111,-5.8,0.0,5.800000000000001,18.0,-23.8,23.8
01113,-7.6,0.0,6.800000000000001,22.5,-30.1,29.3
01115,-15.6,-4.0,12.8,43.5,-59.1,56.3
01117,-25.8,3.5,36.00000000000001,94.5,-120.3,130.5
01119,-2.0,0.0,4.600000000000001,10.5,-12.5,15.100000000000001
01121,-17.6,0.0,15.8,51.0,-68.6,66.8
01123,-11.399999999999999,0.0,9.600000000000001,33.0,-44.4,42.6
01125,-25.0,0.0,27.400000000000002,79.5,-104.5,106.9
01127,-11.2,1.5,18.400000000000002,46.5,-57.7,64.9
01129,-7.0,-0.5,1.8000000000000007,13.5,-20.5,15.3
01131,-3.0,0.0,2.8000000000000007,9.0,-12.0,11.8
01133,-2.5999999999999996,2.5,9.0,18.0,-20.6,27.0
02000,-5.8,-1.0,1.0,10.5,-16.3,11.5
02013,-3.5999999999999996,0.0,1.0,7.5,-11.1,8.5
02016,-3.8,0.0,2.0,9.0,-12.8,11.0
02020,-618.1999999999999,-102.5,27.000000000000036,970.5,-1588.6999999999998,997.5
02050,-42.8,-9.0,9.400000000000002,79.5,-122.3,88.9
02060,-2.0,0.0,2.0,6.0,-8.0,8.0
02063,-13.8,-1.0,5.0,28.5,-42.3,33.5
02066,-3.0,-0.5,3.0,9.0,-12.0,12.0
02068,-3.0,-0.5,1.0,6.0,-9.0,7.0
02070,-11.8,-3.0,1.8000000000000007,21.0,-32.8,22.8
02090,-137.6,-43.5,5.600000000000005,216.0,-353.6,221.6
02100,-9.6,0.0,1.0,16.5,-26.1,17.5
02105,-2.0,0.0,2.0,6.0,-8.0,8.0
02110,-70.8,-9.0,13.600000000000001,127.5,-198.3,141.1
02122,-89.2,-13.5,27.000000000000025,177.0,-266.2,204.00000000000003
02130,-28.2,-10.5,7.800000000000001,55.5,-83.7,63.3
02150,-24.4,-4.0,4.800000000000004,45.0,-69.4,49.800000000000004
02164,-4.0,-1.0,1.8000000000000007,9.0,-13.0,10.8
02170,-141.0,-45.5,33.0,261.0,-402.0,294.0
02180,-51.199999999999996,-5.5,7.800000000000001,90.0,-141.2,97.8
