state,0.2,0.5,0.8,delta,lower_bound,upper_bound
01000,-2.0,0.0,2.0,6.0,-8.0,8.0
01001,-53.0,-18.0,52.0,157.5,-210.5,209.5
01003,-79.0,-37.0,200.0,418.5,-497.5,618.5
01005,-8.0,1.0,53.0,91.5,-99.5,144.5
01007,-4.0,1.0,15.0,28.5,-32.5,43.5
01009,-25.0,-11.0,20.0,67.5,-92.5,87.5
01011,-5.0,0.0,1.0,9.0,-14.0,10.0
01013,-6.0,-2.0,41.0,70.5,-76.5,111.5
01015,-68.0,-17.0,17.0,127.5,-195.5,144.5
01017,-16.0,-5.0,78.0,141.0,-157.0,219.0
01019,-10.0,-1.0,33.0,64.5,-74.5,97.5
01021,-43.0,-18.0,32.0,112.5,-155.5,144.5
01023,-20.0,-2.0,1.0,31.5,-51.5,32.5
01025,-18.0,-7.0,2.0,30.0,-48.0,32.0
01027,-8.0,-2.0,29.0,55.5,-63.5,84.5
01029,-7.0,0.0,6.0,19.5,-26.5,25.5
01031,-12.0,-1.0,70.0,123.0,-135.0,193.0
01033,-22.0,-6.0,65.0,130.5,-152.5,195.5
01035,-3.0,0.0,11.0,21.0,-24.0,32.0
01037,-1.0,1.0,2.0,4.5,-5.5,6.5
01039,-18.0,0.0,34.0,78.0,-96.0,112.0
01041,-6.0,-2.0,1.0,10.5,-16.5,11.5
01043,-41.0,-24.0,86.0,190.5,-231.5,276.5
01045,-16.0,0.0,16.0,48.0,-64.0,64.0
01047,-16.0,-5.0,47.0,94.5,-110.5,141.5
01049,-28.0,-15.0,16.0,66.0,-94.0,82.0
01051,-37.0,-17.0,29.0,99.0,-136.0,128.0
01053,-11.0,2.0,23.0,51.0,-62.0,74.0
01055,-50.0,-16.0,44.0,141.0,-191.0,185.0
01057,-18.0,-1.0,1.0,28.5,-46.5,29.5
01059,-19.0,-6.0,21.0,60.0,-79.0,81.0
01061,-9.0,-5.0,1.0,15.0,-24.0,16.0
01063,-7.0,-1.0,5.0,18.0,-25.0,23.0
01065,-11.0,-2.0,19.0,45.0,-56.0,64.0
01067,-7.0,-4.0,7.0,21.0,-28.0,28.0
01069,-49.0,-4.0,60.0,163.5,-212.5,223.5
01071,-50.0,-7.0,11.0,91.5,-141.5,102.5
01073,-245.0,-38.0,787.0,1548.0,-1793.0,2335.0
01075,-9.0,-1.0,3.0,18.0,-27.0,21.0
01077,-18.0,-3.0,51.0,103.5,-121.5,154.5
01079,-13.0,1.0,16.0,43.5,-56.5,59.5
