date,0,lags
2021-08-22,0.104,1
2021-08-23,0.104,1
2021-08-24,0.15625,1
2021-08-25,0.087152516904583,1
2021-08-26,0.087152516904583,1
2021-08-27,0.087152516904583,1
2021-08-28,0.1262002743484225,1
2021-08-29,0.1262002743484225,1
2021-08-30,0.074074074074074,1
2021-08-31,0.104,1
2021-09-01,0.15625,1
2021-09-02,0.104,1
2021-09-03,0.15625,1
2021-09-04,0.1262002743484225,1
2021-09-05,0.2592592592592592,1
2021-09-06,0.0637232589895311,1
2021-09-07,0.0553935860058309,1
2021-09-08,0.1262002743484225,1
2021-09-09,0.087152516904583,1
2021-09-10,0.1982507288629737,1
2021-09-11,0.104,1
2021-09-12,0.104,1
2021-09-13,0.1262002743484225,1
2021-09-14,0.104,1
2021-09-15,0.15625,1
2021-09-16,0.104,1
2021-09-17,0.15625,1
2021-09-18,0.15625,1
2021-09-19,0.1982507288629737,1
2021-09-20,0.15625,1
2021-09-21,0.087152516904583,1
2021-09-22,0.15625,1
2021-09-23,0.087152516904583,1
2021-09-24,0.15625,1
2021-09-25,0.15625,1
2021-09-26,0.2592592592592592,1
2021-09-27,0.1262002743484225,1
2021-09-28,0.15625,1
2021-09-29,0.15625,1
2021-09-30,0.104,1
2021-10-01,0.2158207590306356,1
2021-10-02,0.15625,1
2021-10-03,0.1262002743484225,1
2021-10-04,0.1262002743484225,1
2021-10-05,0.15625,1
2021-10-06,0.15625,1
2021-10-07,0.104,1
2021-10-08,0.15625,1
2021-10-09,0.104,1
2021-10-10,0.15625,1
2021-10-11,0.074074074074074,1
2021-10-12,0.104,1
2021-10-13,0.15625,1
2021-10-14,0.104,1
2021-10-15,0.104,1
2021-10-16,0.1262002743484225,1
2021-10-17,0.104,1
2021-10-18,0.087152516904583,1
2021-10-19,0.1262002743484225,1
2021-10-20,0.1262002743484225,1
2021-10-21,0.104,1
2021-10-22,0.2592592592592592,1
2021-10-24,0.15625,1
2021-10-25,0.104,1
2021-10-26,0.074074074074074,1
2021-10-27,0.087152516904583,1
2021-10-28,0.087152516904583,1
2021-10-29,0.15625,1
2021-10-30,0.15625,1
2021-10-31,0.15625,1
2021-11-01,0.15625,1
2021-11-02,0.1262002743484225,1
2021-11-03,0.1262002743484225,1
2021-11-04,0.104,1
2021-11-05,0.1982507288629737,1
2021-11-06,0.104,1
2021-11-07,0.15625,1
2021-11-08,0.104,1
2021-11-09,0.1262002743484225,1
2021-11-10,0.1262002743484225,1
2021-11-11,0.104,1
2021-11-12,0.104,1
2021-11-13,0.15625,1
2021-11-14,0.15625,1
2021-11-15,0.1262002743484225,1
2021-11-16,0.1262002743484225,1
2021-11-17,0.15625,1
2021-11-18,0.087152516904583,1
2021-11-19,0.15625,1
2021-11-20,0.1262002743484225,1
2021-11-21,0.15625,1
2021-11-22,0.15625,1
2021-11-23,0.1262002743484225,1
2021-11-24,0.15625,1
2021-11-25,0.087152516904583,1
2021-11-26,0.087152516904583,1
2021-11-27,0.104,1
2021-11-28,0.1262002743484225,1
2021-11-29,0.1262002743484225,1
2021-11-30,0.1262002743484225,1
2021-12-01,0.1262002743484225,1
2021-12-02,0.087152516904583,1
2021-12-03,0.1262002743484225,1
2021-12-04,0.15625,1
2021-12-05,0.15625,1
2021-12-06,0.087152516904583,1
2021-12-07,0.087152516904583,1
2021-12-08,0.087152516904583,1
2021-12-09,0.087152516904583,1
2021-12-10,0.104,1
2021-12-11,0.1262002743484225,1
2021-12-12,0.1262002743484225,1
2021-12-13,0.1262002743484225,1
2021-12-14,0.1262002743484225,1
2021-12-15,0.15625,1
2021-12-16,0.087152516904583,1
2021-12-17,0.1262002743484225,1
2021-12-18,0.104,1
2021-12-19,0.2592592592592592,1
2021-12-20,0.15625,1
2021-12-21,0.1262002743484225,1
2021-12-22,0.1262002743484225,1
2021-12-23,0.087152516904583,1
2021-12-24,0.074074074074074,1
2021-12-25,0.087152516904583,1
2021-12-26,0.087152516904583,1
2021-12-27,0.074074074074074,1
2021-12-28,0.104,1
