state,0.2,0.5,0.8,delta,lower_bound,upper_bound
04013,-171.0,232.0,1578.0,2623.5,-2794.5,4201.5
04015,-76.0,-8.0,53.0,193.5,-269.5,246.5
04017,-23.0,6.0,18.0,61.5,-84.5,79.5
04019,-98.0,48.0,408.0,759.0,-857.0,1167.0
04021,-316.0,-118.0,242.0,837.0,-1153.0,1079.0
04023,-11.0,4.0,10.0,31.5,-42.5,41.5
04025,-15.0,27.0,76.0,136.5,-151.5,212.5
04027,-19.0,5.0,22.0,61.5,-80.5,83.5
05000,-36.0,14.0,36.0,108.0,-144.0,144.0
05001,-4.0,-1.0,4.0,12.0,-16.0,16.0
05003,-3.0,0.0,8.0,16.5,-19.5,24.5
05005,-7.0,4.0,20.0,40.5,-47.5,60.5
05007,-23.0,18.0,59.0,123.0,-146.0,182.0
05009,-10.0,-1.0,13.0,34.5,-44.5,47.5
05011,-1.0,1.0,4.0,7.5,-8.5,11.5
05013,-1.0,0.0,2.0,4.5,-5.5,6.5
05015,-1.0,2.0,8.0,13.5,-14.5,21.5
05017,-2.0,0.0,2.0,6.0,-8.0,8.0
05019,-2.0,4.0,14.0,24.0,-26.0,38.0
05021,-6.0,-1.0,5.0,16.5,-22.5,21.5
05023,-8.0,0.0,9.0,25.5,-33.5,34.5
05025,-3.0,-1.0,2.0,7.5,-10.5,9.5
05027,-2.0,0.0,6.0,12.0,-14.0,18.0
05029,-1.0,4.0,9.0,15.0,-16.0,24.0
05031,-16.0,4.0,31.0,70.5,-86.5,101.5
05033,-9.0,-4.0,7.0,24.0,-33.0,31.0
05035,-5.0,3.0,21.0,39.0,-44.0,60.0
05037,-2.0,3.0,5.0,10.5,-12.5,15.5
05039,-1.0,0.0,4.0,7.5,-8.5,11.5
05041,-3.0,0.0,4.0,10.5,-13.5,14.5
05043,-2.0,2.0,7.0,13.5,-15.5,20.5
05045,-9.0,11.0,29.0,57.0,-66.0,86.0
05047,-4.0,0.0,3.0,10.5,-14.5,13.5
05049,-4.0,1.0,5.0,13.5,-17.5,18.5
05051,-3.0,16.0,49.0,78.0,-81.0,127.0
05053,-2.0,0.0,5.0,10.5,-12.5,15.5
05055,-9.0,1.0,11.0,30.0,-39.0,41.0
05057,-4.0,0.0,6.0,15.0,-19.0,21.0
05059,-2.0,5.0,13.0,22.5,-24.5,35.5
05061,-6.0,-2.0,3.0,13.5,-19.5,16.5
05063,-10.0,-1.0,7.0,25.5,-35.5,32.5
05065,-4.0,1.0,7.0,16.5,-20.5,23.5
05067,-4.0,4.0,8.0,18.0,-22.0,26.0
05069,-5.0,2.0,20.0,37.5,-42.5,57.5
05071,-2.0,4.0,12.0,21.0,-23.0,33.0
05073,-1.0,0.0,2.0,4.5,-5.5,6.5
05075,-7.0,2.0,6.0,19.5,-26.5,25.5
05077,-2.0,1.0,6.0,12.0,-14.0,18.0
05079,-3.0,1.0,4.0,10.5,-13.5,14.5
05081,-6.0,-1.0,2.0,12.0,-18.0,14.0
05083,-6.0,1.0,7.0,19.5,-25.5,26.5
05085,-7.0,6.0,21.0,42.0,-49.0,63.0
05087,-2.0,4.0,8.0,15.0,-17.0,23.0
05089,-3.0,2.0,8.0,16.5,-19.5,24.5
05091,-5.0,1.0,11.0,24.0,-29.0,35.0
05093,-10.0,3.0,16.0,39.0,-49.0,55.0
05095,-1.0,0.0,2.0,4.5,-5.5,6.5
05097,-2.0,1.0,3.0,7.5,-9.5,10.5
05099,-3.0,1.0,5.0,12.0,-15.0,17.0
05101,-3.0,0.0,1.0,6.0,-9.0,7.0
05103,-3.0,2.0,7.0,15.0,-18.0,22.0
05105,-2.0,0.0,4.0,9.0,-11.0,13.0
05107,-2.0,1.0,5.0,10.5,-12.5,15.5
05109,-5.0,-1.0,8.0,19.5,-24.5,27.5
05111,-10.0,-4.0,2.0,18.0,-28.0,20.0
05113,-2.0,0.0,4.0,9.0,-11.0,13.0
05115,-4.0,8.0,29.0,49.5,-53.5,78.5
05117,-2.0,0.0,3.0,7.5,-9.5,10.5
05119,-23.0,10.0,81.0,156.0,-179.0,237.0
05121,-5.0,1.0,10.0,22.5,-27.5,32.5
05123,-6.0,0.0,8.0,21.0,-27.0,29.0
05125,-6.0,6.0,23.0,43.5,-49.5,66.5
05127,-4.0,0.0,1.0,7.5,-11.5,8.5
05129,-4.0,0.0,6.0,15.0,-19.0,21.0
05131,-21.0,-3.0,14.0,52.5,-73.5,66.5
05133,-9.0,-3.0,9.0,27.0,-36.0,36.0
05135,-9.0,-1.0,5.0,21.0,-30.0,26.0
05137,-6.0,-1.0,4.0,15.0,-21.0,19.0
05139,-5.0,3.0,10.0,22.5,-27.5,32.5
05141,-4.0,0.0,5.0,13.5,-17.5,18.5
05143,-1.0,26.0,102.0,154.5,-155.5,256.5
05145,-17.0,-6.0,15.0,48.0,-65.0,63.0
05147,-4.0,0.0,4.0,12.0,-16.0,16.0
05149,-4.0,2.0,10.0,21.0,-25.0,31.0
06000,-104.0,-51.0,1.0,157.5,-261.5,158.5
06001,-201.0,-6.0,281.0,723.0,-924.0,1004.0
06003,-2.0,0.0,2.0,6.0,-8.0,8.0
06005,-10.0,0.0,25.0,52.5,-62.5,77.5
06007,-96.0,0.0,41.0,205.5,-301.5,246.5
06009,-20.0,3.0,9.0,43.5,-63.5,52.5
06011,-4.0,0.0,2.0,9.0,-13.0,11.0
06013,-218.0,3.0,106.0,486.0,-704.0,592.0
06015,-21.0,-2.0,6.0,40.5,-61.5,46.5
06017,-24.0,4.0,23.0,70.5,-94.5,93.5
06019,-124.0,9.0,200.0,486.0,-610.0,686.0
06021,-2.0,1.0,10.0,18.0,-20.0,28.0
06023,-61.0,-7.0,21.0,123.0,-184.0,144.0
06025,-39.0,19.0,77.0,174.0,-213.0,251.0
06027,-3.0,1.0,16.0,28.5,-31.5,44.5
06029,-56.0,45.0,182.0,357.0,-413.0,539.0
06031,-66.0,-3.0,75.0,211.5,-277.5,286.5
06033,-8.0,-1.0,16.0,36.0,-44.0,52.0
06035,-28.0,0.0,22.0,75.0,-103.0,97.0
06037,-1.0,551.0,1420.0,2131.5,-2132.5,3551.5
06039,-39.0,3.0,72.0,166.5,-205.5,238.5
06041,-47.0,-4.0,21.0,102.0,-149.0,123.0
06043,-8.0,-1.0,3.0,16.5,-24.5,19.5
06045,-57.0,-5.0,14.0,106.5,-163.5,120.5
06047,-33.0,3.0,30.0,94.5,-127.5,124.5
06049,-2.0,0.0,2.0,6.0,-8.0,8.0
06051,-7.0,-1.0,5.0,18.0,-25.0,23.0
06053,-36.0,7.0,45.0,121.5,-157.5,166.5
06055,-43.0,4.0,27.0,105.0,-148.0,132.0
06057,-37.0,-9.0,8.0,67.5,-104.5,75.5
06059,-722.0,29.0,226.0,1422.0,-2144.0,1648.0
06061,-239.0,-4.0,56.0,442.5,-681.5,498.5
06063,-3.0,2.0,11.0,21.0,-24.0,32.0
06065,-658.0,92.0,302.0,1440.0,-2098.0,1742.0
06067,-312.0,-51.0,49.0,541.5,-853.5,590.5
06069,-23.0,0.0,8.0,46.5,-69.5,54.5
06071,-870.0,23.0,487.0,2035.5,-2905.5,2522.5
06073,-2383.0,-299.0,172.0,3832.5,-6215.5,4004.5
06075,-37.0,-7.0,227.0,396.0,-433.0,623.0
06077,-127.0,13.0,97.0,336.0,-463.0,433.0
06079,-131.0,-6.0,34.0,247.5,-378.5,281.5
06081,-34.0,5.0,159.0,289.5,-323.5,448.5
06083,-52.0,15.0,148.0,300.0,-352.0,448.0
06085,-204.0,-12.0,147.0,526.5,-730.5,673.5
06087,-48.0,8.0,24.0,108.0,-156.0,132.0
06089,-36.0,17.0,47.0,124.5,-160.5,171.5
06091,-1.0,0.0,1.0,3.0,-4.0,4.0
06093,-11.0,0.0,3.0,21.0,-32.0,24.0
06095,-28.0,9.0,276.0,456.0,-484.0,732.0
06097,-52.0,3.0,67.0,178.5,-230.5,245.5
06099,-574.0,-90.0,1.0,862.5,-1436.5,863.5
06101,-32.0,-4.0,11.0,64.5,-96.5,75.5
06103,-20.0,0.0,14.0,51.0,-71.0,65.0
06105,-2.0,0.0,3.0,7.5,-9.5,10.5
06107,-73.0,33.0,163.0,354.0,-427.0,517.0
06109,-31.0,-5.0,16.0,70.5,-101.5,86.5
06111,-162.0,16.0,124.0,429.0,-591.0,553.0
06113,-23.0,-3.0,44.0,100.5,-123.5,144.5
06115,-46.0,1.0,12.0,87.0,-133.0,99.0
08000,-1.0,0.0,1.0,3.0,-4.0,4.0
08001,-36.0,10.0,67.0,154.5,-190.5,221.5
08003,-5.0,-1.0,4.0,13.5,-18.5,17.5
08005,-52.0,12.0,44.0,144.0,-196.0,188.0
08007,-2.0,3.0,14.0,24.0,-26.0,38.0
08009,-1.0,1.0,5.0,9.0,-10.0,14.0
08011,-2.0,0.0,3.0,7.5,-9.5,10.5
08013,-16.0,9.0,47.0,94.5,-110.5,141.5
08014,-11.0,1.0,9.0,30.0,-41.0,39.0
08015,-2.0,1.0,11.0,19.5,-21.5,30.5
08017,-2.0,0.0,1.0,4.5,-6.5,5.5
08019,-2.0,1.0,3.0,7.5,-9.5,10.5
08021,-3.0,2.0,4.0,10.5,-13.5,14.5
08023,-2.0,0.0,1.0,4.5,-6.5,5.5
08025,-3.0,0.0,1.0,6.0,-9.0,7.0
08027,-2.0,0.0,1.0,4.5,-6.5,5.5
08029,-4.0,7.0,11.0,22.5,-26.5,33.5
08031,-96.0,-29.0,33.0,193.5,-289.5,226.5
08033,-2.0,0.0,2.0,6.0,-8.0,8.0
08035,-44.0,1.0,48.0,138.0,-182.0,186.0
08037,-17.0,1.0,16.0,49.5,-66.5,65.5
08039,-4.0,1.0,7.0,16.5,-20.5,23.5
08041,-74.0,17.0,134.0,312.0,-386.0,446.0
08043,-4.0,7.0,30.0,51.0,-55.0,81.0
08045,-10.0,-1.0,11.0,31.5,-41.5,42.5
08047,-2.0,0.0,5.0,10.5,-12.5,15.5
08049,-2.0,1.0,7.0,13.5,-15.5,20.5
08051,-3.0,0.0,3.0,9.0,-12.0,12.0
08053,-1.0,0.0,1.0,3.0,-4.0,4.0
08055,-2.0,1.0,3.0,7.5,-9.5,10.5
08057,-1.0,0.0,1.0,3.0,-4.0,4.0
08059,-73.0,-10.0,38.0,166.5,-239.5,204.5
08061,-1.0,0.0,1.0,3.0,-4.0,4.0
08063,-3.0,0.0,3.0,9.0,-12.0,12.0
08065,-3.0,-1.0,2.0,7.5,-10.5,9.5
08067,-1.0,12.0,22.0,34.5,-35.5,56.5
08069,-5.0,38.0,111.0,174.0,-179.0,285.0
08071,-2.0,4.0,10.0,18.0,-20.0,28.0
08073,-3.0,1.0,4.0,10.5,-13.5,14.5
08075,-5.0,2.0,8.0,19.5,-24.5,27.5
08077,-1.0,25.0,60.0,91.5,-92.5,151.5
08079,-1.0,0.0,1.0,3.0,-4.0,4.0
08081,-6.0,-1.0,3.0,13.5,-19.5,16.5
08083,-1.0,11.0,22.0,34.5,-35.5,56.5
08085,-6.0,3.0,13.0,28.5,-34.5,41.5
08087,-2.0,1.0,6.0,12.0,-14.0,18.0
08089,-6.0,-2.0,2.0,12.0,-18.0,14.0
08091,-4.0,-1.0,3.0,10.5,-14.5,13.5
08093,-2.0,3.0,7.0,13.5,-15.5,20.5
08095,-1.0,2.0,4.0,7.5,-8.5,11.5
08097,-7.0,1.0,6.0,19.5,-26.5,25.5
08099,-2.0,1.0,5.0,10.5,-12.5,15.5
08101,-22.0,2.0,56.0,117.0,-139.0,173.0
08103,-5.0,-2.0,3.0,12.0,-17.0,15.0
08105,-5.0,0.0,5.0,15.0,-20.0,20.0
08107,-3.0,1.0,8.0,16.5,-19.5,24.5
08109,-4.0,0.0,1.0,7.5,-11.5,8.5
08111,-1.0,0.0,1.0,3.0,-4.0,4.0
08113,-3.0,1.0,3.0,9.0,-12.0,12.0
08115,-1.0,0.0,2.0,4.5,-5.5,6.5
08117,-8.0,0.0,17.0,37.5,-45.5,54.5
08119,-1.0,6.0,14.0,22.5,-23.5,36.5
08121,-2.0,0.0,2.0,6.0,-8.0,8.0
08123,-10.0,39.0,49.0,88.5,-98.5,137.5
08125,-5.0,0.0,2.0,10.5,-15.5,12.5
09000,-4.0,2.0,6.0,15.0,-19.0,21.0
09001,-106.0,-32.0,32.0,207.0,-313.0,239.0
