state,0.2,0.5,0.8,delta,lower_bound,upper_bound
01000,-2.783946519582396,-0.783946519582396,1.216053480417604,7.5,-10.283946519582397,8.716053480417603
01001,-45.186218671785966,-29.874680723622248,1.0,70.5,-115.68621867178597,71.5
01003,-169.07100978693236,-18.958548933853127,1.9920531585832766,258.0,-427.07100978693234,259.9920531585833
01005,-20.134962097020196,-3.946108695028494,2.6425860979360625,36.0,-56.13496209702019,38.64258609793606
01007,-11.650412410670327,1.9652727327332782,14.34649094895293,40.5,-52.15041241067033,54.84649094895293
01009,-55.58457478811649,-13.168051648191945,4.477274581392099,91.5,-147.0845747881165,95.9772745813921
01011,-3.153774310110406,0.9826363663666391,2.6968028771615815,10.5,-13.653774310110407,13.19680287716158
01013,-35.700356743595144,-11.762320784473243,1.0157889630844288,57.0,-92.70035674359514,58.01578896308443
01015,-90.8532234355014,2.0861568748338666,18.068420726936104,165.0,-255.8532234355014,183.0684207269361
01017,-55.19702119451563,-6.531365367826645,1.0,85.5,-140.69702119451563,86.5
01019,-5.2465186462085365,-1.6026203064315139,4.756032447102431,16.5,-21.746518646208536,21.25603244710243
01021,-39.299014072444315,-5.850939356711477,5.750757227679129,69.0,-108.29901407244432,74.75075722767913
01023,-0.27731336520278194,7.558880575681642,18.46495008883463,30.0,-30.277313365202783,48.46495008883463
01025,-0.8696477501208678,7.301549061918532,17.62426204707631,28.5,-29.36964775012087,46.124262047076314
01027,-5.3179668004008285,-0.31777358481340556,21.669828532258173,42.0,-47.317966800400825,63.66982853225817
01029,-6.1251400760018715,-1.723504448532102,6.878454564566475,21.0,-27.12514007600187,27.878454564566475
01031,-23.7546836083771,-7.52956496375522,0.40789343722961346,37.5,-61.2546836083771,37.90789343722961
01033,-33.90229567220877,-5.6091710725103,12.144950884964278,70.5,-104.40229567220877,82.64495088496427
01035,-12.236881584577924,-6.773133652027822,1.7445686310398334,22.5,-34.73688158457792,24.244568631039833
01037,-11.871116512363773,-3.5074509681144983,2.857064907804733,22.5,-34.37111651236377,25.357064907804734
01039,-48.215634024443915,-6.954459865178703,1.021652085469713,76.5,-124.71563402444391,77.52165208546971
01041,-7.009038813843712,0.9826363663666391,12.030654204127949,31.5,-38.50903881384371,43.53065420412795
01043,-26.652212913042874,-2.3434883885969775,26.13848951479209,81.0,-107.65221291304287,107.1384895147921
01045,-26.44562336315339,-3.326124754963616,6.203891675836589,51.0,-77.44562336315339,57.20389167583659
01047,-47.19086929306181,-2.585256672798153,14.642838181819116,94.5,-141.6908692930618,109.14283818181912
01049,-25.411520694034127,-5.2309554166466015,20.62950057131414,70.5,-95.91152069403412,91.12950057131414
01051,-61.74467413078318,-19.018991004903416,3.5613055779005274,99.0,-160.74467413078318,102.56130557790053
01053,-25.13971245902755,-9.721042751127738,23.10834982325517,75.0,-100.13971245902755,98.10834982325517
01055,-1.0,14.979502932503294,70.19961444712061,108.0,-109.0,178.1996144471206
01057,-10.791772832316664,1.9652727327332782,15.048343312015321,40.5,-51.29177283231667,55.54834331201532
01059,-16.942172067806712,3.749219252315674,15.903870244456597,49.5,-66.44217206780671,65.4038702444566
01061,-13.630886203526053,-1.4817361643309255,1.4603098123837068,24.0,-37.63088620352605,25.460309812383706
01063,-5.2703333051891645,-1.6026203064315139,3.613134050092641,15.0,-20.270333305189165,18.61313405009264
01065,-5.254052002623861,1.0430784374169333,14.479825674703072,31.5,-36.75405200262386,45.97982567470307
01067,-11.245269449913616,-3.447008897064204,2.8360007252970014,22.5,-33.745269449913614,25.336000725297
01069,-68.13886778806834,-25.565919602292006,1.0,105.0,-173.13886778806835,106.0
01071,-1.0,9.52415330841492,30.667230398936812,48.0,-49.0,78.66723039893681
01073,-483.70170959342227,-32.067969358192244,1.0,727.5,-1211.2017095934223,728.5
01075,-6.9213072684609145,-3.825224552927903,4.375066314765835,18.0,-24.921307268460914,22.375066314765835
01077,-15.744694722131909,4.458960875357263,56.32493382179945,109.5,-125.24469472213191,165.82493382179945
01079,-14.41424482014647,-0.8773154538279861,1.9984253294510679,25.5,-39.91424482014647,27.498425329451067
01081,-76.51715693260411,-65.84206908815716,2.7451565340018185,120.0,-196.5171569326041,122.74515653400182
01083,-63.86673407880775,-6.987397171500021,6.9357839897043885,106.5,-170.36673407880775,113.43578398970439
01085,-19.284936117524712,-2.4039304596472704,4.934246014340927,37.5,-56.78493611752471,42.43424601434093
01087,-5.321799607941787,0.9826363663666391,8.907282014262435,22.5,-27.821799607941788,31.407282014262435
01089,-250.82592488784383,-68.17542678878459,12.03361997099735,396.0,-646.8259248878438,408.03361997099734
01091,-7.559242745121131,4.731855618682314,7.174801797432659,24.0,-31.559242745121132,31.174801797432657
01093,-16.43062168619288,11.594746953686851,20.30897651002784,57.0,-73.43062168619288,77.30897651002783
01095,-17.208479349867496,11.610310183248785,40.336082508432945,88.5,-105.7084793498675,128.83608250843295
01097,-261.77702012152815,-46.50530449844034,1.0,394.5,-656.2770201215282,395.5
01099,-17.189803474393173,-13.364941090904761,0.9190816494039606,28.5,-45.68980347439317,29.41908164940396
01101,-137.40485545318808,-29.19425471250708,114.64503344809451,379.5,-516.904855453188,494.1450334480945
01103,-69.81235461160577,-26.12546147130658,29.461501623843326,150.0,-219.81235461160577,179.46150162384333
01105,-11.792360735278647,-2.963472328661851,0.29156435292375704,19.5,-31.29236073527865,19.791564352923757
01107,-12.962548606620942,-0.783946519582396,4.202715869912626,27.0,-39.96254860662094,31.202715869912627
01109,-15.018665530649402,5.774934056099246,20.711368994311655,55.5,-70.5186655306494,76.21136899431166
01111,-10.833901197332125,-4.082556066691012,3.1396534924308193,22.5,-33.333901197332125,25.63965349243082
01113,-10.48333718524042,2.5990090551626395,20.57767209912203,48.0,-58.483337185240416,68.57767209912203
01115,-19.5157024958343,14.180003626485004,49.41462845923014,105.0,-124.5157024958343,154.41462845923013
01117,-200.19810897433396,-92.05728824244048,23.929999820099702,337.5,-537.698108974334,361.4299998200997
01119,-3.2988352806311116,0.06044207105029398,5.5511173084934144,15.0,-18.29883528063111,20.551117308493414
01121,-84.01414675947748,-2.283046317546683,13.09095983926124,148.5,-232.51414675947748,161.59095983926125
01123,-29.43291035079588,-0.5595418690145806,30.76741252796917,91.5,-120.93291035079588,122.26741252796917
01125,-71.40744782749759,-9.572653844298202,53.7041362452501,189.0,-260.4074478274976,242.70413624525008
01127,-3.648097494007879,12.335615035852314,19.470676775302916,36.0,-39.64809749400788,55.47067677530292
01129,-1.0,3.749219252315674,17.911633511644826,28.5,-29.5,46.41163351164482
01131,-6.268170731678249,-4.06699283712908,2.6425860979360607,15.0,-21.26817073167825,17.64258609793606
01133,-2.6488113897608345,7.740206788832525,37.47974193950721,61.5,-64.14881138976084,98.9797419395072
02000,-23.975251274153543,-2.567893039164792,1.0,37.5,-61.47525127415354,38.5
02013,-27.186355009401858,-13.271572156659168,1.0,43.5,-70.68635500940186,44.5
02016,-40.38755925431159,-9.703679117494376,1.0,63.0,-103.38755925431158,64.0
02020,-3220.450625061891,-1984.5324762952068,1.0,4833.0,-8053.450625061891,4834.0
02050,-153.13297929191904,-70.35786078329585,1.0,232.5,-385.632979291919,233.5
02060,-2.783946519582396,-0.783946519582396,1.216053480417604,7.5,-10.283946519582397,8.716053480417603
02063,-30.397458744650173,-18.209899236906693,1.0,48.0,-78.39745874465018,49.0
02066,-20.050568931072274,-9.703679117494376,1.0,33.0,-53.05056893107228,34.0
02068,-10.417257725327335,-6.135786078329584,1.0,18.0,-28.417257725327335,19.0
02070,-20.050568931072274,-15.055518676241565,1.0,33.0,-53.05056893107228,34.0
02090,-464.9668309149219,-249.64448600132667,1.0,699.0,-1163.966830914922,700.0
02100,-27.899933617234815,-7.919732597911981,1.0,43.5,-71.39993361723481,44.5
02105,-2.783946519582396,-0.783946519582396,1.216053480417604,7.5,-10.283946519582397,8.716053480417603
02110,-354.71893600472976,-186.3143845561516,1.0,534.0,-888.7189360047298,535.0
02122,-424.2928502684432,-213.07358234988754,1.0,639.0,-1063.292850268443,640.0
02130,-66.43317844021458,-52.10488310897222,1.0,102.0,-168.4331784402146,103.0
02150,-172.3996017034089,-77.49364686162544,1.0,261.0,-433.3996017034089,262.0
02164,-10.417257725327335,-7.506220119412317,1.0,18.0,-28.417257725327335,19.0
02170,-816.0475059687374,-323.6782665639961,1.0,1227.0,-2043.0475059687374,1228.0
