name,fips,county,state
"Carroll County, Indiana, United States",18015,Carroll County,Indiana
"Cass County, Indiana, United States",18017,Cass County,Indiana
"Clark County, Indiana, United States",18019,Clark County,Indiana
"Clay County, Indiana, United States",18021,Clay County,Indiana
"Clinton County, Indiana, United States",18023,Clinton County,Indiana
"Crawford County, Indiana, United States",18025,Crawford County,Indiana
"Daviess County, Indiana, United States",18027,Daviess County,Indiana
"Dearborn County, Indiana, United States",18029,Dearborn County,Indiana
"Decatur County, Indiana, United States",18031,Decatur County,Indiana
"DeKalb County, Indiana, United States",18033,DeKalb County,Indiana
"Delaware County, Indiana, United States",18035,Delaware County,Indiana
"Dubois County, Indiana, United States",18037,Dubois County,Indiana
"Elkhart County, Indiana, United States",18039,Elkhart County,Indiana
"Fayette County, Indiana, United States",18041,Fayette County,Indiana
"Floyd County, Indiana, United States",18043,Floyd County,Indiana
"Fountain County, Indiana, United States",18045,Fountain County,Indiana
"Franklin County, Indiana, United States",18047,Franklin County,Indiana
"Fulton County, Indiana, United States",18049,Fulton County,Indiana
"Gibson County, Indiana, United States",18051,Gibson County,Indiana
"Grant County, Indiana, United States",18053,Grant County,Indiana
"Greene County, Indiana, United States",18055,Greene County,Indiana
"Hamilton County, Indiana, United States",18057,Hamilton County,Indiana
"Hancock County, Indiana, United States",18059,Hancock County,Indiana
"Harrison County, Indiana, United States",18061,Harrison County,Indiana
"Hendricks County, Indiana, United States",18063,Hendricks County,Indiana
"Henry County, Indiana, United States",18065,Henry County,Indiana
"Howard County, Indiana, United States",18067,Howard County,Indiana
"Huntington County, Indiana, United States",18069,Huntington County,Indiana
"Jackson County, Indiana, United States",18071,Jackson County,Indiana
"Jasper County, Indiana, United States",18073,Jasper County,Indiana
"Jay County, Indiana, United States",18075,Jay County,Indiana
"Jefferson County, Indiana, United States",18077,Jefferson County,Indiana
"Jennings County, Indiana, United States",18079,Jennings County,Indiana
"Johnson County, Indiana, United States",18081,Johnson County,Indiana
"Knox County, Indiana, United States",18083,Knox County,Indiana
"Kosciusko County, Indiana, United States",18085,Kosciusko County,Indiana
"LaGrange County, Indiana, United States",18087,LaGrange County,Indiana
"Lake County, Indiana, United States",18089,Lake County,Indiana
"LaPorte County, Indiana, United States",18091,LaPorte County,Indiana
"Lawrence County, Indiana, United States",18093,Lawrence County,Indiana
"Madison County, Indiana, United States",18095,Madison County,Indiana
"Marion County, Indiana, United States",18097,Marion County,Indiana
"Marshall County, Indiana, United States",18099,Marshall County,Indiana
"Martin County, Indiana, United States",18101,Martin County,Indiana
"Miami County, Indiana, United States",18103,Miami County,Indiana
"Monroe County, Indiana, United States",18105,Monroe County,Indiana
"Montgomery County, Indiana, United States",18107,Montgomery County,Indiana
"Morgan County, Indiana, United States",18109,Morgan County,Indiana
"Newton County, Indiana, United States",18111,Newton County,Indiana
"Noble County, Indiana, United States",18113,Noble County,Indiana
"Ohio County, Indiana, United States",18115,Ohio County,Indiana
"Orange County, Indiana, United States",18117,Orange County,Indiana
"Owen County, Indiana, United States",18119,Owen County,Indiana
"Parke County, Indiana, United States",18121,Parke County,Indiana
"Perry County, Indiana, United States",18123,Perry County,Indiana
"Pike County, Indiana, United States",18125,Pike County,Indiana
"Porter County, Indiana, United States",18127,Porter County,Indiana
"Posey County, Indiana, United States",18129,Posey County,Indiana
"Pulaski County, Indiana, United States",18131,Pulaski County,Indiana
"Putnam County, Indiana, United States",18133,Putnam County,Indiana
"Randolph County, Indiana, United States",18135,Randolph County,Indiana
"Ripley County, Indiana, United States",18137,Ripley County,Indiana
"Rush County, Indiana, United States",18139,Rush County,Indiana
"St. Joseph County, Indiana, United States",18141,St. Joseph County,Indiana
"Scott County, Indiana, United States",18143,Scott County,Indiana
"Shelby County, Indiana, United States",18145,Shelby County,Indiana
"Spencer County, Indiana, United States",18147,Spencer County,Indiana
"Starke County, Indiana, United States",18149,Starke County,Indiana
"Steuben County, Indiana, United States",18151,Steuben County,Indiana
"Sullivan County, Indiana, United States",18153,Sullivan County,Indiana
"Switzerland County, Indiana, United States",18155,Switzerland County,Indiana
"Tippecanoe County, Indiana, United States",18157,Tippecanoe County,Indiana
"Tipton County, Indiana, United States",18159,Tipton County,Indiana
"Union County, Indiana, United States",18161,Union County,Indiana
"Vanderburgh County, Indiana, United States",18163,Vanderburgh County,Indiana
"Vermillion County, Indiana, United States",18165,Vermillion County,Indiana
"Vigo County, Indiana, United States",18167,Vigo County,Indiana
"Wabash County, Indiana, United States",18169,Wabash County,Indiana
"Warren County, Indiana, United States",18171,Warren County,Indiana
"Warrick County, Indiana, United States",18173,Warrick County,Indiana
"Washington County, Indiana, United States",18175,Washington County,Indiana
"Wayne County, Indiana, United States",18177,Wayne County,Indiana
"Wells County, Indiana, United States",18179,Wells County,Indiana
"White County, Indiana, United States",18181,White County,Indiana
"Whitley County, Indiana, United States",18183,Whitley County,Indiana
"Adair County, Iowa, United States",19001,Adair County,Iowa
"Adams County, Iowa, United States",19003,Adams County,Iowa
"Allamakee County, Iowa, United States",19005,Allamakee County,Iowa
"Appanoose County, Iowa, United States",19007,Appanoose County,Iowa
"Audubon County, Iowa, United States",19009,Audubon County,Iowa
"Benton County, Iowa, United States",19011,Benton County,Iowa
"Black Hawk County, Iowa, United States",19013,Black Hawk County,Iowa
"Boone County, Iowa, United States",19015,Boone County,Iowa
"Bremer County, Iowa, United States",19017,Bremer County,Iowa
"Buchanan County, Iowa, United States",19019,Buchanan County,Iowa
"Buena Vista County, Iowa, United States",19021,Buena Vista County,Iowa
"Butler County, Iowa, United States",19023,Butler County,Iowa
"Calhoun County, Iowa, United States",19025,Calhoun County,Iowa
"Carroll County, Iowa, United States",19027,Carroll County,Iowa
"Cass County, Iowa, United States",19029,Cass County,Iowa
"Cedar County, Iowa, United States",19031,Cedar County,Iowa
"Cerro Gordo County, Iowa, United States",19033,Cerro Gordo County,Iowa
"Cherokee County, Iowa, United States",19035,Cherokee County,Iowa
"Chickasaw County, Iowa, United States",19037,Chickasaw County,Iowa
"Clarke County, Iowa, United States",19039,Clarke County,Iowa
"Clay County, Iowa, United States",19041,Clay County,Iowa
"Clayton County, Iowa, United States",19043,Clayton County,Iowa
"Clinton County, Iowa, United States",19045,Clinton County,Iowa
"Crawford County, Iowa, United States",19047,Crawford County,Iowa
"Dallas County, Iowa, United States",19049,Dallas County,Iowa
"Davis County, Iowa, United States",19051,Davis County,Iowa
"Decatur County, Iowa, United States",19053,Decatur County,Iowa
"Delaware County, Iowa, United States",19055,Delaware County,Iowa
"Des Moines County, Iowa, United States",19057,Des Moines County,Iowa
"Dickinson County, Iowa, United States",19059,Dickinson County,Iowa
"Dubuque County, Iowa, United States",19061,Dubuque County,Iowa
"Emmet County, Iowa, United States",19063,Emmet County,Iowa
"Fayette County, Iowa, United States",19065,Fayette County,Iowa
"Floyd County, Iowa, United States",19067,Floyd County,Iowa
"Franklin County, Iowa, United States",19069,Franklin County,Iowa
"Fremont County, Iowa, United States",19071,Fremont County,Iowa
"Greene County, Iowa, United States",19073,Greene County,Iowa
"Grundy County, Iowa, United States",19075,Grundy County,Iowa
"Guthrie County, Iowa, United States",19077,Guthrie County,Iowa
"Hamilton County, Iowa, United States",19079,Hamilton County,Iowa
"Hancock County, Iowa, United States",19081,Hancock County,Iowa
"Hardin County, Iowa, United States",19083,Hardin County,Iowa
"Harrison County, Iowa, United States",19085,Harrison County,Iowa
"Henry County, Iowa, United States",19087,Henry County,Iowa
"Howard County, Iowa, United States",19089,Howard County,Iowa
"Humboldt County, Iowa, United States",19091,Humboldt County,Iowa
"Ida County, Iowa, United States",19093,Ida County,Iowa
"Iowa County, Iowa, United States",19095,Iowa County,Iowa
"Jackson County, Iowa, United States",19097,Jackson County,Iowa
"Jasper County, Iowa, United States",19099,Jasper County,Iowa
"Jefferson County, Iowa, United States",19101,Jefferson County,Iowa
"Johnson County, Iowa, United States",19103,Johnson County,Iowa
"Jones County, Iowa, United States",19105,Jones County,Iowa
"Keokuk County, Iowa, United States",19107,Keokuk County,Iowa
"Kossuth County, Iowa, United States",19109,Kossuth County,Iowa
"Lee County, Iowa, United States",19111,Lee County,Iowa
"Linn County, Iowa, United States",19113,Linn County,Iowa
"Louisa County, Iowa, United States",19115,Louisa County,Iowa
"Lucas County, Iowa, United States",19117,Lucas County,Iowa
"Lyon County, Iowa, United States",19119,Lyon County,Iowa
"Madison County, Iowa, United States",19121,Madison County,Iowa
"Mahaska County, Iowa, United States",19123,Mahaska County,Iowa
"Marion County, Iowa, United States",19125,Marion County,Iowa
"Marshall County, Iowa, United States",19127,Marshall County,Iowa
"Mills County, Iowa, United States",19129,Mills County,Iowa
"Mitchell County, Iowa, United States",19131,Mitchell County,Iowa
"Monona County, Iowa, United States",19133,Monona County,Iowa
"Monroe County, Iowa, United States",19135,Monroe County,Iowa
"Montgomery County, Iowa, United States",19137,Montgomery County,Iowa
"Muscatine County, Iowa, United States",19139,Muscatine County,Iowa
"O'Brien County, Iowa, United States",19141,O'Brien County,Iowa
"Osceola County, Iowa, United States",19143,Osceola County,Iowa
"Page County, Iowa, United States",19145,Page County,Iowa
"Palo Alto County, Iowa, United States",19147,Palo Alto County,Iowa
"Plymouth County, Iowa, United States",19149,Plymouth County,Iowa
"Pocahontas County, Iowa, United States",19151,Pocahontas County,Iowa
"Polk County, Iowa, United States",19153,Polk County,Iowa
"Pottawattamie County, Iowa, United States",19155,Pottawattamie County,Iowa
"Poweshiek County, Iowa, United States",19157,Poweshiek County,Iowa
"Ringgold County, Iowa, United States",19159,Ringgold County,Iowa
"Sac County, Iowa, United States",19161,Sac County,Iowa
"Scott County, Iowa, United States",19163,Scott County,Iowa
"Shelby County, Iowa, United States",19165,Shelby County,Iowa
"Sioux County, Iowa, United States",19167,Sioux County,Iowa
"Story County, Iowa, United States",19169,Story County,Iowa
"Tama County, Iowa, United States",19171,Tama County,Iowa
"Taylor County, Iowa, United States",19173,Taylor County,Iowa
"Union County, Iowa, United States",19175,Union County,Iowa
"Van Buren County, Iowa, United States",19177,Van Buren County,Iowa
"Wapello County, Iowa, United States",19179,Wapello County,Iowa
"Warren County, Iowa, United States",19181,Warren County,Iowa
"Washington County, Iowa, United States",19183,Washington County,Iowa
"Wayne County, Iowa, United States",19185,Wayne County,Iowa
"Webster County, Iowa, United States",19187,Webster County,Iowa
"Winnebago County, Iowa, United States",19189,Winnebago County,Iowa
"Winneshiek County, Iowa, United States",19191,Winneshiek County,Iowa
"Woodbury County, Iowa, United States",19193,Woodbury County,Iowa
"Worth County, Iowa, United States",19195,Worth County,Iowa
"Wright County, Iowa, United States",19197,Wright County,Iowa
"Allen County, Kansas, United States",20001,Allen County,Kansas
"Anderson County, Kansas, United States",20003,Anderson County,Kansas
"Atchison County, Kansas, United States",20005,Atchison County,Kansas
"Barber County, Kansas, United States",20007,Barber County,Kansas
"Barton County, Kansas, United States",20009,Barton County,Kansas
"Bourbon County, Kansas, United States",20011,Bourbon County,Kansas
"Brown County, Kansas, United States",20013,Brown County,Kansas
"Butler County, Kansas, United States",20015,Butler County,Kansas
"Chase County, Kansas, United States",20017,Chase County,Kansas
"Chautauqua County, Kansas, United States",20019,Chautauqua County,Kansas
"Cherokee County, Kansas, United States",20021,Cherokee County,Kansas
"Cheyenne County, Kansas, United States",20023,Cheyenne County,Kansas
"Clark County, Kansas, United States",20025,Clark County,Kansas
"Clay County, Kansas, United States",20027,Clay County,Kansas
"Cloud County, Kansas, United States",20029,Cloud County,Kansas
"Coffey County, Kansas, United States",20031,Coffey County,Kansas
"Comanche County, Kansas, United States",20033,Comanche County,Kansas
"Cowley County, Kansas, United States",20035,Cowley County,Kansas
"Crawford County, Kansas, United States",20037,Crawford County,Kansas
"Decatur County, Kansas, United States",20039,Decatur County,Kansas
"Dickinson County, Kansas, United States",20041,Dickinson County,Kansas
"Doniphan County, Kansas, United States",20043,Doniphan County,Kansas
"Douglas County, Kansas, United States",20045,Douglas County,Kansas
"Edwards County, Kansas, United States",20047,Edwards County,Kansas
"Elk County, Kansas, United States",20049,Elk County,Kansas
"Ellis County, Kansas, United States",20051,Ellis County,Kansas
"Ellsworth County, Kansas, United States",20053,Ellsworth County,Kansas
"Finney County, Kansas, United States",20055,Finney County,Kansas
"Ford County, Kansas, United States",20057,Ford County,Kansas
"Franklin County, Kansas, United States",20059,Franklin County,Kansas
"Geary County, Kansas, United States",20061,Geary County,Kansas
"Gove County, Kansas, United States",20063,Gove County,Kansas
"Graham County, Kansas, United States",20065,Graham County,Kansas
"Grant County, Kansas, United States",20067,Grant County,Kansas
"Gray County, Kansas, United States",20069,Gray County,Kansas
"Greeley County, Kansas, United States",20071,Greeley County,Kansas
"Greenwood County, Kansas, United States",20073,Greenwood County,Kansas
"Hamilton County, Kansas, United States",20075,Hamilton County,Kansas
"Harper County, Kansas, United States",20077,Harper County,Kansas
"Harvey County, Kansas, United States",20079,Harvey County,Kansas
"Haskell County, Kansas, United States",20081,Haskell County,Kansas
"Hodgeman County, Kansas, United States",20083,Hodgeman County,Kansas
"Jackson County, Kansas, United States",20085,Jackson County,Kansas
"Jefferson County, Kansas, United States",20087,Jefferson County,Kansas
"Jewell County, Kansas, United States",20089,Jewell County,Kansas
"Johnson County, Kansas, United States",20091,Johnson County,Kansas
"Kearny County, Kansas, United States",20093,Kearny County,Kansas
"Kingman County, Kansas, United States",20095,Kingman County,Kansas
"Kiowa County, Kansas, United States",20097,Kiowa County,Kansas
"Labette County, Kansas, United States",20099,Labette County,Kansas
"Lane County, Kansas, United States",20101,Lane County,Kansas
"Leavenworth County, Kansas, United States",20103,Leavenworth County,Kansas
"Lincoln County, Kansas, United States",20105,Lincoln County,Kansas
"Linn County, Kansas, United States",20107,Linn County,Kansas
"Logan County, Kansas, United States",20109,Logan County,Kansas
"Lyon County, Kansas, United States",20111,Lyon County,Kansas
"McPherson County, Kansas, United States",20113,McPherson County,Kansas
"Marion County, Kansas, United States",20115,Marion County,Kansas
"Marshall County, Kansas, United States",20117,Marshall County,Kansas
"Meade County, Kansas, United States",20119,Meade County,Kansas
"Miami County, Kansas, United States",20121,Miami County,Kansas
"Mitchell County, Kansas, United States",20123,Mitchell County,Kansas
"Montgomery County, Kansas, United States",20125,Montgomery County,Kansas
"Morris County, Kansas, United States",20127,Morris County,Kansas
"Morton County, Kansas, United States",20129,Morton County,Kansas
"Nemaha County, Kansas, United States",20131,Nemaha County,Kansas
"Neosho County, Kansas, United States",20133,Neosho County,Kansas
"Ness County, Kansas, United States",20135,Ness County,Kansas
"Norton County, Kansas, United States",20137,Norton County,Kansas
"Osage County, Kansas, United States",20139,Osage County,Kansas
"Osborne County, Kansas, United States",20141,Osborne County,Kansas
"Ottawa County, Kansas, United States",20143,Ottawa County,Kansas
"Pawnee County, Kansas, United States",20145,Pawnee County,Kansas
"Phillips County, Kansas, United States",20147,Phillips County,Kansas
"Pottawatomie County, Kansas, United States",20149,Pottawatomie County,Kansas
"Pratt County, Kansas, United States",20151,Pratt County,Kansas
"Rawlins County, Kansas, United States",20153,Rawlins County,Kansas
"Reno County, Kansas, United States",20155,Reno County,Kansas
"Republic County, Kansas, United States",20157,Republic County,Kansas
"Rice County, Kansas, United States",20159,Rice County,Kansas
"Riley County, Kansas, United States",20161,Riley County,Kansas
"Rooks County, Kansas, United States",20163,Rooks County,Kansas
"Rush County, Kansas, United States",20165,Rush County,Kansas
"Russell County, Kansas, United States",20167,Russell County,Kansas
"Saline County, Kansas, United States",20169,Saline County,Kansas
"Scott County, Kansas, United States",20171,Scott County,Kansas
"Sedgwick County, Kansas, United States",20173,Sedgwick County,Kansas
"Seward County, Kansas, United States",20175,Seward County,Kansas
"Shawnee County, Kansas, United States",20177,Shawnee County,Kansas
"Sheridan County, Kansas, United States",20179,Sheridan County,Kansas
"Sherman County, Kansas, United States",20181,Sherman County,Kansas
"Smith County, Kansas, United States",20183,Smith County,Kansas
"Stafford County, Kansas, United States",20185,Stafford County,Kansas
"Stanton County, Kansas, United States",20187,Stanton County,Kansas
"Stevens County, Kansas, United States",20189,Stevens County,Kansas
"Sumner County, Kansas, United States",20191,Sumner County,Kansas
"Thomas County, Kansas, United States",20193,Thomas County,Kansas
"Trego County, Kansas, United States",20195,Trego County,Kansas
"Wabaunsee County, Kansas, United States",20197,Wabaunsee County,Kansas
"Wallace County, Kansas, United States",20199,Wallace County,Kansas
"Washington County, Kansas, United States",20201,Washington County,Kansas
"Wichita County, Kansas, United States",20203,Wichita County,Kansas
"Wilson County, Kansas, United States",20205,Wilson County,Kansas
"Woodson County, Kansas, United States",20207,Woodson County,Kansas
"Wyandotte County, Kansas, United States",20209,Wyandotte County,Kansas
"Adair County, Kentucky, United States",21001,Adair County,Kentucky
"Allen County, Kentucky, United States",21003,Allen County,Kentucky
"Anderson County, Kentucky, United States",21005,Anderson County,Kentucky
"Ballard County, Kentucky, United States",21007,Ballard County,Kentucky
"Barren County, Kentucky, United States",21009,Barren County,Kentucky
"Bath County, Kentucky, United States",21011,Bath County,Kentucky
"Bell County, Kentucky, United States",21013,Bell County,Kentucky
"Boone County, Kentucky, United States",21015,Boone County,Kentucky
"Bourbon County, Kentucky, United States",21017,Bourbon County,Kentucky
"Boyd County, Kentucky, United States",21019,Boyd County,Kentucky
"Boyle County, Kentucky, United States",21021,Boyle County,Kentucky
"Bracken County, Kentucky, United States",21023,Bracken County,Kentucky
"Breathitt County, Kentucky, United States",21025,Breathitt County,Kentucky
"Breckinridge County, Kentucky, United States",21027,Breckinridge County,Kentucky
"Bullitt County, Kentucky, United States",21029,Bullitt County,Kentucky
"Butler County, Kentucky, United States",21031,Butler County,Kentucky
"Caldwell County, Kentucky, United States",21033,Caldwell County,Kentucky
"Calloway County, Kentucky, United States",21035,Calloway County,Kentucky
"Campbell County, Kentucky, United States",21037,Campbell County,Kentucky
"Carlisle County, Kentucky, United States",21039,Carlisle County,Kentucky
"Carroll County, Kentucky, United States",21041,Carroll County,Kentucky
"Carter County, Kentucky, United States",21043,Carter County,Kentucky
"Casey County, Kentucky, United States",21045,Casey County,Kentucky
"Christian County, Kentucky, United States",21047,Christian County,Kentucky
"Clark County, Kentucky, United States",21049,Clark County,Kentucky
"Clay County, Kentucky, United States",21051,Clay County,Kentucky
"Clinton County, Kentucky, United States",21053,Clinton County,Kentucky
"Crittenden County, Kentucky, United States",21055,Crittenden County,Kentucky
"Cumberland County, Kentucky, United States",21057,Cumberland County,Kentucky
"Daviess County, Kentucky, United States",21059,Daviess County,Kentucky
"Edmonson County, Kentucky, United States",21061,Edmonson County,Kentucky
"Elliott County, Kentucky, United States",21063,Elliott County,Kentucky
"Estill County, Kentucky, United States",21065,Estill County,Kentucky
"Fayette County, Kentucky, United States",21067,Fayette County,Kentucky
"Fleming County, Kentucky, United States",21069,Fleming County,Kentucky
"Floyd County, Kentucky, United States",21071,Floyd County,Kentucky
"Franklin County, Kentucky, United States",21073,Franklin County,Kentucky
"Fulton County, Kentucky, United States",21075,Fulton County,Kentucky
"Gallatin County, Kentucky, United States",21077,Gallatin County,Kentucky
"Garrard County, Kentucky, United States",21079,Garrard County,Kentucky
"Grant County, Kentucky, United States",21081,Grant County,Kentucky
"Graves County, Kentucky, United States",21083,Graves County,Kentucky
"Grayson County, Kentucky, United States",21085,Grayson County,Kentucky
"Green County, Kentucky, United States",21087,Green County,Kentucky
"Greenup County, Kentucky, United States",21089,Greenup County,Kentucky
"Hancock County, Kentucky, United States",21091,Hancock County,Kentucky
"Hardin County, Kentucky, United States",21093,Hardin County,Kentucky
"Harlan County, Kentucky, United States",21095,Harlan County,Kentucky
"Harrison County, Kentucky, United States",21097,Harrison County,Kentucky
"Hart County, Kentucky, United States",21099,Hart County,Kentucky
"Henderson County, Kentucky, United States",21101,Henderson County,Kentucky
"Henry County, Kentucky, United States",21103,Henry County,Kentucky
"Hickman County, Kentucky, United States",21105,Hickman County,Kentucky
"Hopkins County, Kentucky, United States",21107,Hopkins County,Kentucky
"Jackson County, Kentucky, United States",21109,Jackson County,Kentucky
"Jefferson County, Kentucky, United States",21111,Jefferson County,Kentucky
"Jessamine County, Kentucky, United States",21113,Jessamine County,Kentucky
"Johnson County, Kentucky, United States",21115,Johnson County,Kentucky
"Kenton County, Kentucky, United States",21117,Kenton County,Kentucky
"Knott County, Kentucky, United States",21119,Knott County,Kentucky
"Knox County, Kentucky, United States",21121,Knox County,Kentucky
"Larue County, Kentucky, United States",21123,Larue County,Kentucky
"Laurel County, Kentucky, United States",21125,Laurel County,Kentucky
"Lawrence County, Kentucky, United States",21127,Lawrence County,Kentucky
"Lee County, Kentucky, United States",21129,Lee County,Kentucky
"Leslie County, Kentucky, United States",21131,Leslie County,Kentucky
"Letcher County, Kentucky, United States",21133,Letcher County,Kentucky
"Lewis County, Kentucky, United States",21135,Lewis County,Kentucky
"Lincoln County, Kentucky, United States",21137,Lincoln County,Kentucky
"Livingston County, Kentucky, United States",21139,Livingston County,Kentucky
"Logan County, Kentucky, United States",21141,Logan County,Kentucky
"Lyon County, Kentucky, United States",21143,Lyon County,Kentucky
"McCracken County, Kentucky, United States",21145,McCracken County,Kentucky
"McCreary County, Kentucky, United States",21147,McCreary County,Kentucky
"McLean County, Kentucky, United States",21149,McLean County,Kentucky
"Madison County, Kentucky, United States",21151,Madison County,Kentucky
"Magoffin County, Kentucky, United States",21153,Magoffin County,Kentucky
"Marion County, Kentucky, United States",21155,Marion County,Kentucky
"Marshall County, Kentucky, United States",21157,Marshall County,Kentucky
"Martin County, Kentucky, United States",21159,Martin County,Kentucky
"Mason County, Kentucky, United States",21161,Mason County,Kentucky
"Meade County, Kentucky, United States",21163,Meade County,Kentucky
"Menifee County, Kentucky, United States",21165,Menifee County,Kentucky
"Mercer County, Kentucky, United States",21167,Mercer County,Kentucky
"Metcalfe County, Kentucky, United States",21169,Metcalfe County,Kentucky
"Monroe County, Kentucky, United States",21171,Monroe County,Kentucky
"Montgomery County, Kentucky, United States",21173,Montgomery County,Kentucky
"Morgan County, Kentucky, United States",21175,Morgan County,Kentucky
"Muhlenberg County, Kentucky, United States",21177,Muhlenberg County,Kentucky
"Nelson County, Kentucky, United States",21179,Nelson County,Kentucky
"Nicholas County, Kentucky, United States",21181,Nicholas County,Kentucky
"Ohio County, Kentucky, United States",21183,Ohio County,Kentucky
"Oldham County, Kentucky, United States",21185,Oldham County,Kentucky
"Owen County, Kentucky, United States",21187,Owen County,Kentucky
"Owsley County, Kentucky, United States",21189,Owsley County,Kentucky
"Pendleton County, Kentucky, United States",21191,Pendleton County,Kentucky
"Perry County, Kentucky, United States",21193,Perry County,Kentucky
"Pike County, Kentucky, United States",21195,Pike County,Kentucky
"Powell County, Kentucky, United States",21197,Powell County,Kentucky
"Pulaski County, Kentucky, United States",21199,Pulaski County,Kentucky
"Robertson County, Kentucky, United States",21201,Robertson County,Kentucky
"Rockcastle County, Kentucky, United States",21203,Rockcastle County,Kentucky
"Rowan County, Kentucky, United States",21205,Rowan County,Kentucky
"Russell County, Kentucky, United States",21207,Russell County,Kentucky
"Scott County, Kentucky, United States",21209,Scott County,Kentucky
"Shelby County, Kentucky, United States",21211,Shelby County,Kentucky
"Simpson County, Kentucky, United States",21213,Simpson County,Kentucky
"Spencer County, Kentucky, United States",21215,Spencer County,Kentucky
"Taylor County, Kentucky, United States",21217,Taylor County,Kentucky
"Todd County, Kentucky, United States",21219,Todd County,Kentucky
"Trigg County, Kentucky, United States",21221,Trigg County,Kentucky
"Trimble County, Kentucky, United States",21223,Trimble County,Kentucky
"Union County, Kentucky, United States",21225,Union County,Kentucky
"Warren County, Kentucky, United States",21227,Warren County,Kentucky
"Washington County, Kentucky, United States",21229,Washington County,Kentucky
"Wayne County, Kentucky, United States",21231,Wayne County,Kentucky
"Webster County, Kentucky, United States",21233,Webster County,Kentucky
"Whitley County, Kentucky, United States",21235,Whitley County,Kentucky
"Wolfe County, Kentucky, United States",21237,Wolfe County,Kentucky
"Woodford County, Kentucky, United States",21239,Woodford County,Kentucky
"Acadia Parish, Louisiana, United States",22001,Acadia Parish,Louisiana
"Allen Parish, Louisiana, United States",22003,Allen Parish,Louisiana
"Ascension Parish, Louisiana, United States",22005,Ascension Parish,Louisiana
"Assumption Parish, Louisiana, United States",22007,Assumption Parish,Louisiana
"Avoyelles Parish, Louisiana, United States",22009,Avoyelles Parish,Louisiana
"Beauregard Parish, Louisiana, United States",22011,Beauregard Parish,Louisiana
"Bienville Parish, Louisiana, United States",22013,Bienville Parish,Louisiana
"Bossier Parish, Louisiana, United States",22015,Bossier Parish,Louisiana
"Caddo Parish, Louisiana, United States",22017,Caddo Parish,Louisiana
"Calcasieu Parish, Louisiana, United States",22019,Calcasieu Parish,Louisiana
"Caldwell Parish, Louisiana, United States",22021,Caldwell Parish,Louisiana
"Cameron Parish, Louisiana, United States",22023,Cameron Parish,Louisiana
"Catahoula Parish, Louisiana, United States",22025,Catahoula Parish,Louisiana
"Claiborne Parish, Louisiana, United States",22027,Claiborne Parish,Louisiana
"Concordia Parish, Louisiana, United States",22029,Concordia Parish,Louisiana
"De Soto Parish, Louisiana, United States",22031,De Soto Parish,Louisiana
"East Baton Rouge Parish, Louisiana, United States",22033,East Baton Rouge Parish,Louisiana
"East Carroll Parish, Louisiana, United States",22035,East Carroll Parish,Louisiana
"East Feliciana Parish, Louisiana, United States",22037,East Feliciana Parish,Louisiana
"Evangeline Parish, Louisiana, United States",22039,Evangeline Parish,Louisiana
"Franklin Parish, Louisiana, United States",22041,Franklin Parish,Louisiana
"Grant Parish, Louisiana, United States",22043,Grant Parish,Louisiana
"Iberia Parish, Louisiana, United States",22045,Iberia Parish,Louisiana
"Iberville Parish, Louisiana, United States",22047,Iberville Parish,Louisiana
"Jackson Parish, Louisiana, United States",22049,Jackson Parish,Louisiana
"Jefferson Parish, Louisiana, United States",22051,Jefferson Parish,Louisiana
"Jefferson Davis Parish, Louisiana, United States",22053,Jefferson Davis Parish,Louisiana
"Lafayette Parish, Louisiana, United States",22055,Lafayette Parish,Louisiana
"Lafourche Parish, Louisiana, United States",22057,Lafourche Parish,Louisiana
"LaSalle Parish, Louisiana, United States",22059,LaSalle Parish,Louisiana
"Lincoln Parish, Louisiana, United States",22061,Lincoln Parish,Louisiana
"Livingston Parish, Louisiana, United States",22063,Livingston Parish,Louisiana
"Madison Parish, Louisiana, United States",22065,Madison Parish,Louisiana
"Morehouse Parish, Louisiana, United States",22067,Morehouse Parish,Louisiana
"Natchitoches Parish, Louisiana, United States",22069,Natchitoches Parish,Louisiana
"Orleans Parish, Louisiana, United States",22071,Orleans Parish,Louisiana
"Ouachita Parish, Louisiana, United States",22073,Ouachita Parish,Louisiana
"Plaquemines Parish, Louisiana, United States",22075,Plaquemines Parish,Louisiana
"Pointe Coupee Parish, Louisiana, United States",22077,Pointe Coupee Parish,Louisiana
"Rapides Parish, Louisiana, United States",22079,Rapides Parish,Louisiana
"Red River Parish, Louisiana, United States",22081,Red River Parish,Louisiana
"Richland Parish, Louisiana, United States",22083,Richland Parish,Louisiana
"Sabine Parish, Louisiana, United States",22085,Sabine Parish,Louisiana
"St. Bernard Parish, Louisiana, United States",22087,St. Bernard Parish,Louisiana
"St. Charles Parish, Louisiana, United States",22089,St. Charles Parish,Louisiana
"St. Helena Parish, Louisiana, United States",22091,St. Helena Parish,Louisiana
"St. James Parish, Louisiana, United States",22093,St. James Parish,Louisiana
"St. John the Baptist Parish, Louisiana, United States",22095,St. John the Baptist Parish,Louisiana
"St. Landry Parish, Louisiana, United States",22097,St. Landry Parish,Louisiana
"St. Martin Parish, Louisiana, United States",22099,St. Martin Parish,Louisiana
"St. Mary Parish, Louisiana, United States",22101,St. Mary Parish,Louisiana
"St. Tammany Parish, Louisiana, United States",22103,St. Tammany Parish,Louisiana
