name,fips,county,state
"Fairfax City, Virginia, United States",51600,Fairfax City,Virginia
"Fairfax County, Virginia, United States",51059,Fairfax County,Virginia
"Falls Church City, Virginia, United States",51610,Falls Church City,Virginia
"Fauquier County, Virginia, United States",51061,Fauquier County,Virginia
"Floyd County, Virginia, United States",51063,Floyd County,Virginia
"Fluvanna County, Virginia, United States",51065,Fluvanna County,Virginia
"Franklin City, Virginia, United States",51620,Franklin City,Virginia
"Franklin County, Virginia, United States",51067,Franklin County,Virginia
"Frederick County, Virginia, United States",51069,Frederick County,Virginia
"Fredericksburg City, Virginia, United States",51630,Fredericksburg City,Virginia
"Galax City, Virginia, United States",51640,Galax City,Virginia
"Giles County, Virginia, United States",51071,Giles County,Virginia
"Gloucester County, Virginia, United States",51073,Gloucester County,Virginia
"Goochland County, Virginia, United States",51075,Goochland County,Virginia
"Grayson County, Virginia, United States",51077,Grayson County,Virginia
"Greene County, Virginia, United States",51079,Greene County,Virginia
"Greensville County, Virginia, United States",51081,Greensville County,Virginia
"Halifax County, Virginia, United States",51083,Halifax County,Virginia
"Hampton City, Virginia, United States",51650,Hampton City,Virginia
"Hanover County, Virginia, United States",51085,Hanover County,Virginia
"Harrisonburg City, Virginia, United States",51660,Harrisonburg City,Virginia
"Henrico County, Virginia, United States",51087,Henrico County,Virginia
"Henry County, Virginia, United States",51089,Henry County,Virginia
"Highland County, Virginia, United States",51091,Highland County,Virginia
"Hopewell City, Virginia, United States",51670,Hopewell City,Virginia
"Isle of Wight County, Virginia, United States",51093,Isle of Wight County,Virginia
"James City County, Virginia, United States",51095,James City County,Virginia
"King and Queen County, Virginia, United States",51097,King and Queen County,Virginia
"King George County, Virginia, United States",51099,King George County,Virginia
"King William County, Virginia, United States",51101,King William County,Virginia
"Lancaster County, Virginia, United States",51103,Lancaster County,Virginia
"Lee County, Virginia, United States",51105,Lee County,Virginia
"Lexington City, Virginia, United States",51678,Lexington City,Virginia
"Loudoun County, Virginia, United States",51107,Loudoun County,Virginia
"Louisa County, Virginia, United States",51109,Louisa County,Virginia
"Lunenburg County, Virginia, United States",51111,Lunenburg County,Virginia
"Lynchburg City, Virginia, United States",51680,Lynchburg City,Virginia
"Madison County, Virginia, United States",51113,Madison County,Virginia
"Manassas City, Virginia, United States",51683,Manassas City,Virginia
"Manassas Park City, Virginia, United States",51685,Manassas Park City,Virginia
"Martinsville City, Virginia, United States",51690,Martinsville City,Virginia
"Mathews County, Virginia, United States",51115,Mathews County,Virginia
"Mecklenburg County, Virginia, United States",51117,Mecklenburg County,Virginia
"Middlesex County, Virginia, United States",51119,Middlesex County,Virginia
"Montgomery County, Virginia, United States",51121,Montgomery County,Virginia
"Nelson County, Virginia, United States",51125,Nelson County,Virginia
"New Kent County, Virginia, United States",51127,New Kent County,Virginia
"Newport News City, Virginia, United States",51700,Newport News City,Virginia
"Norfolk City, Virginia, United States",51710,Norfolk City,Virginia
"Northampton County, Virginia, United States",51131,Northampton County,Virginia
"Northumberland County, Virginia, United States",51133,Northumberland County,Virginia
"Norton City, Virginia, United States",51720,Norton City,Virginia
"Nottoway County, Virginia, United States",51135,Nottoway County,Virginia
"Orange County, Virginia, United States",51137,Orange County,Virginia
"Page County, Virginia, United States",51139,Page County,Virginia
"Patrick County, Virginia, United States",51141,Patrick County,Virginia
"Petersburg City, Virginia, United States",51730,Petersburg City,Virginia
"Pittsylvania County, Virginia, United States",51143,Pittsylvania County,Virginia
"Poquoson City, Virginia, United States",51735,Poquoson City,Virginia
"Portsmouth City, Virginia, United States",51740,Portsmouth City,Virginia
"Powhatan County, Virginia, United States",51145,Powhatan County,Virginia
"Prince Edward County, Virginia, United States",51147,Prince Edward County,Virginia
"Prince George County, Virginia, United States",51149,Prince George County,Virginia
"Prince William County, Virginia, United States",51153,Prince William County,Virginia
"Pulaski County, Virginia, United States",51155,Pulaski County,Virginia
"Radford City, Virginia, United States",51750,Radford City,Virginia
"Rappahannock County, Virginia, United States",51157,Rappahannock County,Virginia
"Richmond City, Virginia, United States",51760,Richmond City,Virginia
"Richmond County, Virginia, United States",51159,Richmond County,Virginia
"Roanoke City, Virginia, United States",51770,Roanoke City,Virginia
