state,geo_id,population
Alaska,ak,723230.9994
Alabama,al,4903185.022
Arkansas,ar,3017804.001
Arizona,az,7278717.175
California,ca,39512224.15
Colorado,co,5758736
Connecticut,ct,3565286.997
District of Columbia,dc,705749.0226
Delaware,de,973763.9994
Florida,fl,21477736.92
Georgia,ga,10617423
Hawaii,hi,1415872.024
Iowa,ia,3155070.001
Idaho,id,1787064.999
Illinois,il,12671820.89
Indiana,in,6732218.981
Kansas,ks,2913313.998
Kentucky,ky,4467673.001
Louisiana,la,4648794.001
Massachusetts,ma,6892503.019
Maryland,md,6045680.049
Maine,me,1344211.992
Michigan,mi,9986857.005
Minnesota,mn,5639631.955
Missouri,mo,6137428.006
Mississippi,ms,2951649.001
Montana,mt,1068778
North Carolina,nc,10488084
North Dakota,nd,762062.0004
Nebraska,ne,1934407.998
New Hampshire,nh,1359711.001
New Jersey,nj,8882189.981
New Mexico,nm,2096829
Nevada,nv,3080156.128
New York,ny,19453560.95
Ohio,oh,11689100.02
Oklahoma,ok,3956970.977
Oregon,or,4217737.001
Pennsylvania,pa,12801989.04
Rhode Island,ri,1059361.001
South Carolina,sc,5148714.013
South Dakota,sd,870482
Tennessee,tn,6829174.005
Texas,tx,28995880.94
Utah,ut,3205957.999
Virginia,va,8455170.996
Vermont,vt,623989.0001
Washington,wa,7614892.894
Wisconsin,wi,5822434.001
West Virginia,wv,1792147
Wyoming,wy,578759.0007
Puerto Rico,pr,3193694
