,weekday_outlier,global_outlier,stream_individual,stream_group,evd_ranking
01,0.0,0,0.9709302325581395,0.9813063738180233,0.7617524916943521
01000,0.0,0,0.9011627906976745,0.1738289233452326,0.0
01001,0.0,0,0.5799418604651163,0.0738752486579285,0.0
01003,0.0,0,0.9491279069767442,0.9470801427909639,0.04696843853820598
01005,0.0,0,0.7151162790697675,0.5854157015559855,0.0
01007,0.0,0,0.7122093023255814,0.6351745374281277,0.0
01009,0.0,0,0.9142441860465116,0.8427391884895223,0.0
01011,0.0,0,0.9186046511627907,0.8070686977137096,0.0
01013,0.0,0,0.8706395348837209,0.7521050767092679,0.0
01015,0.0,0,0.8590116279069767,0.8209662915224678,0.0
01017,0.0,0,0.7601744186046512,0.6199961849742486,0.0
01019,0.0,0,0.5087209302325582,0.20208736408970762,0.0
01021,0.0,0,0.5988372093023255,0.11442352235877595,0.0
01023,0.0,0,0.5828488372093024,0.442052483854266,0.0
01025,0.0,0,0.5508720930232558,0.40150421015341853,0.0
01027,0.0,0,0.8837209302325582,0.7950513665967245,0.0
01029,0.0,0,0.5741279069767442,0.33059923154481297,0.0
01031,0.0,0,0.5799418604651163,0.08965310515845981,0.0
01033,0.0,0,0.9433139534883721,0.8551652723655885,0.0
01035,0.0,0,0.5857558139534884,0.445949260157506,0.0
01037,0.0,0,0.690406976744186,0.5639970569801347,0.0
01039,0.0,0,0.8968023255813954,0.8492519824508815,0.0
01041,0.0,0,0.9520348837209303,0.8715971332806496,8.305647840531562e-05
01043,0.0,0,0.9767441860465116,0.9457721339619043,0.041362126245847175
01045,0.0,0,0.9331395348837209,0.8877019919884459,0.00037375415282392025
01047,0.0,0,0.9055232558139535,0.8585987955418699,0.0
01049,0.0,0,0.8343023255813954,0.7536310870098373,0.0
01051,0.0,0,0.9069767441860465,0.8853039758018366,0.00029069767441860465
01053,0.0,0,0.6002906976744186,0.31604763332152497,0.0
01055,0.0,0,0.8880813953488372,0.8246995667220753,0.0
01057,0.0,0,0.5872093023255814,0.36858598795541875,0.0
01059,0.0,0,0.8604651162790697,0.7649944137122926,0.0
01061,0.0,0,0.8052325581395349,0.7349647110117994,0.0
01063,0.0,0,0.6424418604651163,0.3750170313649617,0.0
01065,0.0,0,0.8488372093023255,0.7857863040575523,0.0
01067,0.0,0,0.8328488372093024,0.6234842085184076,0.0
01069,0.0,0,0.9593023255813954,0.9258794996866229,0.008264119601328904
01071,0.0,0,0.8895348837209303,0.7878573180368967,0.0
01073,0.0,0,0.9593023255813954,0.9628034989236177,0.23122923588039868
01075,0.0,0,0.7165697674418605,0.483282012153582,0.0
01077,0.0,0,0.9694767441860465,0.9204839632667521,0.00606312292358804
01079,0.0,0,0.627906976744186,0.3209254162465597,0.0
01081,0.0,0,0.9811046511627907,0.9635392538899638,0.23970099667774086
01083,0.0,0,0.9302325581395349,0.8889827506335668,0.0004152823920265781
01085,0.0,0,0.8895348837209303,0.7734692209172411,0.0
01087,0.0,0,0.9113372093023255,0.8242908139629943,0.0
01089,0.0,0,0.9752906976744186,0.9616862413821293,0.20681063122923588
01091,0.0,0,0.8444767441860465,0.6633239774368477,0.0
01093,0.0,0,0.9113372093023255,0.846881216448211,0.0
01095,0.0,0,0.9651162790697675,0.9344633076273265,0.01764950166112957
01097,0.0,0,0.9491279069767442,0.9368068234460583,0.0204734219269103
01099,0.0,0,0.9549418604651163,0.8566640324822192,0.0
01101,0.0,0,0.9694767441860465,0.9536201869362618,0.09626245847176079
01103,0.0,0,0.9505813953488372,0.9127449110281495,0.0034883720930232558
01105,0.0,0,0.8517441860465116,0.7284519170504401,0.0
01107,0.0,0,0.7674418604651163,0.5458484344769328,0.0
01109,0.0,0,0.9215116279069767,0.8562280295391994,0.0
01111,0.0,0,0.8299418604651163,0.7514238221107993,0.0
01113,0.0,0,0.9738372093023255,0.9247622421451345,0.007682724252491694
01115,0.0,0,0.9767441860465116,0.9484154018039622,0.05440199335548173
01117,0.0,0,0.9200581395348837,0.9052783606289343,0.00170265780730897
01119,0.0,0,0.6773255813953488,0.484862522822029,0.0
01121,0.0,0,0.9549418604651163,0.9286862686323133,0.010174418604651164
01123,0.0,0,0.8677325581395349,0.8258713246314413,0.0
01125,0.0,0,0.9796511627906976,0.9620949941412105,0.21196013289036544
01127,0.0,0,0.9258720930232558,0.8841594680764095,0.00016611295681063124
01129,0.0,0,0.6642441860465116,0.5341308553832738,0.0
01131,0.0,0,0.9127906976744186,0.8066599449546284,0.0
01133,0.0,0,0.9040697674418605,0.8426301877537673,0.0
02,0.0,0,1.0,0.9898118105126541,0.9588870431893688
02000,0.0,0,,,
