fips,zip,pop_prop,hrrnum,cbsa_id,population,state_id
1001,36003,0.033271395,7.0,33860.0,1858.839567255,al
1001,36006,0.016004628,1.0,33860.0,894.162561732,al
1001,36051,0.036917575,7.0,33860.0,2062.5479976750003,al
1001,36066,0.334764927,7.0,33860.0,18702.981706562998,al
1001,36067,0.503576061,7.0,33860.0,28134.290952009,al
1001,36091,0.061809768,7.0,33860.0,3453.249928392,al
1001,36749,0.013655646,7.0,33860.0,762.927286374,al
1003,36507,0.106387281,6.0,19300.0,23749.258286754,al
1003,36511,0.0018440589999999999,6.0,19300.0,411.656666806,al
1003,36526,0.166923455,6.0,19300.0,37262.99055347,al
1003,36527,0.073483105,6.0,19300.0,16403.92746157,al
1003,36530,0.033409728,6.0,19300.0,7458.187220352,al
1003,36532,0.162464973,6.0,19300.0,36267.705782682,al
1003,36535,0.145343631,6.0,19300.0,32445.640122654,al
1003,36542,0.067079453,6.0,19300.0,14974.414611002,al
1003,36549,0.024054619,134.0,19300.0,5369.808817846,al
1003,36550,0.002354425,6.0,19300.0,525.5877104499999,al
1003,36551,0.043472609,6.0,19300.0,9704.564397506001,al
1003,36555,0.003808487,6.0,19300.0,850.183786958,al
1003,36559,0.00047666300000000005,6.0,19300.0,106.40738814200002,al
1003,36561,0.032754918,6.0,19300.0,7312.0113648120005,al
1003,36562,0.007044017,6.0,19300.0,1572.4640909779998,al
1003,36564,0.000250368,6.0,19300.0,55.890650112,al
1003,36567,0.067093898,6.0,19300.0,14977.639226132,al
1003,36574,0.0042273729999999995,134.0,19300.0,943.6933842819999,al
1003,36576,0.018276888,6.0,19300.0,4080.0228157920005,al
1003,36578,0.005710324,6.0,19300.0,1274.7384678160001,al
1003,36579,0.00579699,6.0,19300.0,1294.08526566,al
1003,36580,0.027742737000000003,6.0,19300.0,6193.122151458001,al
1005,36016,0.190165361,2.0,,4694.422101646001,al
1005,36017,0.116148429,2.0,,2867.240118294,al
1005,36027,0.613023182,2.0,,15133.090270852,al
1005,36048,0.058153335,2.0,,1435.57322781,al
1005,36317,0.022509692,2.0,,555.674256712,al
1007,35034,0.263791067,9.0,13820.0,5907.337154398,al
1007,35035,0.051577059,1.0,13820.0,1155.016659246,al
1007,35042,0.260772562,9.0,13820.0,5839.740753428,al
1007,35074,0.0,1.0,13820.0,0.0,al
1007,35184,0.19055951699999998,1.0,13820.0,4267.389823697999,al
1007,35188,0.175029529,1.0,13820.0,3919.6112724259997,al
1007,36792,0.048252329000000004,9.0,13820.0,1080.5626556260002,al
1007,36793,0.010017936,1.0,13820.0,224.341658784,al
1009,35013,0.000888297,1.0,13820.0,51.366662322,al
1009,35031,0.17899178300000002,1.0,13820.0,10350.378843758,al
1009,35049,0.074750167,1.0,13820.0,4322.503156942001,al
1009,35079,0.20579613600000002,1.0,13820.0,11900.367360336,al
1009,35097,0.044503664000000005,1.0,13820.0,2573.4688744640002,al
1009,35121,0.342571619,1.0,13820.0,19809.546440293998,al
1009,35133,0.08194537,1.0,13820.0,4738.57296562,al
1009,35172,0.070552965,1.0,13820.0,4079.7957540899997,al
1011,36029,0.11217483800000001,7.0,,1133.0780386380002,al
1011,36053,0.173097379,7.0,,1748.456625279,al
1011,36089,0.714727783,7.0,,7219.465336083,al
1013,36030,0.03262519,7.0,,634.49469512,al
1013,36033,0.223874557,7.0,,4353.912384536,al
1013,36037,0.67303996,7.0,,13089.281142079999,al
1013,36456,0.070460293,7.0,,1370.311778264,al
1015,36201,0.161853442,1.0,11500.0,18387.360278409997,al
1015,36203,0.161683089,1.0,11500.0,18368.007325845,al
1015,36205,0.006168578,1.0,11500.0,700.78130369,al
1015,36206,0.103476101,1.0,11500.0,11755.402454105,al
1015,36207,0.177041772,1.0,11500.0,20112.830508059997,al
1015,36250,0.044453211,1.0,11500.0,5050.107035655,al
1015,36260,0.035872791,1.0,11500.0,4075.328421555,al
1015,36265,0.185541499,1.0,11500.0,21078.441993895,al
1015,36271,0.053365372,1.0,11500.0,6062.57308606,al
1015,36277,0.049572772,1.0,11500.0,5631.71476306,al
1015,36279,0.020971372,1.0,11500.0,2382.45271606,al
1017,36854,0.457461367,1.0,,15212.420298218,al
1017,36855,0.043992700999999995,144.0,,1462.9332790539997,al
1017,36862,0.167702572,1.0,,5576.781329288,al
1017,36863,0.33084336,1.0,,11001.86509344,al
1019,35959,0.17233035600000002,148.0,,4514.366005776001,al
1019,35960,0.344020211,148.0,,9011.953447356,al
1019,35961,0.24919047800000002,1.0,,6527.793761688001,al
1019,35973,0.10162616099999999,148.0,,2662.1989135559998,al
1019,35983,0.132832794,148.0,,3479.6878716240003,al
1021,35045,0.421457906,1.0,13820.0,18724.531847768,al
1021,35046,0.13235797400000002,1.0,13820.0,5880.400068872001,al
1021,35085,0.259981748,1.0,13820.0,11550.469100144,al
1021,35171,0.10492242800000001,1.0,13820.0,4661.493631184,al
1021,36750,0.07238193,1.0,13820.0,3215.78438604,al
1021,36790,0.008898015,1.0,13820.0,395.32101042,al
1023,36904,0.294052863,260.0,,3701.831492307,al
1023,36908,0.162759597,260.0,,2048.980566633,al
1023,36910,0.0016519820000000002,260.0,,20.796801398000003,al
1023,36912,0.17872876,260.0,,2250.01635964,al
1023,36913,0.001494651,260.0,,18.816161439000002,al
1023,36915,0.063325991,260.0,,797.2109006989999,al
1023,36916,0.06655129,260.0,,837.81418981,al
1023,36919,0.137507867,260.0,,1731.0865376630002,al
1023,36921,0.064427313,260.0,,811.075443357,al
1023,36922,0.029499685,260.0,,371.371534465,al
