fips,pop
13289,8164
13291,24606
13293,26402
13295,69769
13297,94818
13299,35816
13301,5220
13303,20352
13305,30017
13307,2573
13309,7870
13311,30601
13313,104265
13315,8607
13317,9769
13319,8936
13321,20185
15001,202165
15003,973491
15005,87
15007,72190
15009,167682
16001,481880
16003,4265
16005,87822
16007,6131
16009,9303
16011,46772
16013,23012
16015,7903
16017,45774
16019,119286
16021,12340
16023,2620
16025,1091
16027,230270
16029,7149
16031,24052
16033,838
16035,8761
16037,4273
16039,27373
16041,13898
16043,13105
16045,18174
16047,15290
16049,16623
16051,29918
16053,24486
16055,165656
16057,40372
16059,8067
16061,3845
16063,5325
16065,40205
16067,20910
16069,40601
16071,4500
16073,11823
16075,24051
16077,7636
16079,12868
16081,12096
16083,87127
16085,11443
16087,10126
17001,65402
17003,5791
17005,16458
17007,53281
17009,6619
17011,32621
17013,4740
17015,14338
17017,12141
17019,209612
17021,32427
17023,15465
17025,13177
17027,37440
17029,50774
17031,5145326
17033,18686
17035,10733
17037,105131
17039,15624
17041,19450
17043,922761
17045,17169
17047,6405
17049,34109
17051,21332
17053,12972
17055,38530
17057,34240
17059,4833
17061,12922
17063,51031
17065,8133
17067,17700
17069,3848
17071,6709
17073,48933
17075,27093
17077,56844
17079,9618
17081,37635
17083,21667
17085,21224
17087,12380
17089,532293
17091,109569
17093,128900
17095,49669
17097,697134
17099,108517
17101,15665
17103,34061
17105,35557
17107,28633
17109,29792
17111,307439
17113,171272
17115,104012
17117,45079
17119,263609
17121,37309
17123,11463
17125,13387
17127,13772
17129,12198
17131,15490
17133,34738
17135,28401
17137,33679
17139,14464
17141,50660
17143,179359
17145,20935
17147,16391
17149,15574
17151,4176
17153,5309
17155,5745
17157,31725
17159,15519
17161,141775
17163,259889
17165,23540
17167,194882
17169,6829
17171,4974
17173,21625
17175,5312
17177,44371
17179,131848
17181,16693
17183,75736
17185,11370
17187,16816
17189,13926
17191,16196
17193,13574
17195,55215
17197,690176
17199,66633
17201,282465
17203,38353
18001,35688
18003,379006
18005,84063
18007,8763
18009,11787
18011,67915
18013,15066
18015,20211
18017,37610
18019,118191
18021,26301
18023,32298
18025,10593
18027,33439
18029,49573
18031,26472
18033,43561
18035,113769
18037,42578
18039,206268
18041,23038
18043,78601
18045,16425
18047,22763
18049,20042
18051,33709
18053,65836
18055,32117
18057,337955
18059,78159
18061,40552
18063,169924
18065,48025
18067,82660
18069,36544
18071,44179
18073,33516
18075,20446
18077,32265
18079,27662
18081,158332
18083,36603
18085,79438
18087,39771
18089,486244
18091,110044
18093,45419
18095,129416
18097,963829
18099,46197
18101,10179
18103,35488
18105,148178
18107,38275
18109,70403
18111,13972
18113,47907
18115,5908
18117,19657
18119,20881
18121,16893
18123,19184
18125,12383
18127,170599
18129,25408
18131,12379
18133,37566
18135,24533
18137,28465
18139,16605
18141,271695
18143,23855
18145,44771
18147,20273
18149,23011
18151,34759
18153,20601
18155,10815
18157,194881
18159,15133
18161,7135
18163,181561
18165,15493
18167,106958
18169,31028
18171,8262
18173,62851
18175,28063
18177,65943
18179,28131
18181,24197
18183,33868
19001,7102
19003,3602
19005,13671
19007,12525
19009,5491
19011,25544
19013,131089
19015,26338
19017,25170
19019,21148
19021,19690
19023,14404
19025,9616
19027,20118
19029,12822
19031,18541
19033,42477
19035,11231
19037,11943
19039,9382
19041,16094
19043,17497
19045,46559
19047,16903
19049,93631
19051,9006
19053,7852
19055,17057
19057,39051
19059,17290
19061,97432
19063,9224
19065,19575
19067,15655
19069,10082
19071,6917
19073,8881
19075,12227
19077,10741
19079,14797
19081,10664
19083,16809
19085,14034
19087,19835
19089,9146
19091,9499
19093,6822
19095,16146
19097,19375
19099,37171
19101,18180
19103,152480
19105,20634
19107,10192
19109,14769
19111,33641
19113,227241
19115,11059
19117,8561
19119,11806
19121,16273
19123,22429
19125,33280
19127,39472
19129,15124
19131,10565
19133,8626
19135,7681
19137,9917
19139,42571
19141,13796
19143,5961
19145,15129
19147,8873
19149,25200
19151,6632
19153,491031
19155,93405
19157,18458
19159,4866
19161,9675
19163,173400
19165,11479
19167,34950
19169,97441
19171,16904
19173,6188
19175,12224
19177,7044
19179,35151
19181,51548
19183,22030
19185,6413
19187,35982
19189,10357
19191,19992
19193,103132
19195,7407
19197,12551
20001,12404
20003,7899
20005,16138
20007,4458
20009,25938
20011,14499
20013,9541
20015,66932
20017,2585
20019,3203
20021,19948
20023,2624
20025,2006
20027,8009
20029,8779
20031,8142
20033,1704
20035,34784
20037,38734
20039,2816
20041,18381
20043,7584
20045,122269
20047,2783
20049,2507
20051,28652
20053,6093
20055,36351
20057,33346
20059,25618
20061,31992
20063,2665
20065,2441
20067,7136
20069,5996
20071,1211
20073,6001
20075,2515
20077,5442
20079,34442
20081,3987
20083,1763
20085,13164
20087,19165
20089,2858
20091,602948
20093,3807
20095,7056
20097,2470
20099,19704
20101,1527
20103,81911
20105,2964
20107,9714
20109,2776
20111,33224
20113,28584
20115,11831
20117,9691
20119,4023
20121,34244
20123,5967
20125,31796
20127,5623
20129,2536
20131,10170
20133,15899
20135,2782
20137,5372
20139,15906
20141,3438
20143,5713
20145,6384
20147,5248
20149,24468
20151,9114
20153,2493
20155,61963
20157,4563
20159,9512
20161,72762
20163,4937
20165,2994
20167,6868
20169,54140
20171,4850
20173,516579
20175,21421
20177,176735
20179,2517
20181,5932
20183,3571
20185,4081
20187,1987
20189,5405
20191,22810
20193,7704
20195,2779
20197,6892
20199,1518
20201,5449
20203,2118
20205,8555
20207,3096
20209,166009
21001,19472
21003,21320
21005,22700
21007,7817
21009,44185
21011,12532
21013,26026
21015,133670
21017,19774
21019,46839
21021,30000
21023,8330
21025,12612
21027,20471
21029,81803
21031,12861
21033,12731
21035,39073
21037,93841
21039,4721
21041,10658
21043,26766
21045,16204
21047,71577
21049,36280
21051,19912
21053,10200
21055,8807
21057,6626
21059,101555
21061,12149
21063,7485
21065,14143
21067,323922
21069,14574
21071,35515
21073,50887
21075,5989
21077,8842
21079,17684
21081,25120
21083,37170
21085,26435
21087,10949
21089,35164
21091,8716
21093,110970
21095,25960
21097,18838
21099,19014
21101,45276
21103,16063
21105,4365
21107,44660
21109,13316
21111,767785
21113,54012
21115,22188
21117,167333
21119,14861
21121,31151
21123,14393
21125,60842
21127,15395
21129,7390
21131,9880
21133,21560
21135,13309
21137,24519
21139,9148
21141,27111
21143,8256
21145,65622
21147,17260
21149,9162
21151,93099
21153,12184
21155,19237
21157,31113
21159,11258
21161,17049
21163,28610
21165,6483
21167,21921
21169,10084
21171,10654
21173,28197
21175,13297
21177,30681
21179,46221
21181,7248
21183,24043
21185,66818
21187,10884
21189,4413
21191,14566
21193,25801
21195,57919
21197,12303
21199,65243
21201,2149
21203,16736
21205,24519
21207,17944
21209,57079
21211,49022
21213,18530
21215,19302
21217,25735
21219,12318
21221,14666
21223,8529
21225,14497
21227,132759
21229,12098
21231,20278
21233,12945
21235,36362
21237,7151
21239,26654
22001,62207
22003,25594
22005,126798
22007,21921
22009,40138
22011,37649
22013,13234
22015,127377
22017,240431
22019,204038
22021,9946
22023,6981
22025,9459
22027,15718
22029,19314
22031,27440
22033,441471
22035,6829
22037,19103
22039,33396
22041,19996
22043,22352
22045,69638
22047,32549
22049,15761
22051,434096
22053,31444
22055,244798
22057,97618
22059,14910
22061,46851
22063,141561
22065,10994
22067,24839
22069,38179
22071,391172
22073,153401
22075,23264
22077,21735
22079,129800
22081,8380
22083,20147
22085,23895
22087,47192
22089,53083
22091,10145
22093,21045
22095,42824
22097,82196
22099,53497
22101,49294
22103,261303
22105,134845
22107,4319
22109,110615
22111,22068
22113,59573
22115,48394
22117,46158
22119,38323
22121,26550
22123,10906
22125,15570
22127,13961
23001,108361
23003,67092
23005,296052
23007,30046
23009,55098
23011,122241
23013,39792
23015,34685
23017,57895
23019,151823
23021,16880
23023,36057
23025,50729
23027,39755
23029,31286
23031,207978
24001,70527
24003,579895
24005,828503
24009,92660
24011,33509
24013,168774
24015,103092
24017,163733
24019,31864
24021,260609
24023,29049
24025,255594
24027,325951
24029,19426
24031,1051129
24033,911562
24035,50585
24037,113764
24039,25609
24041,37186
24043,151066
24045,104005
24047,52261
24510,594601
25001,212923
25003,125217
25005,565096
25007,17461
25009,789725
25011,70276
25013,465749
25015,161596
25017,1611263
25019,11330
25021,707164
25023,521841
25025,805915
25027,829327
26001,10453
26003,9078
26005,118045
26007,28391
26009,23359
26011,14944
26013,8245
26015,61481
26017,102964
26019,17767
26021,153352
26023,43444
26025,133806
26027,51847
26029,26202
26031,25331
26033,37287
26035,30884
26037,79615
26039,14012
26041,35744
26043,25336
26045,110119
26047,33337
26049,405702
26051,25430
26053,13971
26055,93032
26057,40681
26059,45548
26061,35709
26063,30904
26065,291426
26067,64654
26069,25244
26071,11053
26073,69635
26075,158357
26077,265531
26079,17984
26081,656800
26083,2085
26085,11752
26087,87808
26089,21692
26091,98519
26093,192058
26095,6266
26097,10807
26099,872389
26101,24619
26103,66689
26105,29154
26107,43583
26109,22772
26111,83412
26113,15079
26115,150412
26117,63708
26119,9304
26121,173645
