fips,hhs
01001,4
01003,4
01005,4
01007,4
01009,4
01011,4
01013,4
01015,4
01017,4
01019,4
01021,4
01023,4
01025,4
01027,4
01029,4
01031,4
01033,4
01035,4
01037,4
01039,4
01041,4
01043,4
01045,4
01047,4
01049,4
01051,4
01053,4
01055,4
01057,4
01059,4
01061,4
01063,4
01065,4
01067,4
01069,4
01071,4
01073,4
01075,4
01077,4
01079,4
01081,4
01083,4
01085,4
01087,4
01089,4
01091,4
01093,4
01095,4
01097,4
01099,4
01101,4
01103,4
01105,4
01107,4
01109,4
01111,4
01113,4
01115,4
01117,4
01119,4
01121,4
01123,4
01125,4
01127,4
01129,4
01131,4
01133,4
02013,10
02016,10
02020,10
02050,10
02060,10
02068,10
02070,10
02090,10
02100,10
02105,10
02110,10
02122,10
02130,10
02150,10
02158,10
02164,10
02170,10
02180,10
02185,10
02188,10
02195,10
02198,10
02220,10
02230,10
02240,10
02261,10
02275,10
02282,10
02290,10
04001,9
04003,9
04005,9
04007,9
04009,9
04011,9
04012,9
04013,9
04015,9
04017,9
04019,9
04021,9
04023,9
04025,9
04027,9
05001,6
05003,6
05005,6
05007,6
05009,6
05011,6
05013,6
05015,6
05017,6
05019,6
05021,6
05023,6
05025,6
05027,6
05029,6
05031,6
05033,6
05035,6
05037,6
05039,6
05041,6
05043,6
05045,6
05047,6
05049,6
05051,6
05053,6
05055,6
05057,6
05059,6
05061,6
05063,6
05065,6
05067,6
05069,6
05071,6
05073,6
05075,6
05077,6
05079,6
05081,6
05083,6
05085,6
05087,6
05089,6
05091,6
05093,6
05095,6
05097,6
05099,6
05101,6
05103,6
05105,6
05107,6
05109,6
05111,6
05113,6
05115,6
05117,6
05119,6
05121,6
05123,6
05125,6
05127,6
05129,6
05131,6
05133,6
05135,6
05137,6
05139,6
05141,6
05143,6
05145,6
05147,6
05149,6
06001,9
06003,9
06005,9
06007,9
06009,9
06011,9
06013,9
06015,9
06017,9
06019,9
06021,9
06023,9
06025,9
06027,9
06029,9
06031,9
06033,9
06035,9
06037,9
06039,9
06041,9
06043,9
06045,9
06047,9
06049,9
06051,9
06053,9
06055,9
06057,9
06059,9
06061,9
06063,9
06065,9
06067,9
06069,9
06071,9
06073,9
06075,9
06077,9
06079,9
06081,9
06083,9
06085,9
06087,9
06089,9
06091,9
06093,9
06095,9
06097,9
06099,9
06101,9
06103,9
06105,9
06107,9
06109,9
06111,9
06113,9
06115,9
08001,8
08003,8
08005,8
08007,8
08009,8
08011,8
08013,8
08014,8
08015,8
08017,8
08019,8
08021,8
08023,8
08025,8
08027,8
08029,8
08031,8
08033,8
08035,8
08037,8
08039,8
08041,8
08043,8
08045,8
08047,8
08049,8
08051,8
08053,8
08055,8
08057,8
08059,8
08061,8
08063,8
08065,8
08067,8
08069,8
08071,8
08073,8
08075,8
08077,8
08079,8
08081,8
08083,8
08085,8
08087,8
08089,8
08091,8
08093,8
08095,8
08097,8
08099,8
08101,8
08103,8
08105,8
08107,8
08109,8
08111,8
08113,8
08115,8
08117,8
08119,8
08121,8
08123,8
08125,8
09001,1
09003,1
09005,1
09007,1
09009,1
09011,1
09013,1
09015,1
10001,3
10003,3
10005,3
11001,3
12001,4
12003,4
12005,4
12007,4
12009,4
12011,4
12013,4
12015,4
12017,4
12019,4
12021,4
12023,4
12027,4
12029,4
12031,4
12033,4
12035,4
12037,4
12039,4
12041,4
12043,4
12045,4
12047,4
12049,4
12051,4
12053,4
12055,4
12057,4
12059,4
12061,4
12063,4
12065,4
12067,4
12069,4
12071,4
12073,4
12075,4
12077,4
12079,4
12081,4
12083,4
12085,4
12086,4
12087,4
12089,4
12091,4
12093,4
12095,4
12097,4
12099,4
12101,4
12103,4
12105,4
12107,4
12109,4
12111,4
12113,4
12115,4
12117,4
12119,4
12121,4
12123,4
12125,4
12127,4
12129,4
12131,4
12133,4
13001,4
13003,4
13005,4
13007,4
13009,4
13011,4
13013,4
13015,4
13017,4
13019,4
13021,4
13023,4
13025,4
13027,4
13029,4
13031,4
13033,4
13035,4
13037,4
13039,4
13043,4
13045,4
13047,4
13049,4
13051,4
13053,4
13055,4
13057,4
13059,4
13061,4
13063,4
13065,4
13067,4
13069,4
13071,4
13073,4
13075,4
13077,4
13079,4
13081,4
13083,4
13085,4
13087,4
13089,4
13091,4
13093,4
13095,4
13097,4
13099,4
13101,4
13103,4
13105,4
13107,4
13109,4
13111,4
13113,4
13115,4
13117,4
13119,4
13121,4
13123,4
13125,4
13127,4
13129,4
13131,4
13133,4
13135,4
13137,4
13139,4
13141,4
13143,4
13145,4
13147,4
13149,4
13151,4
13153,4
13155,4
13157,4
13159,4
13161,4
13163,4
13165,4
13167,4
13169,4
13171,4
13173,4
13175,4
13177,4
13179,4
13181,4
13183,4
13185,4
13187,4
13189,4
13191,4
13193,4
13195,4
13197,4
13199,4
13201,4
13205,4
13207,4
13209,4
13211,4
13213,4
13215,4
13217,4
13219,4
13221,4
13223,4
13225,4
13227,4
13229,4
13231,4
13233,4
13235,4
13237,4
13239,4
13241,4
13243,4
13245,4
13247,4
13249,4
13251,4
13253,4
13255,4
13257,4
13259,4
13261,4
13263,4
13265,4
13267,4
13269,4
13271,4
13273,4
13275,4
13277,4
13279,4
13281,4
13283,4
13285,4
13287,4
13289,4
13291,4
13293,4
13295,4
13297,4
13299,4
13301,4
13303,4
13305,4
13307,4
13309,4
13311,4
13313,4
13315,4
13317,4
13319,4
13321,4
15001,9
15003,9
15005,9
15007,9
15009,9
16001,10
16003,10
16005,10
16007,10
16009,10
16011,10
16013,10
16015,10
16017,10
16019,10
16021,10
16023,10
16025,10
16027,10
16029,10
16031,10
16033,10
16035,10
16037,10
16039,10
16041,10
16043,10
16045,10
16047,10
16049,10
16051,10
16053,10
16055,10
16057,10
16059,10
16061,10
16063,10
16065,10
16067,10
16069,10
16071,10
16073,10
16075,10
16077,10
16079,10
16081,10
16083,10
16085,10
16087,10
17001,5
17003,5
17005,5
17007,5
17009,5
17011,5
17013,5
17015,5
17017,5
17019,5
17021,5
17023,5
17025,5
17027,5
17029,5
17031,5
17033,5
17035,5
17037,5
17039,5
17041,5
17043,5
17045,5
17047,5
17049,5
17051,5
17053,5
17055,5
17057,5
17059,5
17061,5
17063,5
17065,5
17067,5
17069,5
17071,5
17073,5
17075,5
17077,5
17079,5
17081,5
17083,5
17085,5
17087,5
17089,5
17091,5
17093,5
17095,5
17097,5
17099,5
17101,5
17103,5
17105,5
17107,5
17109,5
17111,5
17113,5
17115,5
17117,5
17119,5
17121,5
17123,5
17125,5
17127,5
17129,5
17131,5
17133,5
17135,5
17137,5
17139,5
17141,5
17143,5
17145,5
17147,5
17149,5
17151,5
17153,5
17155,5
17157,5
17159,5
17161,5
17163,5
17165,5
17167,5
17169,5
17171,5
17173,5
17175,5
17177,5
17179,5
17181,5
17183,5
17185,5
17187,5
17189,5
17191,5
17193,5
17195,5
17197,5
17199,5
17201,5
17203,5
18001,5
18003,5
18005,5
18007,5
18009,5
18011,5
18013,5
18015,5
18017,5
18019,5
18021,5
18023,5
18025,5
18027,5
18029,5
18031,5
18033,5
18035,5
18037,5
18039,5
18041,5
18043,5
18045,5
18047,5
18049,5
18051,5
18053,5
18055,5
18057,5
18059,5
18061,5
18063,5
18065,5
18067,5
18069,5
18071,5
18073,5
18075,5
18077,5
18079,5
18081,5
18083,5
18085,5
18087,5
18089,5
18091,5
18093,5
18095,5
18097,5
18099,5
18101,5
18103,5
18105,5
18107,5
18109,5
18111,5
18113,5
18115,5
18117,5
18119,5
18121,5
18123,5
18125,5
18127,5
18129,5
18131,5
18133,5
18135,5
18137,5
18139,5
18141,5
18143,5
18145,5
18147,5
18149,5
18151,5
18153,5
18155,5
18157,5
18159,5
18161,5
18163,5
18165,5
18167,5
18169,5
18171,5
