zip,weight,hhs
00601,0.994345718901454,2
00601,0.005654281098546043,2
00602,1.0,2
00603,1.0,2
00606,0.9487528344671202,2
00606,0.01345427059712774,2
00606,0.03779289493575208,2
00610,0.005514199062586159,2
00610,0.9944858009374138,2
00612,0.9989255335024624,2
00612,0.001074466497537681,2
00616,1.0,2
00617,0.994308248973452,2
00617,0.005691751026547953,2
00622,1.0,2
00623,1.0,2
00624,0.9252696162493808,2
00624,0.07473038375061926,2
00627,1.0,2
00631,0.3299136069114471,2
00631,0.6700863930885529,2
00637,0.995610392691897,2
00637,0.004389607308102977,2
00638,0.9826830684757932,2
00638,0.017316931524206748,2
00641,0.002083934468276105,2
00641,0.9979160655317241,2
00646,0.9988743160815728,2
00646,0.0011256839184271838,2
00647,0.9888204795852236,2
00647,0.01117952041477641,2
00650,0.015068675823443125,2
00650,0.01913588478463795,2
00650,0.011268169089211895,2
00650,0.8361114815308708,2
00650,0.11841578877183626,2
00652,1.0,2
00653,1.0,2
00656,1.0,2
00659,1.0,2
00660,1.0,2
00662,1.0,2
00664,0.9915395614871306,2
00664,0.008460438512869399,2
00667,0.9890634627233518,2
00667,0.010936537276648185,2
00669,0.9922001075847232,2
00669,0.0061861215707369535,2
00669,0.0016137708445400753,2
00670,0.011216478025899871,2
00670,0.9887835219741,2
00674,0.9848842701936704,2
00674,0.015115729806329713,2
00676,0.005134437940271852,2
00676,0.9948655620597281,2
00677,0.004714510214772132,2
00677,0.9952854897852281,2
00678,0.053632409504295625,2
00678,0.9317013551888996,2
00678,0.0146662353068047,2
00680,0.00455796353629171,2
00680,0.9701410388716892,2
00680,0.025300997592019262,2
00682,1.0,2
00683,1.0,2
00685,0.02000887207863464,2
00685,0.9799911279213652,2
00687,1.0,2
00688,1.0,2
00690,1.0,2
00692,1.0,2
00693,0.03927061830335201,2
00693,0.960729381696648,2
00694,1.0,2
00698,0.0023933751376190703,2
00698,0.9976066248623808,2
00703,0.9547281943716134,2
00703,0.04527180562838665,2
00704,0.07718316427655357,2
00704,0.9228168357234464,2
00705,0.9978513946402062,2
00705,0.002148605359793734,2
00707,1.0,2
00714,1.0,2
00715,0.2573851203501094,2
00715,0.7426148796498906,2
00716,1.0,2
00717,1.0,2
00718,1.0,2
00719,0.014165859954824138,2
00719,0.9810261374636979,2
00719,0.004808002581477896,2
00720,0.005231527519564185,2
00720,0.9947684724804358,2
00723,1.0,2
00725,0.015093875176225747,2
00725,0.9455882023854812,2
00725,0.0043189294425671895,2
00725,0.02758072817597959,2
00725,0.006042025645042182,2
00725,0.0013762391747040527,2
00727,1.0,2
00728,1.0,2
00729,0.8708837209302326,2
00729,0.12911627906976744,2
00730,1.0,2
00731,0.022030404534913683,2
00731,0.9779695954650864,2
00735,0.991769847050255,2
00735,0.008230152949745084,2
00736,0.9262206007917412,2
00736,0.07377939920825895,2
00738,1.0,2
00739,1.0,2
00740,1.0,2
00741,1.0,2
00745,0.014020558642984272,2
00745,0.9859794413570158,2
00751,1.0,2
00754,1.0,2
00757,1.0,2
00765,1.0,2
00766,0.0156674720628209,2
00766,0.9843325279371792,2
00767,0.002051605776059339,2
00767,0.9979483942239408,2
00769,1.0,2
00771,1.0,2
00772,1.0,2
00773,1.0,2
00775,1.0,2
00777,0.001622259364860879,2
00777,0.001155245305279717,2
00777,0.9903156031855276,2
00777,0.006906892144331924,2
00778,0.9976446763080852,2
00778,0.002355323691914856,2
00780,0.04456521739130435,2
00780,0.9554347826086956,2
00782,1.0,2
00783,1.0,2
00784,1.0,2
00786,1.0,2
00791,1.0,2
00794,0.9912702305051496,2
00794,0.002877227399051823,2
00794,0.0058525420957985935,2
00795,1.0,2
00901,1.0,2
00906,1.0,2
00907,1.0,2
00909,1.0,2
00911,1.0,2
00912,1.0,2
00913,1.0,2
00915,1.0,2
00917,1.0,2
00918,1.0,2
00920,1.0,2
00921,1.0,2
00923,1.0,2
00924,0.04141750895203825,2
00924,0.9585824910479618,2
00925,1.0,2
00926,0.003949954988885011,2
00926,0.8813176314967573,2
00926,0.11473241351435765,2
00927,1.0,2
00934,0.4201388888888889,2
00934,0.5798611111111112,2
00936,1.0,2
00949,0.0415177811808746,2
00949,0.9584822188191254,2
00950,1.0,2
00951,1.0,2
00952,1.0,2
00953,0.001999616511901827,2
00953,0.9893445092721944,2
00953,0.0086558742159038,2
00956,0.9979698375870072,2
00956,0.0020301624129930394,2
00957,0.9706873905429072,2
00957,0.02931260945709282,2
00959,0.9763647151898734,2
00959,0.01884889240506329,2
00959,0.0035799050632911392,2
00959,0.0012064873417721518,2
00960,1.0,2
00961,0.9888371519319128,2
00961,0.011162848068087206,2
00962,1.0,2
00965,0.2048390628421283,2
00965,0.7951609371578717,2
00966,0.03118253777884385,2
00966,0.9101703046294076,2
00966,0.05864715759174863,2
00968,1.0,2
00969,0.01603543428314266,2
00969,0.8494279826618347,2
00969,0.1345365830550226,2
00971,0.0033240818434131553,2
00971,0.9950945588330212,2
00971,0.0015813593235654813,2
00976,0.02866310488823385,2
00976,0.019789363792679933,2
00976,0.9515475313190862,2
00979,1.0,2
00982,1.0,2
00983,1.0,2
00985,1.0,2
00987,0.9941565479650021,2
00987,0.0058434520349978794,2
01001,1.0,1
01002,0.009673310613102,1
01002,0.990326689386898,1
01003,1.0,1
01005,1.0,1
01007,1.0,1
01008,1.0,1
01009,1.0,1
01010,1.0,1
01011,0.8635036496350365,1
01011,0.1364963503649635,1
01012,1.0,1
01013,1.0,1
