msa,zip,weight
10380,00601,0.005654281098546
38660,00601,0.994345718901454
10380,00602,1.0
10380,00603,1.0
41900,00606,0.0134542705971277
49500,00606,0.037792894935752
10380,00610,0.9999999999999999
11640,00612,0.9989255335024624
41980,00612,0.0010744664975376
11640,00616,1.0
41980,00617,1.0
41900,00622,1.0
41900,00623,1.0
38660,00624,0.0747303837506192
49500,00624,0.9252696162493808
11640,00627,1.0
10380,00631,0.6700863930885529
38660,00631,0.3299136069114471
41900,00637,0.995610392691897
49500,00637,0.0043896073081029
41980,00638,0.9999999999999999
10380,00641,0.997916065531724
38660,00641,0.0020839344682761
41980,00646,0.9999999999999999
41900,00647,0.0111795204147764
49500,00647,0.9888204795852236
10380,00650,0.1184157887718362
11640,00650,0.0150686758234431
41980,00650,0.8665155354047205
11640,00652,1.0
49500,00653,1.0
49500,00656,1.0
11640,00659,1.0
32420,00660,1.0
10380,00662,1.0
10380,00664,0.0084604385128693
41900,00667,0.9999999999999999
10380,00669,0.9938138784292629
32420,00669,0.0061861215707369
10380,00670,0.0112164780258998
32420,00670,0.9887835219741
41980,00674,1.0000000000000002
10380,00676,0.9999999999999998
10380,00677,1.0000000000000002
10380,00678,0.06829864481110029
11640,00678,0.9317013551888996
10380,00680,0.0045579635362917
32420,00680,0.970141038871689
41900,00680,0.0253009975920192
32420,00682,1.0
41900,00683,1.0
10380,00685,0.9999999999999998
41980,00687,1.0
11640,00688,1.0
10380,00690,1.0
41980,00692,1.0
41980,00693,1.0
41980,00694,1.0
49500,00698,0.9999999999999998
41980,00703,1.0
25020,00704,0.0771831642765535
41980,00705,0.9978513946402062
41980,00707,1.0
25020,00714,1.0
38660,00715,1.0
38660,00716,1.0
38660,00717,1.0
41980,00718,1.0
41980,00719,1.0
41980,00720,0.9947684724804358
25020,00723,1.0
41980,00725,0.9999999999999997
41980,00727,1.0
38660,00728,1.0
41980,00729,1.0
38660,00730,1.0
38660,00731,1.0
41980,00735,1.0
41980,00736,1.0
41980,00738,1.0
41980,00739,1.0
41980,00740,1.0
41980,00741,1.0
41980,00745,1.0
41980,00754,1.0
38660,00766,0.9843325279371792
41980,00766,0.0156674720628209
41980,00767,1.0
41980,00771,1.0
41980,00772,1.0
41980,00773,1.0
41980,00777,1.0
41980,00778,1.0
38660,00780,0.9999999999999999
41980,00782,1.0
41980,00783,1.0
25020,00784,1.0
41980,00786,1.0
41980,00791,1.0
41980,00794,0.9971227726009482
38660,00795,1.0
41980,00901,1.0
41980,00906,1.0
41980,00907,1.0
41980,00909,1.0
41980,00911,1.0
41980,00912,1.0
41980,00913,1.0
41980,00915,1.0
41980,00917,1.0
41980,00918,1.0
41980,00920,1.0
41980,00921,1.0
41980,00923,1.0
41980,00924,1.0
41980,00925,1.0
41980,00926,0.9999999999999999
41980,00927,1.0
41980,00934,1.0
41980,00936,1.0
41980,00949,1.0
41980,00950,1.0
41980,00951,1.0
41980,00952,1.0
41980,00953,1.0
41980,00956,1.0
41980,00957,1.0
41980,00959,0.9999999999999999
41980,00960,1.0
41980,00961,1.0
41980,00962,1.0
41980,00965,1.0
41980,00966,1.0
41980,00968,1.0
41980,00969,0.9999999999999999
41980,00971,0.9999999999999998
41980,00976,0.9999999999999999
41980,00979,1.0
41980,00982,1.0
41980,00983,1.0
41980,00985,1.0
41980,00987,0.9999999999999998
44140,01001,1.0
44140,01002,1.0
44140,01003,1.0
49340,01005,1.0
44140,01007,1.0
44140,01008,1.0
44140,01009,1.0
44140,01010,1.0
44140,01011,1.0
44140,01012,1.0
44140,01013,1.0
44140,01020,1.0
