zip,pop
02421,18595
02445,21786
02446,30880
02451,18685
02452,15266
02453,31061
02457,1508
02458,13007
02459,20474
02460,9373
02461,7569
02462,1666
02464,3166
02465,12556
02466,8681
02467,24167
02468,5654
02472,34327
02474,28213
02476,17726
02478,26446
02481,17113
02482,10857
02492,20998
02493,12074
02494,9434
02532,12650
02534,830
02535,1233
02536,19320
02537,6208
02538,3794
02539,4263
02540,8110
02542,1123
02543,627
02553,222
02554,11040
02556,3073
02557,4707
02558,2270
02559,3330
02561,531
02562,2937
02563,10219
02564,347
02568,4192
02571,11037
02575,2856
02576,3953
02584,11
02601,13899
02630,1825
02631,9549
02632,10597
02633,3831
02635,3251
02637,249
02638,3163
02639,2836
02641,524
02642,4870
02643,25
02644,3901
02645,9533
02646,1653
02647,127
02648,7202
02649,13817
02650,836
02651,15
02652,1159
02653,5831
02655,3470
02657,2902
02659,1093
02660,6176
02663,170
02664,9245
02666,816
02667,2545
02668,3233
02669,281
02670,1289
02671,1009
02672,177
02673,8289
02675,6488
02702,4252
02703,44939
02713,54
02715,3219
02717,4891
02718,6860
02719,16363
02720,31222
02721,27101
02723,15223
02724,17430
02725,2712
02726,16013
02738,5167
02739,6366
02740,44417
02743,10625
02744,12267
02745,25334
02746,15815
02747,23635
02748,11795
02760,27564
02762,8706
02763,2033
02764,4111
02766,19618
02767,13984
02769,11966
02770,5363
02771,14131
02777,16329
02779,6608
02780,50550
02790,16202
02791,253
02802,801
02804,2578
02806,15853
02807,1039
02808,2374
02809,22295
02812,1480
02813,7744
02814,7642
02815,283
02816,32244
02817,6066
02818,17878
02822,6043
02825,5482
02826,806
02827,2147
02828,7854
02830,6092
02831,3579
02832,4557
02833,775
02835,5352
02836,134
02837,3458
02838,3466
02839,1939
02840,23108
02841,1378
02842,15938
02852,22302
02857,8576
02858,581
02859,6869
02860,46083
02861,26690
02863,19764
02864,34049
02865,17282
02871,17004
02872,215
02873,232
02874,5795
02875,303
02876,438
02878,15626
02879,20146
02881,7754
02882,14027
02885,10329
02886,28940
02888,19688
02889,27900
02891,20963
02892,4932
02893,29297
02894,714
02895,41992
02896,11762
02898,1677
02903,10990
02904,29933
02905,25716
02906,28942
02907,27982
02908,38200
02909,44392
02910,21410
02911,15878
02912,1396
02914,22392
02915,17227
02916,8298
02917,14031
02919,29353
02920,38281
02921,12602
03031,11704
03032,5197
03033,5189
03034,4165
03036,5017
03037,4426
03038,34908
03042,6653
03043,1637
03044,4473
03045,14111
03046,2851
