safegraph_brand_id,brand_name,parent_safegraph_brand_id,naics_code,top_category,sub_category,stock_symbol,stock_exchange
SG_BRAND_97adbcaca691fcc210b491d83bb3412d,A.R.E. Accessories,"",441310,"Automotive Parts, Accessories, and Tire Stores",Automotive Parts and Accessories Stores,"",""
SG_BRAND_1c6e791993dd6876871d4a561de9ad36,A1 Medical Imaging,"",621512,Medical and Diagnostic Laboratories,Diagnostic Imaging Centers,"",""
SG_BRAND_b1d21ba5beb3e781,AAA,"",524210,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,"",""
SG_BRAND_4a3c8f98f6aee259c4e69d527df194f5,AAA Approved Auto Repair,"",811111,Automotive Repair and Maintenance,General Automotive Repair,"",""
SG_BRAND_05ff976a687708af0e453186738e5d96,AAMCO Transmissions,"",811113,Automotive Repair and Maintenance,Automotive Transmission Repair,"",""
SG_BRAND_ed1f3fc797846c8ed53b280291041300,AAON Heating and Cooling Products,"",238220,Building Equipment Contractors,"Plumbing, Heating, and Air-Conditioning Contractors",AAON,NASDAQ
SG_BRAND_b72e1f8bbbb37a22201c712c9c5fa62d,Aaron's,"",532289,Consumer Goods Rental,All Other Consumer Goods Rental,AAN,NYSE
SG_BRAND_faa9096ceee3f8943ec22bde486bd15f,Abbey Carpet and Floor,"",442210,Home Furnishings Stores,Floor Covering Stores,"",""
SG_BRAND_4029190e439330df,Abbott's Frozen Custard,"",722515,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,"",""
SG_BRAND_41683187f977260f,Abby's Legendary Pizza,"",722511,Restaurants and Other Eating Places,Full-Service Restaurants,"",""
SG_BRAND_a165baa2c2a10727faf4931bad5cb9c9,ABC Fine Wine & Spirits,"",445310,"Beer, Wine, and Liquor Stores","Beer, Wine, and Liquor Stores","",""
SG_BRAND_fa92b7f5e563c27,ABC Stores,"",445120,Grocery Stores,Convenience Stores,"",""
SG_BRAND_9da2eb2293f706865ee25e1e3aa53197,ABC Supply,"",423330,Lumber and Other Construction Materials Merchant Wholesalers,"Roofing, Siding, and Insulation Material Merchant Wholesalers","",""
SG_BRAND_704be6d1177559b6,ABC Warehouse,"",443141,Electronics and Appliance Stores,Household Appliance Stores,"",""
SG_BRAND_45f58ab7240a3379,Abe & Louie's,"",722511,Restaurants and Other Eating Places,Full-Service Restaurants,"",""
SG_BRAND_4bedc5294f99a03c,Abel's Qwik Stop,"",445120,Grocery Stores,Convenience Stores,"",""
SG_BRAND_7cced0ecbfbf09fc,Abercrombie,SG_BRAND_6d8684d641d51f2d,448140,Clothing Stores,Family Clothing Stores,ANF,NYSE
SG_BRAND_6d8684d641d51f2d,Abercrombie & Fitch Co.,"",448140,Clothing Stores,Family Clothing Stores,ANF,NYSE
SG_BRAND_10c677d74daf4ae96824ac1eb4bab56d,ABF Freight System,"",488510,Freight Transportation Arrangement,Freight Transportation Arrangement,"",""
SG_BRAND_20ccc30c3978ee175f064b6339cae019,ABRA Auto Body and Glass,"",811121,Automotive Repair and Maintenance,"Automotive Body, Paint, and Interior Repair and Maintenance","",""
SG_BRAND_641d4b48fe723227,Abt Electronics,"",443142,Electronics and Appliance Stores,Electronics Stores,"",""
SG_BRAND_befc5f08e61aaa0fedcdd7355e3259bc,Abuelo's,"",722511,Restaurants and Other Eating Places,Full-Service Restaurants,"",""
