safegraph_brand_id,brand_name,parent_safegraph_brand_id,naics_code,top_category,sub_category,stock_symbol,stock_exchange
SG_BRAND_726fb04193daaa46070c8527e02ea8bc,Altierus,"",611310,"Colleges, Universities, and Professional Schools","Colleges, Universities, and Professional Schools","",""
SG_BRAND_50132dc29ce2ba73bc0e600eb1bc2187,Altitude Trampoline Parks,"",713990,Other Amusement and Recreation Industries,All Other Amusement and Recreation Industries,"",""
SG_BRAND_da51bb12ab90a9617408308562624f9e,Altoz,"",333112,"Agriculture, Construction, and Mining Machinery Manufacturing",Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,"",""
SG_BRAND_223ca1aa5a3dae726fb034683d090055,Aluma,"",336214,Motor Vehicle Body and Trailer Manufacturing,Travel Trailer and Camper Manufacturing,"",""
SG_BRAND_c8a0c64c1bd85383eee777b204a8d3a0,Alumacraft Boat,"",441222,Other Motor Vehicle Dealers,Boat Dealers,"",""
SG_BRAND_4c2f3879bf182311,Aman,"",721110,Traveler Accommodation,Hotels (except Casino Hotels) and Motels,"",""
SG_BRAND_07454b1c96395af57611f456fb9d1544,Amana,SG_BRAND_fc6a7ca252c98d7b3f29c76295222b57,443141,Electronics and Appliance Stores,Household Appliance Stores,WHR,NYSE
SG_BRAND_a052094d8f55cb2762426643d8ac0534,Amato's,"",722513,Restaurants and Other Eating Places,Limited-Service Restaurants,"",""
SG_BRAND_eee5e1cd7f209f022732b6617d6abc3f,Amazing Lash Studio,"",812112,Personal Care Services,Beauty Salons,"",""
SG_BRAND_c8aee687ca946b69,Amazon,"",454110,Electronic Shopping and Mail-Order Houses,Electronic Shopping and Mail-Order Houses,AMZN,NASDAQ
SG_BRAND_843d199a3265aaed,Amazon 4-Star,SG_BRAND_c8aee687ca946b69,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,AMZN,NASDAQ
SG_BRAND_e9f31d664bfa3bdc62694c9d0dc03bcf,Amazon Books,SG_BRAND_c8aee687ca946b69,451211,Book Stores and News Dealers,Book Stores,AMZN,NASDAQ
SG_BRAND_ebbdf13bef1cb60b,Amazon Go,SG_BRAND_c8aee687ca946b69,722513,Restaurants and Other Eating Places,Limited-Service Restaurants,AMZN,NASDAQ
SG_BRAND_e5eedf3ad2b51dd7fa2f1a1e1cde18c2,AMC Entertainment,SG_BRAND_5bd1c34b834731ba,512131,Motion Picture and Video Industries,Motion Picture Theaters (except Drive-Ins),AMC,NYSE
SG_BRAND_5bd1c34b834731ba,AMC Entertainment inc,"",512131,Motion Picture and Video Industries,Motion Picture Theaters (except Drive-Ins),AMC,NYSE
SG_BRAND_4dab48a331f833cf,AmCare – Doctors Urgent Care,"",621493,Outpatient Care Centers,Freestanding Ambulatory Surgical and Emergency Centers,"",""
SG_BRAND_392f5c5f48278262,Amegy Bank,"",522110,Depository Credit Intermediation,Commercial Banking,"",""
SG_BRAND_056e27928a57f859238f604c338ea918,Amerex,"",339999,Other Miscellaneous Manufacturing,All Other Miscellaneous Manufacturing,"",""
SG_BRAND_6b0cd1ce1bcee01a,America First,"",522390,Activities Related to Credit Intermediation,Other Activities Related to Credit Intermediation,"",""
SG_BRAND_542107fde8b1346b588d305b8c480c61,America's Best Contacts & Eyeglasses,"",621320,Offices of Other Health Practitioners,Offices of Optometrists,"",""
SG_BRAND_8d1330d266bd897,America's Best Inn,SG_BRAND_8e9486e4a533d2e2,721110,Traveler Accommodation,Hotels (except Casino Hotels) and Motels,RLH,NYSE
SG_BRAND_21308ade311878e6,America's Food Basket,"",445110,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,"",""
