state,2022-05-01 00:00:00,2022-05-02 00:00:00,2022-05-03 00:00:00,2022-05-04 00:00:00,2022-05-05 00:00:00,2022-05-06 00:00:00,2022-05-07 00:00:00,2022-05-08 00:00:00,2022-05-09 00:00:00,2022-05-10 00:00:00,2022-05-11 00:00:00,2022-05-12 00:00:00,2022-05-13 00:00:00,2022-05-14 00:00:00,2022-05-15 00:00:00,2022-05-16 00:00:00,2022-05-17 00:00:00,2022-05-18 00:00:00,2022-05-19 00:00:00,2022-05-20 00:00:00,2022-05-21 00:00:00,2022-05-22 00:00:00,2022-05-23 00:00:00,2022-05-24 00:00:00,2022-05-25 00:00:00,2022-05-26 00:00:00,2022-05-27 00:00:00,2022-05-28 00:00:00,2022-05-29 00:00:00,2022-05-30 00:00:00,2022-05-31 00:00:00,2022-06-01 00:00:00,2022-06-02 00:00:00,2022-06-03 00:00:00,2022-06-04 00:00:00,2022-06-05 00:00:00,2022-06-06 00:00:00,2022-06-07 00:00:00,2022-06-08 00:00:00,2022-06-09 00:00:00,2022-06-10 00:00:00,2022-06-11 00:00:00,2022-06-12 00:00:00,2022-06-13 00:00:00,2022-06-14 00:00:00,2022-06-15 00:00:00,lag
ak,5004.0,5080.5,5157.0,5177.0,5102.0,5661.0,4666.3333333,3671.6666667,2677.0,2459.0,4969.0,4150.0,4150.0,4654.3333333,5158.6666667,5663.0,5695.0,2776.0,4205.0,3582.0,3659.3333333,3736.6666667,3814.0,3799.0,4754.0,4470.0,4463.0,4395.5,4328.0,4260.5,4193.0,4113.0,4113.0,4113.0,4113.0,4113.0,4113.0,4113.0,4113.0,4113.0,4113.0,4113.0,4113.0,163.0,532.7142857,598.1428571,0
al,22530.0,21306.5,20083.0,20535.0,20328.0,19721.0,16616.3333333,13511.6666667,10407.0,18962.0,18512.0,18528.0,18765.0,21790.6666667,24816.3333333,27842.0,20246.0,20889.0,20779.0,20400.0,20493.3333333,20586.6666667,20680.0,21031.0,21223.0,21438.0,22174.0,20979.75,19785.5,18591.25,17397.0,18410.0,18410.0,18410.0,18410.0,18410.0,18410.0,18410.0,18410.0,18410.0,18410.0,18410.0,18410.0,2393.7142857,2532.7142857,2069.8571429,0
ar,17698.0,19136.5,20575.0,22912.0,17452.0,14225.0,14331.0,14437.0,14543.0,14203.0,15313.0,15032.0,15089.0,15321.6666667,15554.3333333,15787.0,16149.0,15385.0,15821.0,18686.0,18026.0,17366.0,16706.0,16497.0,16714.0,16096.0,13165.0,11364.0,9563.0,7762.0,5961.0,12052.0,12052.0,12052.0,12052.0,12052.0,12052.0,12052.0,12052.0,12052.0,12052.0,12052.0,12052.0,1865.5714286,2188.5714286,1637.0,0
as,760.0,555.0,350.0,1083.0,1197.0,957.0,957.0,957.0,957.0,1038.0,462.0,442.0,413.0,448.3333333,483.6666667,519.0,547.0,464.0,432.0,431.0,418.0,405.0,392.0,404.0,330.0,268.0,260.0,229.5,199.0,168.5,138.0,278.0,278.0,278.0,278.0,278.0,278.0,278.0,278.0,278.0,278.0,278.0,278.0,31.7142857,23.4285714,20.0,0
az,67651.0,66196.0,64741.0,63201.0,64597.0,64742.0,62295.6666667,59849.3333333,57403.0,63039.0,64333.0,62750.0,61891.0,62736.0,63581.0,64426.0,60381.0,58869.0,54798.0,51078.0,51571.3333333,52064.6666667,52558.0,52984.0,53143.0,70540.0,77911.0,77274.75,76638.5,76002.25,75366.0,72298.0,72298.0,72298.0,72298.0,72298.0,72298.0,72298.0,72298.0,72298.0,72298.0,72298.0,72298.0,6901.1428571,6769.7142857,6715.7142857,0
ca,440807.0,427257.5,413708.0,415833.0,415057.0,404914.0,397397.3333333,389880.6666667,382364.0,377161.0,319435.0,280544.0,278467.0,280261.3333333,282055.6666667,283850.0,297822.0,358503.0,399817.0,406527.0,408138.0,409749.0,411360.0,417916.0,408864.0,431198.0,433781.0,434822.0,435863.0,436904.0,437945.0,395713.0,395713.0,395713.0,395713.0,395713.0,395713.0,395713.0,395713.0,395713.0,395713.0,395713.0,395713.0,44852.5714286,44404.2857143,43256.0,0
co,60189.0,55802.0,51415.0,51338.0,52306.0,51481.0,51646.3333333,51811.6666667,51977.0,49716.0,50601.0,49633.0,49002.0,48946.0,48890.0,48834.0,48966.0,49216.0,46465.0,46602.0,46184.0,45766.0,45348.0,53474.0,52291.0,55971.0,58000.0,49929.75,41859.5,33789.25,25719.0,49268.0,49268.0,49268.0,49268.0,49268.0,49268.0,49268.0,49268.0,49268.0,49268.0,49268.0,49268.0,6377.7142857,7400.5714286,7696.5714286,0
ct,43684.0,42883.0,42082.0,41814.0,41128.0,40005.0,39468.0,38931.0,38394.0,38286.0,38551.0,38440.0,38396.0,38807.3333333,39218.6666667,39630.0,39622.0,39280.0,38719.0,38487.0,38440.0,38393.0,38346.0,38658.0,38195.0,41456.0,42624.0,41286.25,39948.5,38610.75,37273.0,34291.0,34291.0,34291.0,34291.0,34291.0,34291.0,34291.0,34291.0,34291.0,34291.0,34291.0,34291.0,2850.0,2692.7142857,2492.8571429,0
dc,14818.0,44090.5,73363.0,73957.0,73592.0,73185.0,51871.3333333,30557.6666667,9244.0,9244.0,9236.0,8959.0,9211.0,9366.6666667,9522.3333333,9678.0,9678.0,9538.0,9255.0,9091.0,8195.3333333,7299.6666667,6404.0,10412.0,10332.0,10668.0,11241.0,11326.0,11411.0,11496.0,11581.0,10054.0,10054.0,10054.0,10054.0,10054.0,10054.0,10054.0,10054.0,10054.0,10054.0,10054.0,10054.0,,,,0
de,13491.0,15138.0,16785.0,10689.0,10571.0,9780.0,9717.3333333,9654.6666667,9592.0,6296.0,9986.0,10062.0,10309.0,10352.3333333,10395.6666667,10439.0,14172.0,10703.0,10637.0,10325.0,10578.0,10831.0,11084.0,7377.0,11179.0,11506.0,12530.0,11860.0,11190.0,10520.0,9850.0,4781.0,4781.0,4781.0,4781.0,4781.0,4781.0,4781.0,4781.0,4781.0,4781.0,4781.0,4781.0,1090.8571429,743.2857143,733.0,0
fl,189183.0,184700.5,180218.0,156134.0,172120.0,169067.0,151292.6666667,133518.3333333,115744.0,157550.0,172132.0,151359.0,151911.0,151697.0,151483.0,151269.0,159092.0,162937.0,161566.0,160127.0,160273.6666667,160420.3333333,160567.0,166451.0,168433.0,172040.0,177694.0,153080.75,128467.5,103854.25,79241.0,58580.0,58580.0,58580.0,58580.0,58580.0,58580.0,58580.0,58580.0,58580.0,58580.0,58580.0,58580.0,16950.0,9978.7142857,16159.0,0
ga,65702.0,70041.5,74381.0,70018.0,63220.0,62677.0,65972.0,69267.0,72562.0,55485.0,55541.0,57700.0,56648.0,56742.3333333,56836.6666667,56931.0,59800.0,64379.0,71696.0,61607.0,61424.3333333,61241.6666667,61059.0,61719.0,62734.0,53710.0,65340.0,55670.0,46000.0,36330.0,26660.0,54702.0,54702.0,54702.0,54702.0,54702.0,54702.0,54702.0,54702.0,54702.0,54702.0,54702.0,54702.0,6043.8571429,7220.5714286,7042.1428571,0
gu,1827.0,1804.0,1781.0,1713.0,1418.0,2455.0,2409.3333333,2363.6666667,2318.0,2241.0,3364.0,3055.0,2442.0,2515.0,2588.0,2661.0,2545.0,1641.0,1645.0,1214.0,1260.6666667,1307.3333333,1354.0,1349.0,912.0,1152.0,1278.0,1220.25,1162.5,1104.75,1047.0,1214.0,1214.0,1214.0,1214.0,1214.0,1214.0,1214.0,1214.0,1214.0,1214.0,1214.0,1214.0,209.4285714,189.1428571,250.4285714,0
hi,18160.0,18278.0,18396.0,18349.0,19751.0,19470.0,19196.6666667,18923.3333333,18650.0,17086.0,14044.0,15072.0,14602.0,14553.0,14504.0,14455.0,15824.0,18740.0,14431.0,15001.0,15345.3333333,15689.6666667,16034.0,15962.0,15479.0,17783.0,17013.0,15580.25,14147.5,12714.75,11282.0,14512.0,14512.0,14512.0,14512.0,14512.0,14512.0,14512.0,14512.0,14512.0,14512.0,14512.0,14512.0,3081.1428571,2693.4285714,2623.1428571,0
ia,30652.0,28685.0,26718.0,26600.0,27437.0,25448.0,25257.3333333,25066.6666667,24876.0,23239.0,22573.0,22760.0,22266.0,22270.0,22274.0,22278.0,22419.0,23017.0,23058.0,23265.0,23218.3333333,23171.6666667,23125.0,23977.0,24213.0,24206.0,24392.0,22274.75,20157.5,18040.25,15923.0,19678.0,19678.0,19678.0,19678.0,19678.0,19678.0,19678.0,19678.0,19678.0,19678.0,19678.0,19678.0,2612.1428571,2542.5714286,2444.7142857,0
id,10525.0,10291.0,10057.0,10088.0,10030.0,25838.0,25853.0,25868.0,25883.0,28489.0,28385.0,28102.0,12408.0,12815.6666667,13223.3333333,13631.0,11275.0,11626.0,25347.0,25131.0,28892.0,32653.0,36414.0,36719.0,38382.0,24915.0,25235.0,21837.75,18440.5,15043.25,11646.0,8785.0,8785.0,8785.0,8785.0,8785.0,8785.0,8785.0,8785.0,8785.0,8785.0,8785.0,8785.0,1490.5714286,1243.1428571,1207.0,0
il,138940.0,135833.0,132726.0,122081.0,122103.0,103762.0,118955.0,134148.0,149341.0,149094.0,163145.0,180518.0,174531.0,159226.6666667,143922.3333333,128618.0,132606.0,132538.0,110054.0,2552.0,3137.6666667,3723.3333333,4309.0,7502.0,4825.0,2148.0,169244.0,154245.0,139246.0,124247.0,109248.0,142034.0,142034.0,142034.0,142034.0,142034.0,142034.0,142034.0,142034.0,142034.0,142034.0,142034.0,142034.0,11288.4285714,11423.8571429,12602.8571429,0
in,37775.0,38140.0,38505.0,38152.0,38254.0,37568.0,37264.6666667,36961.3333333,36658.0,35935.0,35612.0,35332.0,35272.0,34845.6666667,34419.3333333,33993.0,34406.0,34572.0,34434.0,35278.0,36255.6666667,37233.3333333,38211.0,38956.0,39691.0,104404.0,104819.0,102668.25,100517.5,98366.75,96216.0,91663.0,91663.0,91663.0,91663.0,91663.0,91663.0,91663.0,91663.0,91663.0,91663.0,91663.0,91663.0,3887.0,3950.4285714,37474.5714286,0
ks,23521.0,23446.5,23372.0,23225.0,23400.0,22829.0,22157.6666667,21486.3333333,20815.0,20547.0,20398.0,19761.0,19733.0,20275.3333333,20817.6666667,21360.0,21631.0,21773.0,21523.0,21050.0,20266.3333333,19482.6666667,18699.0,19344.0,19451.0,19540.0,20168.0,18540.5,16913.0,15285.5,13658.0,16839.0,16839.0,16839.0,16839.0,16839.0,16839.0,16839.0,16839.0,16839.0,16839.0,16839.0,16839.0,,,,0
ky,25427.0,24293.5,23160.0,23109.0,22707.0,22919.0,22262.0,21605.0,20948.0,21841.0,21716.0,21058.0,20689.0,22060.6666667,23432.3333333,24804.0,26551.0,23590.0,24096.0,24369.0,23817.6666667,23266.3333333,22715.0,21621.0,25406.0,25928.0,25948.0,25728.25,25508.5,25288.75,25069.0,22138.0,22138.0,22138.0,22138.0,22138.0,22138.0,22138.0,22138.0,22138.0,22138.0,22138.0,22138.0,2642.4285714,2731.4285714,2695.4285714,0
la,20759.0,19872.5,18986.0,19025.0,19288.0,19285.0,18674.0,18063.0,17452.0,17316.0,17253.0,17198.0,17700.0,19347.6666667,20995.3333333,22643.0,21947.0,22218.0,22851.0,18868.0,20802.3333333,22736.6666667,24671.0,28355.0,29359.0,29364.0,34107.0,30667.0,27227.0,23787.0,20347.0,17662.0,17662.0,17662.0,17662.0,17662.0,17662.0,17662.0,17662.0,17662.0,17662.0,17662.0,17662.0,2713.4285714,2708.5714286,2675.2857143,0
ma,90510.0,89852.0,89194.0,88731.0,88281.0,88129.0,87490.6666667,86852.3333333,86214.0,84533.0,84153.0,69661.0,84136.0,83954.0,83772.0,83590.0,84101.0,84518.0,97708.0,81390.0,81163.0,80936.0,80709.0,81579.0,81605.0,81810.0,84475.0,82674.75,80874.5,79074.25,77274.0,66815.0,66815.0,66815.0,66815.0,66815.0,66815.0,66815.0,66815.0,66815.0,66815.0,66815.0,66815.0,8407.4285714,7810.0,7652.1428571,0
