fips,msa
27055,29100
27059,33460
27075,20260
27079,33460
27095,33460
27103,31860
27109,40340
27119,24220
27123,33460
27137,20260
27139,33460
27141,33460
27145,41060
27157,40340
27163,33460
27171,33460
28029,27140
28031,25620
28033,32820
28035,25620
28045,25060
28047,25060
28049,27140
28051,27140
28059,25060
28073,25620
28089,27140
28093,32820
28111,25620
28121,27140
28127,27140
28131,25060
28137,32820
28143,32820
28163,27140
29003,41140
29013,28140
29017,16020
29019,17860
29021,41140
29025,28140
29027,27620
29031,16020
29037,28140
29043,44180
29047,28140
29049,28140
29051,27620
29053,17860
29059,44180
29063,41140
29071,41180
29077,44180
29089,17860
29095,28140
29097,27900
29099,41180
29107,28140
29113,41180
29135,27620
29145,27900
29151,27620
29165,28140
29167,44180
29177,28140
29183,41180
29189,41180
29219,41180
29225,44180
29510,41180
30009,13740
30013,24500
30063,33540
30095,13740
30111,13740
31025,36540
31043,43580
31051,43580
31055,36540
31079,24260
31093,24260
31109,30700
31121,24260
31153,36540
31155,36540
31159,30700
31177,36540
32003,29820
32029,39900
32031,39900
32510,16180
33011,31700
33015,14460
33017,14460
34001,12100
34003,35620
34005,37980
34007,37980
34009,36140
34011,47220
34013,35620
34015,37980
34017,35620
34019,35620
34021,45940
34023,35620
34025,35620
34027,35620
34029,35620
34031,35620
34033,37980
34035,35620
34037,35620
34039,35620
34041,10900
35001,10740
35013,29740
35043,10740
35045,22140
35049,42140
35057,10740
35061,10740
36001,10580
36005,35620
36007,13780
36015,21300
36027,39100
36029,15380
36043,46540
36045,48060
36047,35620
36051,40380
36053,45060
36055,40380
36059,35620
36061,35620
36063,15380
36065,46540
36067,45060
36069,40380
36071,39100
36073,40380
36075,45060
36079,35620
36081,35620
36083,10580
36085,35620
36087,35620
36091,10580
36093,10580
36095,10580
36103,35620
36107,13780
36109,27060
36111,28740
36113,24020
36115,24020
36117,40380
36119,35620
36123,40380
37001,15500
37003,25860
37007,16740
37019,34820
37021,11700
37023,25860
37025,16740
37027,25860
37029,47260
37035,25860
37037,20500
37049,35100
37051,22180
37053,47260
37057,49180
37059,49180
37063,20500
37065,40580
37067,49180
37069,39580
37071,16740
37073,47260
37077,20500
37081,24660
37085,22180
37087,11700
37089,11700
37093,22180
37097,16740
37101,39580
37103,35100
37109,16740
37115,11700
37119,16740
37127,40580
37129,48900
37133,27340
37135,20500
37137,35100
37141,48900
37145,20500
37147,24780
37151,24660
37157,24660
37159,16740
37169,49180
37179,16740
37183,39580
37191,24140
37197,49180
38015,13900
38017,22020
38035,24220
38059,13900
38065,13900
39003,30620
39013,48540
39015,17140
39017,17140
39019,15940
39023,44220
39025,17140
39035,17460
39041,18140
39045,18140
39049,18140
39051,45780
39055,17460
39057,19430
39061,17140
39073,18140
39081,48260
39085,17460
39087,26580
39089,18140
39093,17460
39095,45780
39097,18140
39099,49660
39103,17460
39109,19430
39113,19430
39117,18140
39123,45780
39127,18140
39129,18140
39133,10420
39139,31900
39151,15940
39153,10420
39155,49660
39159,18140
39165,17140
39173,45780
40017,36420
40027,36420
40031,30020
40033,30020
40037,46140
40047,21420
40051,36420
40081,36420
40083,36420
40087,36420
40109,36420
40111,46140
40113,46140
40117,46140
40131,46140
40135,22900
40143,46140
40145,46140
41003,18700
41005,38900
41009,38900
41017,13460
41029,32780
41033,24420
41039,21660
41043,10540
41047,41420
41051,38900
41053,41420
41067,38900
41071,38900
42001,23900
42003,38300
42005,38300
42007,38300
42011,39740
42013,11020
42017,37980
42019,38300
42021,27780
42025,10900
42027,44300
42029,37980
42037,14100
42041,25420
42043,25420
42045,37980
42049,21500
42051,38300
42055,16540
42069,42540
42071,29540
42075,30140
42077,10900
42079,42540
42081,48700
42085,49660
42089,20700
42091,37980
42093,14100
42095,10900
42099,25420
42101,37980
42103,35620
42125,38300
42129,38300
42131,42540
42133,49620
44001,39300
44003,39300
44005,39300
44007,39300
44009,39300
45003,12260
45007,24860
45013,25940
45015,16700
45017,17900
45019,16700
45023,16740
45027,44940
45031,22500
45035,16700
45037,12260
45039,17900
45041,22500
45045,24860
45051,34820
45053,25940
45055,17900
45057,16740
45059,24860
45063,17900
45077,24860
45079,17900
45081,17900
45083,43900
45085,44940
45091,16740
46083,43620
46087,43620
46093,39660
46099,43620
46103,39660
46125,43620
46127,43580
47001,28940
47009,28940
47011,17420
47013,28940
47015,34980
47019,27740
47021,34980
47023,27180
47033,27180
47037,34980
47043,34980
47047,32820
47053,27180
47057,34100
47063,34100
47065,16860
47073,28700
47089,34100
47093,28940
47105,28940
47111,34980
47113,27180
47115,16860
47119,34980
47125,17300
47129,28940
47139,17420
47145,28940
47147,34980
47149,34980
47153,16860
47157,32820
47159,34980
47161,17300
47163,28700
47165,34980
47167,32820
47169,34980
47171,27740
47173,28940
47179,27740
47187,34980
47189,34980
48009,48660
48011,11100
48013,41700
48015,26420
48019,41700
48021,12420
48027,28660
48029,41700
48037,45500
48039,26420
48041,17780
48051,17780
48055,12420
48059,10180
48061,15180
48065,11100
48071,26420
48077,48660
48085,19100
48091,41700
48099,28660
48107,31180
48113,19100
48121,19100
48135,36220
48139,19100
48141,21340
48145,47380
48157,26420
48167,26420
48175,47020
48181,43300
48183,30980
48187,41700
48199,13140
48201,26420
48203,30980
48209,12420
48215,32580
48229,21340
48231,19100
48235,41660
48245,13140
48251,19100
48253,10180
48257,19100
48259,41700
48281,28660
48291,26420
48303,31180
48305,31180
48309,47380
48317,33260
48325,41700
48329,33260
48339,26420
48355,18580
48359,11100
48361,13140
48367,19100
48375,11100
48381,11100
48395,17780
48397,19100
48401,30980
48409,18580
48423,46340
48431,41660
48439,19100
48441,10180
48451,41660
48453,12420
48459,30980
48469,47020
48473,26420
48479,29700
48485,48660
48491,12420
48493,41700
48497,19100
49003,36260
49005,30860
49011,36260
49023,39340
49029,36260
49035,41620
49045,41620
49049,39340
49053,41100
49057,36260
50007,15540
50011,15540
50013,15540
51003,16820
51007,40060
51009,31340
51011,31340
51013,47900
51015,44420
51019,31340
51023,40220
51031,31340
51036,40060
51041,40060
51043,47900
51045,40220
51047,47900
51053,40060
51059,47900
51061,47900
51065,16820
51067,40220
51069,49020
51071,13980
51073,47260
51075,40060
51079,16820
51085,40060
51087,40060
51093,47260
51095,47260
51097,40060
51101,40060
51107,47900
51113,47900
51115,47260
51121,13980
51125,16820
51127,40060
51145,40060
51149,40060
51153,47900
51155,13980
51157,47900
51161,40220
51165,25500
51169,28700
51175,47260
51177,47900
51179,47900
51183,40060
51187,47900
51191,28700
51199,47260
51510,47900
51520,28700
51540,16820
51550,47260
51570,40060
51600,47900
51610,47900
51620,47260
51630,47900
51650,47260
51660,25500
51670,40060
51680,31340
51683,47900
51685,47900
51700,47260
51710,47260
51730,40060
51735,47260
51740,47260
51750,13980
51760,40060
51770,40220
51775,40220
51790,44420
51800,47260
51810,47260
51820,44420
51830,47260
51840,49020
53003,30300
53005,28420
53007,48300
53011,38900
53015,31020
53017,48300
53021,28420
53033,42660
53035,14740
53053,42660
53057,34580
53059,38900
53061,42660
53063,44060
53065,44060
53067,36500
53071,47460
53073,13380
53077,49420
54003,25180
54005,16620
54009,48260
54011,26580
54015,16620
54019,13220
54027,49020
54029,48260
54035,16620
54037,47900
54039,16620
54043,16620
54051,48540
54057,19060
54061,34060
54065,25180
54069,48540
54077,34060
54079,26580
54081,13220
54099,26580
54105,37620
54107,37620
55009,24580
55015,11540
55017,20740
55021,31540
55025,31540
55031,20260
55035,20740
55039,22540
55045,31540
55049,31540
55059,16980
55061,24580
55063,29100
55069,48140
55073,48140
55079,33340
55083,24580
55087,11540
55089,33340
55093,33460
55101,39540
55105,27500
55109,33460
55117,43100
55131,33340
55133,33340
55139,36780
56021,16940
56025,16220
72001,38660
72003,10380
72005,10380
72007,41980
72009,41980
72011,10380
72013,11640
72015,25020
72017,41980
72019,41980
72021,41980
72023,41900
72025,41980
72027,11640
72029,41980
72031,41980
72033,41980
72035,41980
72037,41980
72039,41980
72041,41980
72045,41980
72047,41980
72051,41980
72053,41980
72054,41980
72055,49500
72057,25020
72059,49500
72061,41980
72063,41980
72065,11640
72067,32420
72069,41980
72071,10380
72075,38660
72077,41980
72079,41900
72081,10380
72083,32420
72085,41980
72087,41980
72089,41980
72091,41980
72095,41980
72097,32420
72099,10380
72101,41980
72103,41980
72105,41980
72107,41980
72109,25020
72111,49500
72113,38660
72115,11640
72117,10380
72119,41980
72121,41900
72125,41900
72127,41980
72129,41980
72131,10380
72135,41980
72137,41980
72139,41980
72141,10380
72143,41980
72145,41980
72149,38660
72151,41980
72153,49500
