geo_id,val,se,sample_size,effective_sample_size
1,0,4.145064,13,11.06254
2,0,6.7805147,7,6.3740714
5,0,2.0298599,28,23.6322413
6,0,1.9467415,29,24.6839447
7,0,8.5541693,6,4.8451029
9,0,6.1909119,8,7.0763546
10,0,4.4015566,13,10.3596178
11,0,1.3727854,47,35.4222999
12,0,2.3131936,24,20.6151389
14,0,16.6666667,2,2
15,0,1.3516332,42,35.992284
16,0,4.2885131,13,10.6590526
18,0,7.0049676,8,6.1377917
19,0,2.6097574,21,18.1588692
21,0,2.5555605,24,18.5651797
22,0,12.88836,3,2.8794695
23,0,2.1957646,26,21.7711109
25,0,2.4604343,25,19.3216153
33,0,3.0644591,19,15.316093
43,0,2.9061799,23,16.2047162
56,0,0.9276127,69,52.9018049
58,0,5.2578251,10,8.5096355
62,0,5.3417413,10,8.3602437
65,0,2.8681404,18,16.4328986
69,0,7.896256,6,5.3321149
73,0,5.7062701,10,7.7622911
77,0,2.4493629,24,19.4134718
78,0,7.1507426,6,5.9922808
79,0,1.7275914,34,27.9420282
80,0,1.6616091,34,29.0913129
81,0,2.4600326,26,19.3249337
82,0,2.7294152,22,17.3189424
83,0,4.8356556,11,9.3398596
85,0,2.6851739,20,17.6207678
86,0,3.4915696,15,13.3202072
87,0,7.7262922,6,5.4714094
89,0,3.6692558,17,12.6267414
91,0,3.0157291,20,15.5797384
96,0,1.5577145,37,31.0983091
101,0,4.8947346,11,9.2150584
102,0,2.0881257,29,22.9449192
103,0,1.2933927,49,37.6580204
104,0,6.8684272,7,6.279687
105,0,4.0687391,16,11.2888194
106,0,4.5923353,15,9.8877069
107,0,15.760534,3,2.1724813
109,0,4.4693146,11,10.1873978
110,0,1.765447,33,27.3214396
111,0,1.1262866,55,43.3936744
112,0,4.4180683,15,10.3171632
113,0,1.5145755,39,32.0125503
115,0,4.4226472,13,10.3054462
116,0,2.9583587,21,15.9012634
118,0,2.1111644,27,22.6836122
119,0,1.3627106,45,35.6915762
120,0,2.5696959,23,18.4575554
122,0,3.879809,14,11.8872324
123,0,1.5936102,38,30.3753003
124,0,5.823093,11,7.5865021
127,0,4.1835099,13,10.9516869
129,0,2.301692,26,20.7231501
130,0,1.4394382,44,33.7357747
131,0,7.7378229,6,5.4617659
133,0,11.5016824,4,3.3471901
134,0,3.3752301,17,13.8138049
137,0,3.3434022,17,13.9548264
139,0,6.2437201,8,7.0080463
140,0,1.9691583,30,24.39156
141,0,1.8154792,32,26.5409372
142,0,8.7595845,7,4.7080333
144,0,0.8652713,69,56.7853459
145,0,5.2651603,10,8.496387
146,0,6.6450077,7,6.5244458
147,0,2.9145235,20,16.1554627
148,0,15.2166687,3,2.2858703
149,0,2.4985073,23,19.0119489
150,0,3.4367757,17,13.5485201
151,0,3.1792821,17,14.726821
152,0,6.0292136,9,7.2929554
154,0,5.49788,10,8.0944145
155,0,4.1480694,14,11.0538002
156,0,1.779717,33,27.0943538
158,0,3.6464142,15,12.7121009
161,0,3.4680076,18,13.4175002
163,0,3.2605937,16,14.3346305
164,0,4.9165781,10,9.1696747
166,0,1.7966875,32,26.8289913
170,0,2.7200727,23,17.3818614
171,0,2.1231721,29,22.5496688
172,0,2.6504177,22,17.8649513
173,0,7.6827747,6,5.5080654
175,0,4.4271989,14,10.2938228
179,0,3.8877693,15,11.8608454
180,0,4.7022883,11,9.6331208
181,0,2.7433473,21,17.2259099
183,0,2.286829,26,20.8643367
184,0,14.6316336,3,2.4172534
186,0,9.4444158,5,4.2941337
187,0,2.6337973,23,17.9839972
188,0,4.1690989,14,10.9929992
190,0,6.7747645,9,6.3803303
191,0,4.2069136,15,10.8851976
192,0,1.3268077,46,36.6844356
193,0,7.1848523,8,5.9590853
194,0,7.9431316,6,5.2947465
196,0,6.8338674,7,6.3165014
197,0,10.5444811,4,3.741817
200,0,2.938382,18,16.0161676
201,0,1.9482141,29,24.6645308
203,0,4.7454421,11,9.5364261
204,0,1.9596449,33,24.5148263
205,0,2.7541046,21,17.1547206
207,0,8.7990973,5,4.6824011
208,0,5.5724561,9,7.9727042
209,0,7.8292173,7,5.3863344
210,0,4.0044669,14,11.4860564
212,0,8.2281942,6,5.0766675
213,0,6.5110189,9,6.6792896
214,0,5.9915511,9,7.3450845
216,0,4.1731795,13,10.9812724
218,0,4.3082773,12,10.6055669
219,0,7.463772,6,5.6990256
221,0,3.2567216,21,14.3528627
222,0,2.0309445,29,23.6190878
223,0,2.3174029,25,20.5758767
225,0,3.5955135,17,12.9062197
226,0,2.6408285,21,17.933452
227,0,1.4567692,46,33.3225274
230,0,1.7738104,35,27.1879062
231,0,1.905646,31,25.2378217
232,0,1.5230151,42,31.8296145
233,0,7.39465,7,5.7616452
234,0,2.7441403,23,17.220643
235,0,3.1052259,18,15.1018883
236,0,1.7692861,35,27.2599865
238,0,2.5807575,22,18.3741567
239,0,2.6445527,23,17.9067889
240,0,5.9038719,9,7.4690185
242,0,5.7777383,9,7.6539053
243,0,5.3413266,11,8.3609703
244,0,2.6898908,23,17.588115
245,0,3.8675697,14,11.9280153
246,0,4.2970348,12,10.6359309
248,0,8.7402508,5,4.7206596
249,0,6.4105123,7,6.7996887
250,0,5.6173088,10,7.9010595
251,0,2.1409787,28,22.3538049
253,0,3.9110448,14,11.7843075
254,0,13.0851978,4,2.8211115
256,0,2.1555433,32,22.1960081
257,0,10.7497857,5,3.6512555
258,0,8.722805,6,4.7321011
259,0,3.5215502,16,13.1982926
260,0,12.5,3,3
262,0,6.2854751,9,6.9548482
263,0,5.7116922,8,7.7539731
264,0,7.0678066,8,6.0743305
267,0,5.1223324,10,8.7611783
268,0,1.8924303,33,25.4210526
270,4.6339507,3.0170779,24,19.0534092
273,0,1.495334,39,32.4373467
274,0,1.929412,29,24.9146312
275,0,14.3539542,3,2.4833607
276,0,11.9864435,4,3.1713791
277,0,4.0469877,13,11.3548682
278,0,1.9178115,32,25.0713844
279,0,2.166733,25,22.0762166
280,0,1.8877736,32,25.4862263
281,0,4.5507345,12,9.9872374
282,0,1.7102805,34,28.2349706
283,0,1.855563,30,25.9459993
284,0,3.1502318,17,14.8718479
285,0,1.5971845,36,30.3050881
288,0,3.77227,15,12.2546186
289,0,1.7595475,32,27.4163962
291,0,6.2435473,8,7.0082679
292,0,7.43073,8,5.728814
293,0,3.3941837,17,13.7310826
295,0,1.3991603,45,34.7357184
296,0,5.1037572,10,8.7967043
297,0,4.6936084,11,9.6527848
299,0,1.2347937,49,39.4925946
300,0,9.0916276,6,4.4995654
301,0,1.4948804,45,32.447491
303,0,1.6229011,35,29.8090253
304,0,0.9205558,70,53.3150156
307,0,1.4079531,46,34.512546
308,0,3.6661317,16,12.6383536
309,0,2.7029175,23,17.4985301
311,0,2.3345039,27,20.4178266
312,0,1.3227854,44,36.7990274
313,0,3.0612791,19,15.3330419
314,0,2.3260879,24,20.4953185
315,0,4.1275548,13,11.1137095
318,0,1.8431148,34,26.1279898
319,0,3.4416851,15,13.5277674
320,0,1.7389572,35,27.7528643
321,0,7.03336,7,6.1089778
322,0,3.8807182,15,11.8842131
323,0,12.5,3,3
325,0,1.8070596,34,26.6692593
326,0,2.5635898,24,18.5039004
327,0,1.7626807,34,27.3658866
328,0,1.6372222,37,29.5395323
329,0,2.4849419,25,19.1211949
330,0,2.6296835,22,18.0136947
331,0,6.6167768,9,6.5565493
332,0,3.499696,17,13.2869551
334,0,1.4417528,42,33.6800084
335,0,2.3187755,25,20.5631054
336,0,13.5571873,3,2.6880807
339,0,2.7875158,19,16.9371183
340,0,1.4472993,42,33.5471046
341,0,12.5,3,3
342,0,3.5768336,19,12.9788443
343,0,2.4260105,23,19.6099689
344,0,2.6082781,23,18.1697347
345,0,9.0285773,5,4.5379711
346,0,1.343164,47,36.2255368
347,0,6.9968753,7,6.146047
350,0,1.6994198,36,28.4218057
351,0,2.3851136,25,19.963362
352,0,1.0843199,55,45.1118546
354,0,7.1704865,6,5.9730276
355,0,3.3093001,17,14.1089351
356,0,1.2212816,56,39.9405986
357,0,1.1001182,56,44.4496635
358,0,6.1170505,8,7.1738739
359,0,16.6666667,2,2
360,0,5.5042061,10,8.0839622
362,0,6.7886733,7,6.3652094
363,0,2.9696924,18,15.8367604
364,0,1.8026615,33,26.7367657
365,0,1.3124545,51,37.0965602
366,0,1.3844963,42,35.1142174
367,0,3.4148499,16,13.6419321
368,0,4.4949013,12,10.1237147
369,0,4.2618969,12,10.7318651
370,0,8.3405129,6,4.9948352
371,0,3.3575979,17,13.8915984
373,0,4.2022217,14,10.898468
374,0,8.4029255,8,4.9503086
375,0,4.3708565,13,10.4394056
376,0,3.4949227,17,13.3064682
377,0,1.3789173,42,35.2603327
379,0,5.0153138,11,8.9694659
380,0,2.3200713,25,20.5510617
382,0,3.6469177,13,12.710208
383,0,4.2036154,15,10.8945229
385,0,1.6319438,35,29.6383091
386,0,6.1799062,9,7.0907377
388,0,13.8167691,3,2.618791
390,0,2.8852938,20,16.3292577
391,0,1.1437767,54,42.7148273
393,0,2.4232462,26,19.6334788
394,0,2.1095799,26,22.7014015
396,0,7.4250995,7,5.7339164
397,0,1.0040299,60,48.7993159
399,0,13.2594067,3,2.7709078
400,0,1.7846359,33,27.016919
402,0,4.0041603,13,11.4870125
406,0,5.2369272,11,8.5475835
412,0,2.2018663,26,21.7080094
413,0,4.4409656,12,10.2588127
416,0,8.3340245,5,4.9995024
418,0,6.2925443,8,6.9459114
420,0,11.7661526,4,3.2494774
421,0,4.3885423,12,10.3933048
422,0,6.5303165,7,6.6565968
423,0,2.2513757,29,21.2086429
424,0,3.4799927,15,13.3678462
426,0,1.3668899,42,35.579391
427,0,3.1434103,18,14.9062912
428,0,4.8214055,11,9.3704201
429,0,5.0274424,10,8.9454149
