geo_id,val,se,sample_size,effective_sample_size
ak,0,5,9,9
al,0,0.9243465,53.0006,53.0922686
ar,0,1.25,39.0001,39
az,0,0.6329114,78,78
ca,0,0.1655629,301,301
co,0,0.6493591,75.9659,75.9989977
ct,0,0.8196721,60,60
dc,0,7.1428571,6,6
de,0,3.3333333,14,14
fl,0,0.2222222,224.0001,224
ga,0,0.4901961,100.9996,100.9999997
hi,0,3.8461538,12,12
ia,0,0.893021,54.8547,54.9897263
id,0,2.5,19,19
il,0,0.295858,167.9999,168
in,0,0.6493506,76.0001,76
ks,0,1.3888889,34.9999,35
ky,0,0.9259259,53.0004,53
la,0,1.0204082,48,48
ma,0,0.7575758,65,65
md,0,1.0204082,48,48
me,0,1.6129032,30,30
mi,0,0.2747253,181,181
mn,0,0.6944444,71,71
mo,0.5555556,0.9665876,60,60
ms,0,1.5151515,32,32
mt,0,2.9411765,16,16
nc,0,0.3623188,137.0002,137
nd,0,4.064248,11.1282,11.302399
ne,0,1.6572144,29.0459,29.1711107
nh,0,1.4705882,33,33
nj,0,0.5747126,85.9999,86
nm,0,2.7777778,16.9999,17
nv,0,1.3888889,35,35
ny,0,0.2192982,227.0001,227
oh,0,0.304878,163.0002,163
ok,0,1.0869565,44.9998,45
or,0,1.1904762,41,41
pa,0,0.2475248,201.0001,201
ri,0,3.5714286,13,13
sc,0,0.6329114,78,78
sd,0,2.8834757,15.9769,16.3401842
tn,0,0.7462687,65.9998,66
tx,0,0.2031729,245.0002,245.0958051
ut,0,1.5550851,31.0339,31.1525808
va,0,0.3578128,138.1217,138.7378578
vt,0,4.1666667,11,11
wa,0,0.6493506,76,76
wi,0,0.6666667,74,74
wv,0,1.6129032,30,30
wy,0,3.3333382,13.9945,13.9999781
