geo_id,val,se,sample_size,effective_sample_size
10740,0,12.6739099,5,2.9451125
12420,0,14.5636147,3,2.4332136
12580,0,12.7047257,4,2.9355434
14460,0,7.5737028,6,5.6017906
15380,0,4.235128,14,10.8060187
16700,0,13.3965639,3,2.7323004
16980,0,4.8689805,14,9.2690901
17140,0,6.8167305,7,6.3348946
17460,0,6.2423501,9,7.0098039
17820,0,6.8909023,8,6.2559438
19100,0,9.167535,6,4.4540288
19740,0,13.6696107,3,2.6577486
19820,0,3.8908228,14.7795,11.8507522
21500,0,13.0272455,3,2.8381099
22420,0,10.9241518,4,3.5770144
23420,0,10.3211903,5.9969,3.8444025
24340,0,13.4974746,3,2.7043967
25060,0,14.5851987,3,2.4281329
25540,0,14.4296621,3,2.4650846
26420,0,7.6439477,6,5.5411227
26900,0,14.8120186,5,2.3756371
28140,0,14.4644343,2.8622,2.4567546
29820,0,6.052065,8,7.2616429
31080,0,5.3903629,10,8.2758133
31740,0,12.5630554,2.9976,2.9799235
32580,0,14.3501362,3,2.4842875
33100,0,13.9689559,3,2.5793656
33460,0,11.7397534,5,3.2590332
34820,0,12.3595319,5,3.0454606
34940,0,10.5368122,5,3.7452682
35300,0,8.0676699,6,5.1975763
35380,0,15.9942526,3,2.1261229
35620,0,3.194654,17,14.6511471
35840,0,5.3638795,10,8.3216113
36540,0,10.2104237,4,3.8969564
37980,0,6.0796691,8.282,7.2241318
38060,0,5.2943837,9,8.4439698
38300,0,8.8492226,5.0016,4.6502139
39580,0,9.2019029,5.0301,4.4336587
40060,0,13.9522508,3,2.5836512
40380,0,7.6709951,8.042,5.5180592
40420,0,14.7164947,2.9988,2.3975482
41180,0,15.5064695,3,2.2244606
41740,0,12.901072,3,2.8756469
41860,0,8.7701057,5.9842,4.7011856
42660,0,9.1638589,5,4.4562167
44140,0,9.0308113,6,4.5366011
44700,0,15.9097529,3,2.1427264
45060,0,9.225468,5.0252,4.4197792
45300,0,11.9469905,4,3.1851544
46140,0,5.7157227,8.9999,7.7478002
47260,0,11.0080381,4,3.5421355
47900,0,6.0226331,7.9538,7.3020166
48620,0,7.954809,5.934,5.285506
49340,0,13.8745497,3,2.6037205
